,Location,place,Date,Temp,Wind,Humid,Cloud
0,93,북춘천,2019-12-01 0:00,5.1,0.7,50.0,10.0
1,93,북춘천,2019-12-01 1:00,4.7,0.6,52.0,10.0
2,93,북춘천,2019-12-01 2:00,3.4,0.8,57.0,9.0
3,93,북춘천,2019-12-01 3:00,3.3,0.3,63.0,10.0
4,93,북춘천,2019-12-01 4:00,3.0,1.2,60.0,10.0
5,93,북춘천,2019-12-01 5:00,3.4,1.2,62.0,10.0
6,93,북춘천,2019-12-01 6:00,3.7,1.0,64.0,10.0
7,93,북춘천,2019-12-01 7:00,3.9,0.7,69.0,10.0
8,93,북춘천,2019-12-01 8:00,3.6,0.0,72.0,10.0
9,93,북춘천,2019-12-01 9:00,4.3,0.1,71.0,10.0
10,93,북춘천,2019-12-01 10:00,4.9,0.0,66.0,10.0
11,93,북춘천,2019-12-01 11:00,5.4,0.5,65.0,10.0
12,93,북춘천,2019-12-01 12:00,5.5,0.6,67.0,10.0
13,93,북춘천,2019-12-01 13:00,5.4,0.0,71.0,10.0
14,93,북춘천,2019-12-01 14:00,5.4,0.2,74.0,10.0
15,93,북춘천,2019-12-01 15:00,5.3,0.6,77.0,10.0
16,93,북춘천,2019-12-01 16:00,5.2,0.1,81.0,10.0
17,93,북춘천,2019-12-01 17:00,4.8,0.4,90.0,10.0
18,93,북춘천,2019-12-01 18:00,4.5,0.1,94.0,10.0
19,93,북춘천,2019-12-01 19:00,4.3,0.0,95.0,10.0
20,93,북춘천,2019-12-01 20:00,4.1,0.3,96.0,10.0
21,93,북춘천,2019-12-01 21:00,4.1,0.0,96.0,10.0
22,93,북춘천,2019-12-01 22:00,4.1,0.0,97.0,10.0
23,93,북춘천,2019-12-01 23:00,4.0,0.1,97.0,10.0
24,93,북춘천,2019-12-02 0:00,4.1,1.6,96.0,10.0
25,93,북춘천,2019-12-02 1:00,3.4,1.4,81.0,10.0
26,93,북춘천,2019-12-02 2:00,3.0,1.9,65.0,9.0
27,93,북춘천,2019-12-02 3:00,2.3,1.2,64.0,8.0
28,93,북춘천,2019-12-02 4:00,0.4,0.7,88.0,8.0
29,93,북춘천,2019-12-02 5:00,-1.3,0.9,90.0,3.0
30,93,북춘천,2019-12-02 6:00,-1.7,0.6,91.0,2.0
31,93,북춘천,2019-12-02 7:00,-2.1,0.6,90.0,4.0
32,93,북춘천,2019-12-02 8:00,-2.8,0.7,92.0,0.0
33,93,북춘천,2019-12-02 9:00,-0.1,0.6,65.0,0.0
34,93,북춘천,2019-12-02 10:00,1.4,3.3,50.0,0.0
35,93,북춘천,2019-12-02 11:00,2.7,3.1,44.0,0.0
36,93,북춘천,2019-12-02 12:00,3.3,5.6,32.0,0.0
37,93,북춘천,2019-12-02 13:00,3.1,6.6,29.0,0.0
38,93,북춘천,2019-12-02 14:00,3.5,4.8,28.0,0.0
39,93,북춘천,2019-12-02 15:00,3.4,4.4,29.0,0.0
40,93,북춘천,2019-12-02 16:00,2.5,5.3,32.0,0.0
41,93,북춘천,2019-12-02 17:00,1.1,4.0,29.0,0.0
42,93,북춘천,2019-12-02 18:00,0.1,4.2,29.0,0.0
43,93,북춘천,2019-12-02 19:00,-0.7,3.7,31.0,0.0
44,93,북춘천,2019-12-02 20:00,-0.9,3.2,29.0,0.0
45,93,북춘천,2019-12-02 21:00,-2.5,1.8,38.0,0.0
46,93,북춘천,2019-12-02 22:00,-3.4,1.0,49.0,0.0
47,93,북춘천,2019-12-02 23:00,-3.5,0.7,53.0,4.0
48,93,북춘천,2019-12-03 0:00,-3.2,0.1,59.0,6.0
49,93,북춘천,2019-12-03 1:00,-4.0,1.1,57.0,0.0
50,93,북춘천,2019-12-03 2:00,-4.2,1.0,59.0,0.0
51,93,북춘천,2019-12-03 3:00,-5.6,0.9,66.0,0.0
52,93,북춘천,2019-12-03 4:00,-6.3,1.3,67.0,0.0
53,93,북춘천,2019-12-03 5:00,-6.3,0.8,67.0,0.0
54,93,북춘천,2019-12-03 6:00,-7.9,0.4,77.0,0.0
55,93,북춘천,2019-12-03 7:00,-7.6,0.4,79.0,3.0
56,93,북춘천,2019-12-03 8:00,-6.8,0.2,81.0,5.0
57,93,북춘천,2019-12-03 9:00,-4.8,0.0,75.0,7.0
58,93,북춘천,2019-12-03 10:00,-2.6,0.9,55.0,10.0
59,93,북춘천,2019-12-03 11:00,-1.7,1.4,55.0,10.0
60,93,북춘천,2019-12-03 12:00,-1.8,1.2,80.0,7.0
61,93,북춘천,2019-12-03 13:00,0.0,0.8,68.0,3.0
62,93,북춘천,2019-12-03 14:00,1.6,0.7,63.0,3.0
63,93,북춘천,2019-12-03 15:00,2.6,0.6,58.0,3.0
64,93,북춘천,2019-12-03 16:00,2.5,1.1,58.0,3.0
65,93,북춘천,2019-12-03 17:00,1.8,0.6,61.0,7.0
66,93,북춘천,2019-12-03 18:00,0.5,0.7,68.0,4.0
67,93,북춘천,2019-12-03 19:00,-0.7,1.3,74.0,0.0
68,93,북춘천,2019-12-03 20:00,-1.0,1.4,78.0,0.0
69,93,북춘천,2019-12-03 21:00,-2.9,0.9,82.0,0.0
70,93,북춘천,2019-12-03 22:00,-2.6,0.5,86.0,6.0
71,93,북춘천,2019-12-03 23:00,-2.4,0.2,88.0,0.0
72,93,북춘천,2019-12-04 0:00,-1.9,0.6,88.0,8.0
73,93,북춘천,2019-12-04 1:00,-2.1,0.9,90.0,7.0
74,93,북춘천,2019-12-04 2:00,-2.6,1.2,91.0,0.0
75,93,북춘천,2019-12-04 3:00,-3.7,0.9,90.0,0.0
76,93,북춘천,2019-12-04 4:00,-4.8,0.1,90.0,0.0
77,93,북춘천,2019-12-04 5:00,-5.5,0.5,88.0,0.0
78,93,북춘천,2019-12-04 6:00,-5.3,1.2,83.0,0.0
79,93,북춘천,2019-12-04 7:00,-6.1,0.6,87.0,0.0
80,93,북춘천,2019-12-04 8:00,-5.4,0.6,83.0,0.0
81,93,북춘천,2019-12-04 9:00,-3.4,0.9,82.0,0.0
82,93,북춘천,2019-12-04 10:00,-0.5,0.6,76.0,2.0
83,93,북춘천,2019-12-04 11:00,1.7,1.0,51.0,1.0
84,93,북춘천,2019-12-04 12:00,3.4,0.9,36.0,0.0
85,93,북춘천,2019-12-04 13:00,5.5,0.7,34.0,0.0
86,93,북춘천,2019-12-04 14:00,6.4,1.4,28.0,2.0
87,93,북춘천,2019-12-04 15:00,6.1,6.1,28.0,6.0
88,93,북춘천,2019-12-04 16:00,5.0,4.1,43.0,6.0
89,93,북춘천,2019-12-04 17:00,3.8,2.7,50.0,6.0
90,93,북춘천,2019-12-04 18:00,1.9,0.6,58.0,3.0
91,93,북춘천,2019-12-04 19:00,-0.3,1.3,68.0,0.0
92,93,북춘천,2019-12-04 20:00,-1.8,0.4,75.0,1.0
93,93,북춘천,2019-12-04 21:00,-1.9,0.5,76.0,0.0
94,93,북춘천,2019-12-04 22:00,-2.3,0.7,82.0,1.0
95,93,북춘천,2019-12-04 23:00,1.8,4.1,42.0,0.0
96,93,북춘천,2019-12-05 0:00,0.9,2.7,31.0,0.0
97,93,북춘천,2019-12-05 1:00,-1.6,1.3,41.0,0.0
98,93,북춘천,2019-12-05 2:00,-3.3,0.6,49.0,0.0
99,93,북춘천,2019-12-05 3:00,-0.8,3.0,28.0,0.0
100,93,북춘천,2019-12-05 4:00,-1.6,1.5,32.0,0.0
101,93,북춘천,2019-12-05 5:00,-2.8,1.3,35.0,0.0
102,93,북춘천,2019-12-05 6:00,-4.6,1.3,47.0,0.0
103,93,북춘천,2019-12-05 7:00,-5.6,0.8,59.0,0.0
104,93,북춘천,2019-12-05 8:00,-5.4,1.0,58.0,0.0
105,93,북춘천,2019-12-05 9:00,-3.0,0.4,43.0,0.0
106,93,북춘천,2019-12-05 10:00,-1.0,3.1,23.0,0.0
107,93,북춘천,2019-12-05 11:00,-0.7,4.5,17.0,0.0
108,93,북춘천,2019-12-05 12:00,0.0,3.5,13.0,0.0
109,93,북춘천,2019-12-05 13:00,0.5,2.9,7.0,0.0
110,93,북춘천,2019-12-05 14:00,-0.1,3.4,8.0,0.0
111,93,북춘천,2019-12-05 15:00,-0.4,4.4,8.0,0.0
112,93,북춘천,2019-12-05 16:00,-0.9,3.9,10.0,0.0
113,93,북춘천,2019-12-05 17:00,-2.5,1.8,16.0,0.0
114,93,북춘천,2019-12-05 18:00,-3.8,1.3,23.0,0.0
115,93,북춘천,2019-12-05 19:00,-4.5,2.6,27.0,2.0
116,93,북춘천,2019-12-05 20:00,-5.3,5.2,28.0,0.0
117,93,북춘천,2019-12-05 21:00,-6.2,2.8,32.0,0.0
118,93,북춘천,2019-12-05 22:00,-7.3,0.5,37.0,0.0
119,93,북춘천,2019-12-05 23:00,-7.4,1.5,32.0,0.0
120,93,북춘천,2019-12-06 0:00,-9.2,0.6,50.0,0.0
121,93,북춘천,2019-12-06 1:00,-10.4,0.3,57.0,0.0
122,93,북춘천,2019-12-06 2:00,-10.8,0.9,56.0,0.0
123,93,북춘천,2019-12-06 3:00,-11.1,0.6,58.0,0.0
124,93,북춘천,2019-12-06 4:00,-11.9,0.6,67.0,0.0
125,93,북춘천,2019-12-06 5:00,-12.2,1.1,68.0,0.0
126,93,북춘천,2019-12-06 6:00,-13.2,0.1,74.0,0.0
127,93,북춘천,2019-12-06 7:00,-13.2,0.5,71.0,0.0
128,93,북춘천,2019-12-06 8:00,-13.0,0.3,77.0,0.0
129,93,북춘천,2019-12-06 9:00,-10.5,0.6,66.0,0.0
130,93,북춘천,2019-12-06 10:00,-8.5,0.5,52.0,0.0
131,93,북춘천,2019-12-06 11:00,-7.2,0.7,42.0,0.0
132,93,북춘천,2019-12-06 12:00,-5.2,1.5,33.0,0.0
133,93,북춘천,2019-12-06 13:00,-3.2,0.9,28.0,0.0
134,93,북춘천,2019-12-06 14:00,-2.6,1.0,25.0,0.0
135,93,북춘천,2019-12-06 15:00,-1.4,1.2,23.0,0.0
136,93,북춘천,2019-12-06 16:00,-0.7,1.0,21.0,0.0
137,93,북춘천,2019-12-06 17:00,-1.6,0.3,24.0,0.0
138,93,북춘천,2019-12-06 18:00,-4.4,1.2,37.0,0.0
139,93,북춘천,2019-12-06 19:00,-5.7,1.8,42.0,0.0
140,93,북춘천,2019-12-06 20:00,-6.7,0.9,45.0,0.0
141,93,북춘천,2019-12-06 21:00,-7.5,0.8,55.0,0.0
142,93,북춘천,2019-12-06 22:00,-9.3,0.6,59.0,0.0
143,93,북춘천,2019-12-06 23:00,-9.5,0.5,64.0,0.0
144,93,북춘천,2019-12-07 0:00,-9.0,0.4,60.0,7.0
145,93,북춘천,2019-12-07 1:00,-8.0,0.3,61.0,5.0
146,93,북춘천,2019-12-07 2:00,-8.2,0.3,66.0,7.0
147,93,북춘천,2019-12-07 3:00,-8.0,0.5,72.0,9.0
148,93,북춘천,2019-12-07 4:00,-6.9,0.0,70.0,9.0
149,93,북춘천,2019-12-07 5:00,-6.5,0.2,64.0,9.0
150,93,북춘천,2019-12-07 6:00,-5.9,0.6,63.0,9.0
151,93,북춘천,2019-12-07 7:00,-5.2,0.8,63.0,9.0
152,93,북춘천,2019-12-07 8:00,-5.9,0.8,80.0,10.0
153,93,북춘천,2019-12-07 9:00,-5.8,0.3,88.0,10.0
154,93,북춘천,2019-12-07 10:00,-5.2,0.5,87.0,10.0
155,93,북춘천,2019-12-07 11:00,-4.2,0.7,84.0,10.0
156,93,북춘천,2019-12-07 12:00,-3.1,0.3,79.0,10.0
157,93,북춘천,2019-12-07 13:00,-2.6,0.5,82.0,9.0
158,93,북춘천,2019-12-07 14:00,-2.1,0.9,77.0,9.0
159,93,북춘천,2019-12-07 15:00,-1.5,0.4,76.0,9.0
160,93,북춘천,2019-12-07 16:00,-1.0,0.5,75.0,6.0
161,93,북춘천,2019-12-07 17:00,-1.5,0.0,77.0,0.0
162,93,북춘천,2019-12-07 18:00,-3.3,1.0,86.0,0.0
163,93,북춘천,2019-12-07 19:00,-4.5,0.2,90.0,0.0
164,93,북춘천,2019-12-07 20:00,-5.1,1.1,91.0,0.0
165,93,북춘천,2019-12-07 21:00,-6.2,0.5,92.0,0.0
166,93,북춘천,2019-12-07 22:00,-6.9,0.1,93.0,0.0
167,93,북춘천,2019-12-07 23:00,-6.8,0.6,93.0,5.0
168,93,북춘천,2019-12-08 0:00,-7.2,0.0,93.0,10.0
169,93,북춘천,2019-12-08 1:00,-6.3,0.2,94.0,8.0
170,93,북춘천,2019-12-08 2:00,-5.2,0.0,95.0,10.0
171,93,북춘천,2019-12-08 3:00,-4.7,0.0,95.0,10.0
172,93,북춘천,2019-12-08 4:00,-4.5,0.1,94.0,10.0
173,93,북춘천,2019-12-08 5:00,-4.3,0.3,94.0,10.0
174,93,북춘천,2019-12-08 6:00,-4.1,0.4,94.0,10.0
175,93,북춘천,2019-12-08 7:00,-3.9,0.0,94.0,10.0
176,93,북춘천,2019-12-08 8:00,-3.7,0.4,94.0,10.0
