,Location,place,Date,Temp,Wind,Humid,Cloud
0,289,산청,2019-12-01 0:00,5.8,0.5,70.0,10.0
1,289,산청,2019-12-01 1:00,5.9,0.2,71.0,9.0
2,289,산청,2019-12-01 2:00,5.4,0.3,73.0,9.0
3,289,산청,2019-12-01 3:00,5.6,0.5,73.0,9.0
4,289,산청,2019-12-01 4:00,5.6,0.1,74.0,9.0
5,289,산청,2019-12-01 5:00,5.8,0.2,73.0,10.0
6,289,산청,2019-12-01 6:00,5.7,0.4,76.0,10.0
7,289,산청,2019-12-01 7:00,6.5,0.4,69.0,9.0
8,289,산청,2019-12-01 8:00,6.2,0.6,75.0,10.0
9,289,산청,2019-12-01 9:00,6.2,0.2,82.0,10.0
10,289,산청,2019-12-01 10:00,6.6,0.3,88.0,10.0
11,289,산청,2019-12-01 11:00,6.2,0.9,84.0,10.0
12,289,산청,2019-12-01 12:00,6.2,1.1,91.0,10.0
13,289,산청,2019-12-01 13:00,5.7,0.8,91.0,9.0
14,289,산청,2019-12-01 14:00,5.8,0.6,95.0,10.0
15,289,산청,2019-12-01 15:00,5.8,1.0,96.0,10.0
16,289,산청,2019-12-01 16:00,5.7,0.6,98.0,10.0
17,289,산청,2019-12-01 17:00,5.7,0.8,99.0,10.0
18,289,산청,2019-12-01 18:00,5.6,0.5,99.0,10.0
19,289,산청,2019-12-01 19:00,5.6,1.0,100.0,10.0
20,289,산청,2019-12-01 20:00,5.7,1.1,100.0,4.0
21,289,산청,2019-12-01 21:00,5.8,1.9,97.0,10.0
22,289,산청,2019-12-01 22:00,5.5,1.4,98.0,10.0
23,289,산청,2019-12-01 23:00,5.5,1.7,97.0,10.0
24,289,산청,2019-12-02 0:00,5.3,2.3,95.0,0.0
25,289,산청,2019-12-02 1:00,5.5,2.8,91.0,10.0
26,289,산청,2019-12-02 2:00,6.1,2.4,84.0,9.0
27,289,산청,2019-12-02 3:00,7.4,4.7,71.0,9.0
28,289,산청,2019-12-02 4:00,6.7,5.9,73.0,9.0
29,289,산청,2019-12-02 5:00,5.5,6.4,57.0,10.0
30,289,산청,2019-12-02 6:00,4.9,7.4,57.0,9.0
31,289,산청,2019-12-02 7:00,4.5,4.7,58.0,6.0
32,289,산청,2019-12-02 8:00,4.5,5.2,59.0,6.0
33,289,산청,2019-12-02 9:00,5.1,6.2,54.0,4.0
34,289,산청,2019-12-02 10:00,5.3,5.8,56.0,8.0
35,289,산청,2019-12-02 11:00,5.6,5.8,52.0,5.0
36,289,산청,2019-12-02 12:00,6.4,5.4,49.0,7.0
37,289,산청,2019-12-02 13:00,6.4,5.4,48.0,6.0
38,289,산청,2019-12-02 14:00,6.8,6.6,46.0,6.0
39,289,산청,2019-12-02 15:00,6.7,5.8,44.0,5.0
40,289,산청,2019-12-02 16:00,5.7,5.9,43.0,4.0
41,289,산청,2019-12-02 17:00,4.5,6.8,46.0,1.0
42,289,산청,2019-12-02 18:00,3.7,4.4,50.0,0.0
43,289,산청,2019-12-02 19:00,3.3,5.7,53.0,0.0
44,289,산청,2019-12-02 20:00,2.9,4.4,56.0,0.0
45,289,산청,2019-12-02 21:00,2.8,4.2,55.0,0.0
46,289,산청,2019-12-02 22:00,2.6,4.5,55.0,0.0
47,289,산청,2019-12-02 23:00,2.5,4.9,55.0,0.0
48,289,산청,2019-12-03 0:00,2.2,6.2,52.0,8.0
49,289,산청,2019-12-03 1:00,2.1,6.6,53.0,2.0
50,289,산청,2019-12-03 2:00,2.0,2.5,60.0,9.0
51,289,산청,2019-12-03 3:00,2.0,2.8,64.0,4.0
52,289,산청,2019-12-03 4:00,1.6,3.0,68.0,2.0
53,289,산청,2019-12-03 5:00,1.2,2.1,67.0,6.0
54,289,산청,2019-12-03 6:00,0.4,0.9,72.0,0.0
55,289,산청,2019-12-03 7:00,-0.7,0.7,78.0,0.0
56,289,산청,2019-12-03 8:00,-0.9,0.0,83.0,5.0
57,289,산청,2019-12-03 9:00,0.5,0.5,78.0,7.0
58,289,산청,2019-12-03 10:00,3.0,0.9,65.0,5.0
59,289,산청,2019-12-03 11:00,4.9,0.9,52.0,4.5
60,289,산청,2019-12-03 12:00,6.0,0.9,48.0,4.0
61,289,산청,2019-12-03 13:00,6.4,3.9,49.0,8.0
62,289,산청,2019-12-03 14:00,6.8,3.4,51.0,8.0
63,289,산청,2019-12-03 15:00,6.3,3.5,50.0,7.0
64,289,산청,2019-12-03 16:00,6.2,2.9,52.0,9.0
65,289,산청,2019-12-03 17:00,6.1,2.0,52.0,9.0
66,289,산청,2019-12-03 18:00,5.8,3.8,53.0,0.0
67,289,산청,2019-12-03 19:00,5.1,1.9,58.0,2.0
68,289,산청,2019-12-03 20:00,5.0,1.8,57.0,0.0
