,Location,place,Date,Temp,Wind,Humid,Cloud
0,137,상주,2019-12-01 0:00,5.5,0.7,74.0,10.0
1,137,상주,2019-12-01 1:00,7.6,1.2,56.0,10.0
2,137,상주,2019-12-01 2:00,7.9,1.5,48.0,10.0
3,137,상주,2019-12-01 3:00,7.6,1.1,46.0,10.0
4,137,상주,2019-12-01 4:00,7.1,1.4,51.0,10.0
5,137,상주,2019-12-01 5:00,7.0,1.0,53.0,10.0
6,137,상주,2019-12-01 6:00,6.8,2.7,54.0,10.0
7,137,상주,2019-12-01 7:00,6.5,1.2,56.0,9.0
8,137,상주,2019-12-01 8:00,6.5,1.1,59.0,10.0
9,137,상주,2019-12-01 9:00,7.1,0.2,60.0,9.0
10,137,상주,2019-12-01 10:00,8.0,0.5,57.0,10.0
11,137,상주,2019-12-01 11:00,8.9,0.3,57.0,10.0
12,137,상주,2019-12-01 12:00,8.1,0.1,64.0,10.0
13,137,상주,2019-12-01 13:00,7.5,0.4,71.0,10.0
14,137,상주,2019-12-01 14:00,6.0,0.9,88.0,10.0
15,137,상주,2019-12-01 15:00,6.0,0.6,93.0,10.0
16,137,상주,2019-12-01 16:00,5.6,1.1,97.0,10.0
17,137,상주,2019-12-01 17:00,5.3,0.5,98.0,10.0
18,137,상주,2019-12-01 18:00,5.3,0.8,98.0,10.0
19,137,상주,2019-12-01 19:00,5.1,0.6,99.0,10.0
20,137,상주,2019-12-01 20:00,5.0,0.9,99.0,9.0
21,137,상주,2019-12-01 21:00,5.0,0.9,99.0,10.0
22,137,상주,2019-12-01 22:00,5.0,0.8,99.0,10.0
23,137,상주,2019-12-01 23:00,5.1,0.9,99.0,10.0
24,137,상주,2019-12-02 0:00,5.0,1.6,97.0,9.0
25,137,상주,2019-12-02 1:00,5.3,2.2,92.0,9.0
26,137,상주,2019-12-02 2:00,5.9,2.4,87.0,10.0
27,137,상주,2019-12-02 3:00,5.5,4.4,82.0,9.0
28,137,상주,2019-12-02 4:00,3.7,3.9,54.0,10.0
29,137,상주,2019-12-02 5:00,3.1,3.3,58.0,9.0
30,137,상주,2019-12-02 6:00,2.7,4.2,66.0,7.0
31,137,상주,2019-12-02 7:00,2.2,2.9,68.0,1.0
32,137,상주,2019-12-02 8:00,2.2,2.3,70.0,3.0
33,137,상주,2019-12-02 9:00,2.5,2.7,68.0,7.0
34,137,상주,2019-12-02 10:00,3.6,3.9,61.0,7.0
35,137,상주,2019-12-02 11:00,4.4,4.8,56.0,5.0
36,137,상주,2019-12-02 12:00,4.5,5.6,49.0,2.0
37,137,상주,2019-12-02 13:00,4.8,5.9,40.0,1.0
38,137,상주,2019-12-02 14:00,5.7,4.3,37.0,0.0
39,137,상주,2019-12-02 15:00,6.0,3.6,37.0,0.0
40,137,상주,2019-12-02 16:00,5.1,3.3,40.0,0.0
41,137,상주,2019-12-02 17:00,3.5,4.0,46.0,0.0
42,137,상주,2019-12-02 18:00,2.4,4.1,53.0,1.0
43,137,상주,2019-12-02 19:00,1.6,4.1,61.0,2.0
44,137,상주,2019-12-02 20:00,1.2,5.0,58.0,0.0
45,137,상주,2019-12-02 21:00,0.8,3.2,60.0,0.0
46,137,상주,2019-12-02 22:00,0.2,3.3,58.0,0.0
47,137,상주,2019-12-02 23:00,-0.2,3.7,54.0,0.0
48,137,상주,2019-12-03 0:00,-0.9,1.8,58.0,0.0
49,137,상주,2019-12-03 1:00,-0.9,2.3,59.0,0.0
50,137,상주,2019-12-03 2:00,-1.0,2.3,62.0,0.0
51,137,상주,2019-12-03 3:00,-1.2,1.9,64.0,0.0
52,137,상주,2019-12-03 4:00,-1.3,0.9,63.0,0.0
53,137,상주,2019-12-03 5:00,-1.8,1.3,64.0,0.0
54,137,상주,2019-12-03 6:00,-2.5,1.6,69.0,0.0
55,137,상주,2019-12-03 7:00,-2.8,1.4,70.0,0.0
56,137,상주,2019-12-03 8:00,-2.6,2.5,67.0,0.0
57,137,상주,2019-12-03 9:00,-0.6,1.3,60.0,0.0
58,137,상주,2019-12-03 10:00,1.2,0.9,50.0,4.0
59,137,상주,2019-12-03 11:00,3.5,3.6,45.0,3.0
60,137,상주,2019-12-03 12:00,5.7,1.9,46.0,2.0
61,137,상주,2019-12-03 13:00,5.3,2.7,54.0,7.0
62,137,상주,2019-12-03 14:00,5.7,1.9,53.0,8.0
63,137,상주,2019-12-03 15:00,5.4,1.8,59.0,9.0
64,137,상주,2019-12-03 16:00,4.8,2.0,66.0,9.0
65,137,상주,2019-12-03 17:00,3.5,1.2,82.0,8.0
66,137,상주,2019-12-03 18:00,2.5,1.7,91.0,9.0
