,Location,place,Date,Temp,Wind,Humid,Cloud
0,189,서귀포,2019-12-01 0:00,14.6,1.0,81.0,10.0
1,189,서귀포,2019-12-01 1:00,14.6,0.4,81.0,10.0
2,189,서귀포,2019-12-01 2:00,14.2,1.0,85.0,10.0
3,189,서귀포,2019-12-01 3:00,13.8,1.3,96.0,10.0
4,189,서귀포,2019-12-01 4:00,14.0,1.0,93.0,10.0
5,189,서귀포,2019-12-01 5:00,14.5,1.3,90.0,10.0
6,189,서귀포,2019-12-01 6:00,13.8,1.5,93.0,10.0
7,189,서귀포,2019-12-01 7:00,13.9,1.3,99.0,10.0
8,189,서귀포,2019-12-01 8:00,14.1,1.3,99.0,10.0
9,189,서귀포,2019-12-01 9:00,13.6,1.7,99.0,10.0
10,189,서귀포,2019-12-01 10:00,14.0,1.7,99.0,10.0
11,189,서귀포,2019-12-01 11:00,14.1,1.7,99.0,10.0
12,189,서귀포,2019-12-01 12:00,14.2,1.3,99.0,10.0
13,189,서귀포,2019-12-01 13:00,14.0,1.1,99.0,10.0
14,189,서귀포,2019-12-01 14:00,14.1,0.8,99.0,10.0
15,189,서귀포,2019-12-01 15:00,13.9,1.5,99.0,10.0
16,189,서귀포,2019-12-01 16:00,14.0,1.7,99.0,10.0
17,189,서귀포,2019-12-01 17:00,14.0,1.6,99.0,10.0
18,189,서귀포,2019-12-01 18:00,15.1,0.7,99.0,10.0
19,189,서귀포,2019-12-01 19:00,17.0,1.9,99.0,10.0
20,189,서귀포,2019-12-01 20:00,15.5,0.6,99.0,10.0
21,189,서귀포,2019-12-01 21:00,15.0,0.7,99.0,10.0
22,189,서귀포,2019-12-01 22:00,15.2,1.4,97.0,10.0
23,189,서귀포,2019-12-01 23:00,14.6,1.2,99.0,9.0
24,189,서귀포,2019-12-02 0:00,14.7,1.0,98.0,10.0
25,189,서귀포,2019-12-02 1:00,14.6,0.0,97.0,10.0
26,189,서귀포,2019-12-02 2:00,14.2,0.6,98.0,10.0
27,189,서귀포,2019-12-02 3:00,13.3,0.8,91.0,10.0
28,189,서귀포,2019-12-02 4:00,12.8,0.6,89.0,8.0
29,189,서귀포,2019-12-02 5:00,12.3,1.1,91.0,10.0
30,189,서귀포,2019-12-02 6:00,12.2,1.3,72.0,10.0
31,189,서귀포,2019-12-02 7:00,10.6,1.8,70.0,10.0
32,189,서귀포,2019-12-02 8:00,10.0,1.0,71.0,7.0
33,189,서귀포,2019-12-02 9:00,11.0,2.3,68.0,4.0
34,189,서귀포,2019-12-02 10:00,11.8,1.8,60.0,4.0
35,189,서귀포,2019-12-02 11:00,10.9,1.9,65.0,7.0
36,189,서귀포,2019-12-02 12:00,11.9,2.3,58.0,2.0
37,189,서귀포,2019-12-02 13:00,11.9,2.3,53.0,2.0
38,189,서귀포,2019-12-02 14:00,11.0,2.2,53.0,4.0
39,189,서귀포,2019-12-02 15:00,10.4,2.6,46.0,5.0
40,189,서귀포,2019-12-02 16:00,9.8,2.4,51.0,6.0
41,189,서귀포,2019-12-02 17:00,8.8,1.9,51.0,4.0
42,189,서귀포,2019-12-02 18:00,8.4,2.2,61.0,8.0
43,189,서귀포,2019-12-02 19:00,7.8,2.3,68.0,2.0
44,189,서귀포,2019-12-02 20:00,8.1,1.7,68.0,3.0
45,189,서귀포,2019-12-02 21:00,8.1,0.8,63.0,8.0
46,189,서귀포,2019-12-02 22:00,7.7,3.4,61.0,8.0
47,189,서귀포,2019-12-02 23:00,7.4,3.3,58.0,7.0
48,189,서귀포,2019-12-03 0:00,6.7,1.2,58.0,4.0
49,189,서귀포,2019-12-03 1:00,6.5,0.6,61.0,9.0
50,189,서귀포,2019-12-03 2:00,6.5,1.7,64.0,9.0
51,189,서귀포,2019-12-03 3:00,7.0,1.2,61.0,4.0
52,189,서귀포,2019-12-03 4:00,5.9,0.7,70.0,7.0
53,189,서귀포,2019-12-03 5:00,6.5,0.6,66.0,7.0
54,189,서귀포,2019-12-03 6:00,5.6,2.4,77.0,6.0
55,189,서귀포,2019-12-03 7:00,6.7,0.6,72.0,7.0
56,189,서귀포,2019-12-03 8:00,6.5,1.1,73.0,6.0
57,189,서귀포,2019-12-03 9:00,7.9,0.9,61.0,5.0
58,189,서귀포,2019-12-03 10:00,9.0,0.6,56.0,6.0
59,189,서귀포,2019-12-03 11:00,10.2,1.5,56.0,8.0
60,189,서귀포,2019-12-03 12:00,11.2,0.7,58.0,7.0
61,189,서귀포,2019-12-03 13:00,11.1,3.1,51.0,8.0
62,189,서귀포,2019-12-03 14:00,9.5,2.3,58.0,5.0
63,189,서귀포,2019-12-03 15:00,10.2,2.7,56.0,6.0
64,189,서귀포,2019-12-03 16:00,9.6,2.6,59.0,8.0
65,189,서귀포,2019-12-03 17:00,9.0,1.6,62.0,9.0
66,189,서귀포,2019-12-03 18:00,9.1,0.9,59.0,8.0
67,189,서귀포,2019-12-03 19:00,9.1,0.5,56.0,3.0
68,189,서귀포,2019-12-03 20:00,9.0,1.1,57.0,2.0
69,189,서귀포,2019-12-03 21:00,9.2,1.8,58.0,7.0
70,189,서귀포,2019-12-03 22:00,8.8,1.2,61.0,5.0
71,189,서귀포,2019-12-03 23:00,8.6,0.7,61.0,5.0
72,189,서귀포,2019-12-04 0:00,8.4,0.9,61.0,8.0
73,189,서귀포,2019-12-04 1:00,8.2,0.1,63.0,6.0
74,189,서귀포,2019-12-04 2:00,9.0,0.9,65.0,2.0
75,189,서귀포,2019-12-04 3:00,8.3,0.6,64.0,5.0
76,189,서귀포,2019-12-04 4:00,9.1,2.0,58.0,4.0
77,189,서귀포,2019-12-04 5:00,9.0,0.9,58.0,0.0
78,189,서귀포,2019-12-04 6:00,9.2,1.1,56.0,0.0
79,189,서귀포,2019-12-04 7:00,8.0,0.6,61.0,2.0
80,189,서귀포,2019-12-04 8:00,8.8,0.5,58.0,4.0
