,Location,place,Date,Temp,Wind,Humid,Cloud
0,129,서산,2019-12-01 0:00,4.8,0.0,79.0,10.0
1,129,서산,2019-12-01 1:00,4.9,0.7,80.0,9.0
2,129,서산,2019-12-01 2:00,5.2,0.3,78.0,9.0
3,129,서산,2019-12-01 3:00,4.9,0.0,85.0,9.5
4,129,서산,2019-12-01 4:00,4.7,0.2,90.0,10.0
5,129,서산,2019-12-01 5:00,3.8,0.3,95.0,7.0
6,129,서산,2019-12-01 6:00,4.5,0.2,95.0,9.0
7,129,서산,2019-12-01 7:00,4.4,0.2,97.0,10.0
8,129,서산,2019-12-01 8:00,4.5,0.3,97.0,10.0
9,129,서산,2019-12-01 9:00,5.5,0.2,90.0,9.0
10,129,서산,2019-12-01 10:00,6.3,0.0,90.0,10.0
11,129,서산,2019-12-01 11:00,6.6,0.4,93.0,10.0
12,129,서산,2019-12-01 12:00,7.3,0.6,93.0,10.0
13,129,서산,2019-12-01 13:00,7.6,1.0,93.0,10.0
14,129,서산,2019-12-01 14:00,7.3,0.4,94.0,10.0
15,129,서산,2019-12-01 15:00,7.3,0.2,97.0,10.0
16,129,서산,2019-12-01 16:00,7.4,0.5,97.0,10.0
17,129,서산,2019-12-01 17:00,7.1,0.4,98.0,10.0
18,129,서산,2019-12-01 18:00,6.7,0.6,98.0,10.0
19,129,서산,2019-12-01 19:00,6.0,2.4,96.0,10.0
20,129,서산,2019-12-01 20:00,5.7,2.0,94.0,10.0
21,129,서산,2019-12-01 21:00,5.3,1.7,94.0,10.0
22,129,서산,2019-12-01 22:00,4.9,1.9,91.0,10.0
23,129,서산,2019-12-01 23:00,4.7,1.2,91.0,10.0
24,129,서산,2019-12-02 0:00,5.0,3.1,64.0,9.0
25,129,서산,2019-12-02 1:00,4.7,3.1,57.0,7.0
26,129,서산,2019-12-02 2:00,5.0,1.9,65.0,10.0
27,129,서산,2019-12-02 3:00,5.3,4.1,62.0,10.0
28,129,서산,2019-12-02 4:00,5.0,3.9,63.0,9.0
29,129,서산,2019-12-02 5:00,5.0,4.5,57.0,9.0
30,129,서산,2019-12-02 6:00,4.4,4.2,57.0,9.0
31,129,서산,2019-12-02 7:00,4.1,2.7,56.0,9.0
32,129,서산,2019-12-02 8:00,3.8,3.1,56.0,6.0
33,129,서산,2019-12-02 9:00,4.2,3.7,56.0,6.0
34,129,서산,2019-12-02 10:00,4.7,5.6,43.0,0.0
35,129,서산,2019-12-02 11:00,5.0,4.8,40.0,0.0
