,Location,place,Date,Temp,Wind,Humid,Cloud
0,108,서울,2019-12-01 0:00,5.3,0.9,51.0,9.0
1,108,서울,2019-12-01 1:00,5.1,0.7,54.0,10.0
2,108,서울,2019-12-01 2:00,4.9,0.0,55.0,10.0
3,108,서울,2019-12-01 3:00,4.6,1.3,66.0,10.0
4,108,서울,2019-12-01 4:00,4.6,1.0,65.0,10.0
5,108,서울,2019-12-01 5:00,4.8,1.1,65.0,10.0
6,108,서울,2019-12-01 6:00,4.9,1.0,66.0,10.0
7,108,서울,2019-12-01 7:00,4.9,1.4,66.0,10.0
8,108,서울,2019-12-01 8:00,5.0,1.7,68.0,10.0
9,108,서울,2019-12-01 9:00,5.1,1.3,76.0,10.0
10,108,서울,2019-12-01 10:00,5.1,1.9,79.0,10.0
11,108,서울,2019-12-01 11:00,5.6,2.0,82.0,10.0
12,108,서울,2019-12-01 12:00,6.1,2.2,81.0,10.0
13,108,서울,2019-12-01 13:00,6.1,1.5,83.0,10.0
14,108,서울,2019-12-01 14:00,5.9,1.5,87.0,10.0
15,108,서울,2019-12-01 15:00,5.8,1.2,93.0,10.0
16,108,서울,2019-12-01 16:00,5.6,1.0,94.0,10.0
17,108,서울,2019-12-01 17:00,5.3,1.6,87.0,10.0
18,108,서울,2019-12-01 18:00,4.9,2.2,88.0,10.0
19,108,서울,2019-12-01 19:00,4.4,2.4,92.0,10.0
20,108,서울,2019-12-01 20:00,3.9,2.3,91.0,10.0
21,108,서울,2019-12-01 21:00,3.4,4.1,85.0,10.0
22,108,서울,2019-12-01 22:00,3.2,1.2,85.0,10.0
23,108,서울,2019-12-01 23:00,3.0,1.8,81.0,8.0
24,108,서울,2019-12-02 0:00,2.3,1.5,80.0,4.0
25,108,서울,2019-12-02 1:00,1.8,3.0,73.0,9.0
26,108,서울,2019-12-02 2:00,1.5,1.9,72.0,9.0
27,108,서울,2019-12-02 3:00,1.0,2.0,73.0,2.0
28,108,서울,2019-12-02 4:00,0.6,2.3,71.0,2.0
29,108,서울,2019-12-02 5:00,0.2,3.0,67.0,0.0
30,108,서울,2019-12-02 6:00,-0.1,3.1,67.0,7.0
31,108,서울,2019-12-02 7:00,-0.4,3.3,68.0,2.0
32,108,서울,2019-12-02 8:00,-0.6,3.4,65.0,1.0
33,108,서울,2019-12-02 9:00,-0.2,2.3,57.0,0.0
34,108,서울,2019-12-02 10:00,0.6,5.1,40.0,0.0
35,108,서울,2019-12-02 11:00,1.0,4.3,38.0,0.0
36,108,서울,2019-12-02 12:00,2.1,4.3,25.0,0.0
37,108,서울,2019-12-02 13:00,2.3,4.3,31.0,0.0
38,108,서울,2019-12-02 14:00,2.6,5.1,37.0,1.0
39,108,서울,2019-12-02 15:00,2.4,4.8,43.0,2.0
40,108,서울,2019-12-02 16:00,1.3,4.8,40.0,3.0
41,108,서울,2019-12-02 17:00,0.7,5.6,35.0,1.0
42,108,서울,2019-12-02 18:00,-0.1,4.2,38.0,0.0
43,108,서울,2019-12-02 19:00,-1.3,2.8,37.0,0.0
44,108,서울,2019-12-02 20:00,-2.1,1.1,37.0,0.0
45,108,서울,2019-12-02 21:00,-2.5,1.5,38.0,7.0
46,108,서울,2019-12-02 22:00,-2.4,1.6,40.0,8.0
47,108,서울,2019-12-02 23:00,-2.7,1.7,41.0,3.0
48,108,서울,2019-12-03 0:00,-3.2,1.2,43.0,1.0
49,108,서울,2019-12-03 1:00,-3.2,1.5,44.0,0.0
50,108,서울,2019-12-03 2:00,-4.0,0.6,47.0,0.0
51,108,서울,2019-12-03 3:00,-4.2,1.0,49.0,0.0
52,108,서울,2019-12-03 4:00,-4.3,0.8,54.0,0.0
53,108,서울,2019-12-03 5:00,-4.8,1.5,59.0,0.0
54,108,서울,2019-12-03 6:00,-4.7,1.2,56.0,0.0
55,108,서울,2019-12-03 7:00,-4.3,0.9,56.0,1.0
56,108,서울,2019-12-03 8:00,-4.4,1.1,59.0,1.0
57,108,서울,2019-12-03 9:00,-3.0,1.4,51.0,2.0
58,108,서울,2019-12-03 10:00,-0.9,1.1,49.0,9.0
59,108,서울,2019-12-03 11:00,0.3,1.1,51.0,9.0
60,108,서울,2019-12-03 12:00,1.7,1.1,52.0,9.0
61,108,서울,2019-12-03 13:00,2.5,1.1,65.0,8.0
62,108,서울,2019-12-03 14:00,3.3,1.7,66.0,8.0
63,108,서울,2019-12-03 15:00,4.1,2.0,56.0,9.0
64,108,서울,2019-12-03 16:00,4.0,1.6,50.0,9.0
65,108,서울,2019-12-03 17:00,3.7,2.0,54.0,9.0
66,108,서울,2019-12-03 18:00,3.6,1.8,70.0,10.0
67,108,서울,2019-12-03 19:00,3.5,2.1,68.0,10.0
68,108,서울,2019-12-03 20:00,3.5,1.9,65.0,9.0
69,108,서울,2019-12-03 21:00,3.5,2.2,71.0,10.0
70,108,서울,2019-12-03 22:00,3.4,2.2,77.0,10.0
71,108,서울,2019-12-03 23:00,3.3,2.1,82.0,10.0
72,108,서울,2019-12-04 0:00,3.2,1.3,85.0,10.0
73,108,서울,2019-12-04 1:00,3.0,2.2,74.0,10.0
74,108,서울,2019-12-04 2:00,2.5,1.9,59.0,3.0
75,108,서울,2019-12-04 3:00,1.7,2.8,36.0,1.0
76,108,서울,2019-12-04 4:00,0.4,1.8,58.0,0.0
77,108,서울,2019-12-04 5:00,-0.6,0.6,59.0,0.0
78,108,서울,2019-12-04 6:00,-1.1,0.7,58.0,0.0
79,108,서울,2019-12-04 7:00,-1.6,0.9,58.0,0.0
80,108,서울,2019-12-04 8:00,-2.0,1.5,57.0,0.0
81,108,서울,2019-12-04 9:00,-1.2,1.6,36.0,0.0
82,108,서울,2019-12-04 10:00,1.0,1.2,37.0,0.0
83,108,서울,2019-12-04 11:00,2.6,1.9,22.0,0.0
84,108,서울,2019-12-04 12:00,4.0,2.0,24.0,0.0
85,108,서울,2019-12-04 13:00,6.1,1.7,26.0,0.0
86,108,서울,2019-12-04 14:00,7.1,3.1,30.0,4.0
87,108,서울,2019-12-04 15:00,6.8,2.0,31.0,6.0
88,108,서울,2019-12-04 16:00,6.1,1.9,35.0,6.0
89,108,서울,2019-12-04 17:00,5.2,3.8,43.0,1.0
90,108,서울,2019-12-04 18:00,4.0,1.9,45.0,1.0
91,108,서울,2019-12-04 19:00,2.9,1.4,44.0,0.0
92,108,서울,2019-12-04 20:00,2.3,1.5,46.0,0.0
93,108,서울,2019-12-04 21:00,1.6,1.1,50.0,0.0
94,108,서울,2019-12-04 22:00,1.6,4.3,53.0,0.0
95,108,서울,2019-12-04 23:00,0.7,2.9,49.0,0.0
96,108,서울,2019-12-05 0:00,-0.2,1.6,53.0,0.0
97,108,서울,2019-12-05 1:00,-0.7,4.0,47.0,0.0
98,108,서울,2019-12-05 2:00,-1.3,2.9,34.0,0.0
99,108,서울,2019-12-05 3:00,-2.1,1.7,37.0,0.0
100,108,서울,2019-12-05 4:00,-2.9,1.7,45.0,0.0
101,108,서울,2019-12-05 5:00,-3.7,1.7,44.0,0.0
102,108,서울,2019-12-05 6:00,-4.0,2.4,37.0,0.0
103,108,서울,2019-12-05 7:00,-4.5,2.2,36.0,0.0
104,108,서울,2019-12-05 8:00,-4.7,2.6,39.0,0.0
105,108,서울,2019-12-05 9:00,-4.5,4.0,32.0,0.0
106,108,서울,2019-12-05 10:00,-3.6,4.1,19.0,0.0
107,108,서울,2019-12-05 11:00,-2.9,3.7,19.0,0.0
108,108,서울,2019-12-05 12:00,-2.5,4.6,19.0,0.0
109,108,서울,2019-12-05 13:00,-1.7,4.9,23.0,0.0
110,108,서울,2019-12-05 14:00,-1.6,4.0,23.0,0.0
111,108,서울,2019-12-05 15:00,-1.0,3.9,26.0,0.0
112,108,서울,2019-12-05 16:00,-2.1,4.3,24.0,0.0
113,108,서울,2019-12-05 17:00,-3.7,4.6,30.0,0.0
114,108,서울,2019-12-05 18:00,-4.8,3.9,32.0,0.0
115,108,서울,2019-12-05 19:00,-5.8,4.0,35.0,0.0
116,108,서울,2019-12-05 20:00,-6.7,1.5,42.0,0.0
117,108,서울,2019-12-05 21:00,-7.5,1.5,41.0,0.0
118,108,서울,2019-12-05 22:00,-8.0,3.0,35.0,0.0
119,108,서울,2019-12-05 23:00,-8.2,4.0,32.0,0.0
120,108,서울,2019-12-06 0:00,-8.5,2.7,31.0,0.0
121,108,서울,2019-12-06 1:00,-8.7,2.6,31.0,0.0
122,108,서울,2019-12-06 2:00,-9.1,2.4,31.0,0.0
123,108,서울,2019-12-06 3:00,-9.5,1.7,35.0,0.0
124,108,서울,2019-12-06 4:00,-9.8,1.7,34.0,0.0
125,108,서울,2019-12-06 5:00,-10.2,0.9,35.0,0.0
126,108,서울,2019-12-06 6:00,-10.2,1.0,38.0,0.0
127,108,서울,2019-12-06 7:00,-10.2,0.9,42.0,0.0
128,108,서울,2019-12-06 8:00,-10.6,0.9,38.0,0.0
129,108,서울,2019-12-06 9:00,-9.2,1.1,31.0,0.0
130,108,서울,2019-12-06 10:00,-6.6,1.3,30.0,0.0
131,108,서울,2019-12-06 11:00,-4.2,2.3,24.0,0.0
132,108,서울,2019-12-06 12:00,-2.5,2.0,21.0,0.0
133,108,서울,2019-12-06 13:00,-2.5,2.9,22.0,0.0
134,108,서울,2019-12-06 14:00,-1.7,2.8,24.0,0.0
135,108,서울,2019-12-06 15:00,-1.4,3.2,26.0,0.0
136,108,서울,2019-12-06 16:00,-1.4,2.6,26.0,0.0
137,108,서울,2019-12-06 17:00,-2.6,1.9,30.0,0.0
138,108,서울,2019-12-06 18:00,-3.6,1.1,33.0,0.0
139,108,서울,2019-12-06 19:00,-4.6,1.2,38.0,0.0
140,108,서울,2019-12-06 20:00,-5.2,1.1,41.0,0.0
141,108,서울,2019-12-06 21:00,-5.4,0.9,43.0,0.0
142,108,서울,2019-12-06 22:00,-5.5,1.6,47.0,0.0
143,108,서울,2019-12-06 23:00,-5.6,1.5,48.0,0.0
144,108,서울,2019-12-07 0:00,-5.4,1.0,49.0,5.0
145,108,서울,2019-12-07 1:00,-5.3,0.7,51.0,0.0
146,108,서울,2019-12-07 2:00,-5.5,1.8,55.0,10.0
147,108,서울,2019-12-07 3:00,-5.1,2.2,51.0,8.0
148,108,서울,2019-12-07 4:00,-5.1,2.4,52.0,6.0
149,108,서울,2019-12-07 5:00,-4.6,1.9,51.0,8.0
150,108,서울,2019-12-07 6:00,-4.0,2.1,50.0,9.0
151,108,서울,2019-12-07 7:00,-3.4,2.0,49.0,9.0
152,108,서울,2019-12-07 8:00,-3.1,2.3,50.0,9.0
153,108,서울,2019-12-07 9:00,-2.7,2.2,53.0,9.0
154,108,서울,2019-12-07 10:00,-2.4,3.1,58.0,9.0
155,108,서울,2019-12-07 11:00,-2.3,2.3,67.0,10.0
156,108,서울,2019-12-07 12:00,-2.3,2.6,74.0,10.0
157,108,서울,2019-12-07 13:00,-1.5,1.9,70.0,9.0
158,108,서울,2019-12-07 14:00,-0.7,2.2,65.0,9.0
159,108,서울,2019-12-07 15:00,0.0,1.4,64.0,9.0
160,108,서울,2019-12-07 16:00,1.1,0.2,67.0,0.0
161,108,서울,2019-12-07 17:00,0.5,1.0,69.0,0.0
162,108,서울,2019-12-07 18:00,-0.8,1.5,75.0,0.0
163,108,서울,2019-12-07 19:00,-1.4,1.1,72.0,0.0
164,108,서울,2019-12-07 20:00,-1.8,1.3,76.0,0.0
165,108,서울,2019-12-07 21:00,-1.5,1.2,77.0,8.0
166,108,서울,2019-12-07 22:00,-1.2,1.5,73.0,0.0
167,108,서울,2019-12-07 23:00,-1.6,0.7,73.0,0.0
168,108,서울,2019-12-08 0:00,-2.6,1.1,76.0,0.0
169,108,서울,2019-12-08 1:00,-3.2,1.1,73.0,0.0
170,108,서울,2019-12-08 2:00,-3.8,1.0,78.0,0.0
171,108,서울,2019-12-08 3:00,-4.1,0.5,80.0,0.0
172,108,서울,2019-12-08 4:00,-4.2,1.0,82.0,0.0
173,108,서울,2019-12-08 5:00,-4.6,1.6,85.0,0.0
174,108,서울,2019-12-08 6:00,-5.0,1.7,86.0,0.0
175,108,서울,2019-12-08 7:00,-5.2,1.7,86.0,0.0
176,108,서울,2019-12-08 8:00,-5.5,1.8,87.0,0.0
177,108,서울,2019-12-08 9:00,-4.7,1.8,80.0,0.0
178,108,서울,2019-12-08 10:00,-2.2,2.7,70.0,0.0
179,108,서울,2019-12-08 11:00,-0.5,2.5,66.0,0.0
180,108,서울,2019-12-08 12:00,1.1,1.3,58.0,0.0
181,108,서울,2019-12-08 13:00,3.0,1.6,40.0,0.0
182,108,서울,2019-12-08 14:00,3.8,2.3,33.0,0.0
183,108,서울,2019-12-08 15:00,4.5,2.6,35.0,0.0
184,108,서울,2019-12-08 16:00,4.5,1.7,38.0,0.0
185,108,서울,2019-12-08 17:00,3.3,1.0,44.0,2.0
186,108,서울,2019-12-08 18:00,2.1,0.9,56.0,1.0
187,108,서울,2019-12-08 19:00,0.9,0.2,59.0,0.0
188,108,서울,2019-12-08 20:00,0.2,1.6,62.0,0.0
189,108,서울,2019-12-08 21:00,-0.4,1.4,64.0,0.0
190,108,서울,2019-12-08 22:00,-1.0,1.6,65.0,0.0
191,108,서울,2019-12-08 23:00,-1.2,1.2,65.0,9.0
192,108,서울,2019-12-09 0:00,-0.7,2.1,62.0,8.0
193,108,서울,2019-12-09 1:00,-0.9,1.1,64.0,9.0
194,108,서울,2019-12-09 2:00,-1.0,3.3,59.0,8.0
195,108,서울,2019-12-09 3:00,-1.2,2.0,60.0,3.0
196,108,서울,2019-12-09 4:00,-0.5,2.5,58.0,4.0
