,Location,place,Date,Temp,Wind,Humid,Cloud
0,90,속초,2019-12-01 0:00,8.2,2.7,28.0,10.0
1,90,속초,2019-12-01 1:00,8.2,3.1,29.0,10.0
2,90,속초,2019-12-01 2:00,7.4,2.1,34.0,10.0
3,90,속초,2019-12-01 3:00,7.8,1.3,38.0,10.0
4,90,속초,2019-12-01 4:00,7.3,1.5,47.0,10.0
5,90,속초,2019-12-01 5:00,7.2,1.4,49.0,10.0
6,90,속초,2019-12-01 6:00,6.9,2.4,48.0,10.0
7,90,속초,2019-12-01 7:00,7.3,1.9,52.0,10.0
8,90,속초,2019-12-01 8:00,7.5,2.1,58.0,10.0
9,90,속초,2019-12-01 9:00,7.3,1.2,58.0,10.0
10,90,속초,2019-12-01 10:00,8.1,0.3,53.0,10.0
11,90,속초,2019-12-01 11:00,9.2,1.3,54.0,10.0
12,90,속초,2019-12-01 12:00,9.2,1.3,56.0,10.0
13,90,속초,2019-12-01 13:00,9.3,0.6,57.0,10.0
14,90,속초,2019-12-01 14:00,9.3,0.6,57.0,10.0
15,90,속초,2019-12-01 15:00,9.0,0.0,60.0,10.0
16,90,속초,2019-12-01 16:00,8.5,1.1,66.0,10.0
17,90,속초,2019-12-01 17:00,8.1,1.4,64.0,10.0
18,90,속초,2019-12-01 18:00,7.4,0.3,67.0,10.0
19,90,속초,2019-12-01 19:00,7.1,0.7,68.0,10.0
20,90,속초,2019-12-01 20:00,6.7,0.7,72.0,10.0
21,90,속초,2019-12-01 21:00,6.5,0.7,75.0,10.0
22,90,속초,2019-12-01 22:00,6.0,1.0,79.0,10.0
23,90,속초,2019-12-01 23:00,6.0,1.0,79.0,10.0
24,90,속초,2019-12-02 0:00,5.2,1.2,85.0,10.0
25,90,속초,2019-12-02 1:00,6.5,2.0,66.0,9.0
26,90,속초,2019-12-02 2:00,6.4,1.3,56.0,9.0
27,90,속초,2019-12-02 3:00,5.8,2.4,45.0,9.0
28,90,속초,2019-12-02 4:00,4.7,4.3,34.0,9.0
29,90,속초,2019-12-02 5:00,5.0,5.0,26.0,8.0
30,90,속초,2019-12-02 6:00,3.1,7.8,39.0,5.0
31,90,속초,2019-12-02 7:00,2.2,2.2,41.0,0.0
32,90,속초,2019-12-02 8:00,1.8,2.1,42.0,0.0
33,90,속초,2019-12-02 9:00,2.8,3.0,32.0,0.0
34,90,속초,2019-12-02 10:00,3.4,5.5,28.0,0.0
35,90,속초,2019-12-02 11:00,4.2,5.4,27.0,0.0
36,90,속초,2019-12-02 12:00,4.6,5.7,26.0,0.0
37,90,속초,2019-12-02 13:00,5.1,2.7,23.0,0.0
38,90,속초,2019-12-02 14:00,5.4,2.7,24.0,0.0
39,90,속초,2019-12-02 15:00,4.9,2.8,23.0,0.0
40,90,속초,2019-12-02 16:00,3.9,3.4,25.0,0.0
41,90,속초,2019-12-02 17:00,3.0,3.8,26.0,0.0
42,90,속초,2019-12-02 18:00,2.0,2.2,28.0,0.0
43,90,속초,2019-12-02 19:00,1.4,2.7,25.0,1.0
44,90,속초,2019-12-02 20:00,0.8,2.4,23.0,0.0
45,90,속초,2019-12-02 21:00,0.0,3.0,24.0,0.0
46,90,속초,2019-12-02 22:00,-0.3,2.9,27.0,0.0
47,90,속초,2019-12-02 23:00,-0.7,1.4,32.0,0.0
48,90,속초,2019-12-03 0:00,-0.8,1.7,34.0,0.0
49,90,속초,2019-12-03 1:00,-1.4,2.0,37.0,0.0
50,90,속초,2019-12-03 2:00,-1.6,2.1,34.0,0.0
51,90,속초,2019-12-03 3:00,-1.5,1.9,29.0,0.0
52,90,속초,2019-12-03 4:00,-2.5,0.4,32.0,0.0
53,90,속초,2019-12-03 5:00,-2.5,1.5,35.0,0.0
54,90,속초,2019-12-03 6:00,-2.2,1.6,36.0,0.0
55,90,속초,2019-12-03 7:00,-2.2,0.7,40.0,1.0
56,90,속초,2019-12-03 8:00,-0.8,1.6,42.0,4.0
57,90,속초,2019-12-03 9:00,1.1,2.1,43.0,6.0
58,90,속초,2019-12-03 10:00,2.1,2.9,44.0,6.0
59,90,속초,2019-12-03 11:00,2.5,4.0,46.0,5.0
60,90,속초,2019-12-03 12:00,3.1,4.2,43.0,4.0
61,90,속초,2019-12-03 13:00,3.6,4.2,42.0,3.0
62,90,속초,2019-12-03 14:00,4.2,3.6,40.0,0.0
63,90,속초,2019-12-03 15:00,5.0,2.4,35.0,0.0
64,90,속초,2019-12-03 16:00,5.0,2.1,32.0,0.0
65,90,속초,2019-12-03 17:00,3.8,0.5,32.0,0.0
66,90,속초,2019-12-03 18:00,3.6,2.8,32.0,1.0
67,90,속초,2019-12-03 19:00,3.2,2.6,37.0,1.0
68,90,속초,2019-12-03 20:00,2.8,0.9,38.0,2.0
69,90,속초,2019-12-03 21:00,2.9,2.1,41.0,1.0
70,90,속초,2019-12-03 22:00,2.0,1.3,46.0,3.0
71,90,속초,2019-12-03 23:00,1.8,0.9,47.0,4.0
72,90,속초,2019-12-04 0:00,2.2,1.1,49.0,3.0
73,90,속초,2019-12-04 1:00,1.9,0.8,49.0,2.0
74,90,속초,2019-12-04 2:00,2.4,0.9,39.0,4.0
75,90,속초,2019-12-04 3:00,-0.1,0.8,46.0,1.0
76,90,속초,2019-12-04 4:00,1.0,0.3,35.0,1.0
77,90,속초,2019-12-04 5:00,-0.1,1.4,39.0,3.0
78,90,속초,2019-12-04 6:00,0.1,0.2,37.0,1.0
79,90,속초,2019-12-04 7:00,-0.3,0.8,37.0,1.0
80,90,속초,2019-12-04 8:00,1.3,1.1,29.0,1.0
81,90,속초,2019-12-04 9:00,2.7,0.8,27.0,0.0
82,90,속초,2019-12-04 10:00,3.9,0.4,29.0,2.0
83,90,속초,2019-12-04 11:00,5.6,1.8,30.0,0.0
84,90,속초,2019-12-04 12:00,5.9,2.6,27.0,0.0
85,90,속초,2019-12-04 13:00,6.7,2.4,25.0,3.0
86,90,속초,2019-12-04 14:00,7.3,2.6,25.0,1.0
87,90,속초,2019-12-04 15:00,6.9,5.0,24.0,1.0
88,90,속초,2019-12-04 16:00,6.2,4.6,25.0,0.0
89,90,속초,2019-12-04 17:00,5.4,3.1,28.0,2.0
90,90,속초,2019-12-04 18:00,4.7,2.7,31.0,1.0
91,90,속초,2019-12-04 19:00,3.9,1.3,32.0,0.0
92,90,속초,2019-12-04 20:00,3.5,1.3,32.0,2.0
