,Location,place,Date,Temp,Wind,Humid,Cloud
0,119,수원,2019-12-01 0:00,5.4,0.4,67.0,9.0
1,119,수원,2019-12-01 1:00,5.1,0.2,68.0,10.0
2,119,수원,2019-12-01 2:00,5.0,0.4,72.0,9.0
3,119,수원,2019-12-01 3:00,4.6,0.7,78.0,10.0
4,119,수원,2019-12-01 4:00,4.7,1.5,75.0,10.0
5,119,수원,2019-12-01 5:00,4.7,1.3,75.0,10.0
6,119,수원,2019-12-01 6:00,5.0,1.3,75.0,10.0
7,119,수원,2019-12-01 7:00,5.4,1.0,73.0,10.0
8,119,수원,2019-12-01 8:00,5.2,1.1,75.0,10.0
9,119,수원,2019-12-01 9:00,6.0,1.3,69.0,10.0
10,119,수원,2019-12-01 10:00,6.1,1.2,80.0,10.0
11,119,수원,2019-12-01 11:00,6.4,0.7,83.0,10.0
12,119,수원,2019-12-01 12:00,6.6,0.4,86.0,10.0
13,119,수원,2019-12-01 13:00,6.6,0.8,94.0,10.0
14,119,수원,2019-12-01 14:00,6.7,0.7,95.0,10.0
15,119,수원,2019-12-01 15:00,6.7,0.5,99.0,10.0
16,119,수원,2019-12-01 16:00,6.5,1.3,100.0,10.0
17,119,수원,2019-12-01 17:00,6.3,1.3,100.0,10.0
18,119,수원,2019-12-01 18:00,5.7,2.2,99.0,10.0
19,119,수원,2019-12-01 19:00,5.3,1.4,99.0,10.0
20,119,수원,2019-12-01 20:00,5.1,1.6,100.0,10.0
21,119,수원,2019-12-01 21:00,4.6,2.3,100.0,10.0
22,119,수원,2019-12-01 22:00,3.8,2.5,100.0,10.0
23,119,수원,2019-12-01 23:00,3.8,2.4,98.0,10.0
24,119,수원,2019-12-02 0:00,3.4,2.6,89.0,9.0
25,119,수원,2019-12-02 1:00,2.3,2.0,78.0,8.0
26,119,수원,2019-12-02 2:00,2.2,2.8,79.0,10.0
27,119,수원,2019-12-02 3:00,1.9,2.7,78.0,6.0
28,119,수원,2019-12-02 4:00,1.5,2.2,80.0,3.0
29,119,수원,2019-12-02 5:00,0.7,1.5,82.0,0.0
30,119,수원,2019-12-02 6:00,0.6,1.6,84.0,5.0
31,119,수원,2019-12-02 7:00,0.3,1.6,86.0,2.0
32,119,수원,2019-12-02 8:00,0.6,2.2,81.0,0.0
33,119,수원,2019-12-02 9:00,1.4,2.6,73.0,0.0
34,119,수원,2019-12-02 10:00,2.3,3.5,55.0,0.0
35,119,수원,2019-12-02 11:00,2.7,4.8,45.0,0.0
36,119,수원,2019-12-02 12:00,3.2,4.9,39.0,0.0
37,119,수원,2019-12-02 13:00,3.9,4.8,43.0,0.0
38,119,수원,2019-12-02 14:00,3.0,4.9,54.0,4.0
39,119,수원,2019-12-02 15:00,2.3,4.8,62.0,5.0
40,119,수원,2019-12-02 16:00,2.1,5.2,56.0,1.0
41,119,수원,2019-12-02 17:00,1.1,4.5,54.0,1.0
42,119,수원,2019-12-02 18:00,0.6,3.5,54.0,0.0
43,119,수원,2019-12-02 19:00,0.2,4.6,51.0,0.0
44,119,수원,2019-12-02 20:00,-0.9,2.3,59.0,0.0
45,119,수원,2019-12-02 21:00,-1.5,1.0,59.0,1.0
46,119,수원,2019-12-02 22:00,-1.3,1.4,56.0,6.0
47,119,수원,2019-12-02 23:00,-1.1,1.4,61.0,5.0
48,119,수원,2019-12-03 0:00,-1.6,1.2,65.0,6.0
49,119,수원,2019-12-03 1:00,-2.2,1.3,69.0,0.0
50,119,수원,2019-12-03 2:00,-3.2,0.8,76.0,0.0
51,119,수원,2019-12-03 3:00,-3.7,0.5,84.0,0.0
52,119,수원,2019-12-03 4:00,-4.2,0.6,83.0,0.0
53,119,수원,2019-12-03 5:00,-3.6,1.4,81.0,0.0
54,119,수원,2019-12-03 6:00,-4.1,1.4,85.0,0.0
55,119,수원,2019-12-03 7:00,-3.7,1.3,85.0,0.0
56,119,수원,2019-12-03 8:00,-3.1,1.2,86.0,0.0
57,119,수원,2019-12-03 9:00,-1.4,1.7,82.0,0.0
58,119,수원,2019-12-03 10:00,0.5,2.4,76.0,6.0
59,119,수원,2019-12-03 11:00,0.2,2.2,82.0,10.0
60,119,수원,2019-12-03 12:00,-0.3,2.1,100.0,9.0
61,119,수원,2019-12-03 13:00,0.0,1.7,100.0,10.0
62,119,수원,2019-12-03 14:00,1.2,1.2,100.0,10.0
63,119,수원,2019-12-03 15:00,1.7,1.5,99.0,10.0
64,119,수원,2019-12-03 16:00,1.9,1.6,100.0,9.0
65,119,수원,2019-12-03 17:00,2.0,1.2,100.0,10.0
66,119,수원,2019-12-03 18:00,2.4,1.9,100.0,10.0
67,119,수원,2019-12-03 19:00,2.6,1.3,99.0,9.0
68,119,수원,2019-12-03 20:00,2.5,1.4,100.0,10.0
69,119,수원,2019-12-03 21:00,2.3,1.8,100.0,10.0
70,119,수원,2019-12-03 22:00,2.5,1.4,100.0,10.0
71,119,수원,2019-12-03 23:00,2.4,0.9,100.0,10.0
72,119,수원,2019-12-04 0:00,2.6,0.9,100.0,10.0
73,119,수원,2019-12-04 1:00,2.4,0.8,100.0,9.0
74,119,수원,2019-12-04 2:00,1.9,0.0,100.0,10.0
75,119,수원,2019-12-04 3:00,1.5,0.9,100.0,9.0
76,119,수원,2019-12-04 4:00,0.3,0.4,100.0,1.0
77,119,수원,2019-12-04 5:00,-0.5,1.0,100.0,0.0
78,119,수원,2019-12-04 6:00,-1.4,0.7,100.0,0.0
79,119,수원,2019-12-04 7:00,-1.2,0.4,100.0,1.0
80,119,수원,2019-12-04 8:00,-1.5,0.5,100.0,0.0
81,119,수원,2019-12-04 9:00,0.3,0.5,100.0,0.0
82,119,수원,2019-12-04 10:00,2.3,0.4,84.0,0.0
83,119,수원,2019-12-04 11:00,4.0,0.8,63.0,0.0
84,119,수원,2019-12-04 12:00,4.4,1.0,58.0,0.0
85,119,수원,2019-12-04 13:00,6.1,3.1,54.0,0.0
86,119,수원,2019-12-04 14:00,7.2,1.6,52.0,0.0
87,119,수원,2019-12-04 15:00,7.6,2.3,55.0,4.0
88,119,수원,2019-12-04 16:00,7.6,3.5,58.0,8.0
89,119,수원,2019-12-04 17:00,6.5,3.1,60.0,9.0
90,119,수원,2019-12-04 18:00,4.9,2.1,66.0,2.0
91,119,수원,2019-12-04 19:00,3.9,1.4,70.0,3.0
92,119,수원,2019-12-04 20:00,3.2,0.8,73.0,0.0
93,119,수원,2019-12-04 21:00,2.3,0.7,78.0,0.0
94,119,수원,2019-12-04 22:00,2.7,2.1,69.0,0.0
95,119,수원,2019-12-04 23:00,2.3,4.7,58.0,0.0
96,119,수원,2019-12-05 0:00,1.3,1.9,59.0,0.0
97,119,수원,2019-12-05 1:00,0.1,2.5,63.0,0.0
98,119,수원,2019-12-05 2:00,-0.9,2.2,70.0,1.0
99,119,수원,2019-12-05 3:00,-1.2,1.9,66.0,0.0
100,119,수원,2019-12-05 4:00,-2.2,1.7,65.0,0.0
101,119,수원,2019-12-05 5:00,-3.1,0.6,70.0,0.0
102,119,수원,2019-12-05 6:00,-3.0,2.2,59.0,0.0
103,119,수원,2019-12-05 7:00,-3.5,2.2,56.0,0.0
104,119,수원,2019-12-05 8:00,-3.5,2.9,54.0,0.0
105,119,수원,2019-12-05 9:00,-2.8,3.2,47.0,0.0
106,119,수원,2019-12-05 10:00,-2.1,3.4,40.0,0.0
107,119,수원,2019-12-05 11:00,-0.9,2.8,35.0,0.0
108,119,수원,2019-12-05 12:00,0.3,3.7,34.0,0.0
109,119,수원,2019-12-05 13:00,-0.3,3.8,41.0,0.0
110,119,수원,2019-12-05 14:00,-1.1,5.4,38.0,0.0
111,119,수원,2019-12-05 15:00,-0.9,4.6,49.0,0.0
112,119,수원,2019-12-05 16:00,-2.0,4.8,45.0,0.0
113,119,수원,2019-12-05 17:00,-3.2,4.0,54.0,1.0
114,119,수원,2019-12-05 18:00,-3.9,4.9,59.0,0.0
115,119,수원,2019-12-05 19:00,-4.5,2.8,62.0,2.0
116,119,수원,2019-12-05 20:00,-5.4,3.7,58.0,0.0
117,119,수원,2019-12-05 21:00,-6.2,2.1,57.0,0.0
118,119,수원,2019-12-05 22:00,-7.0,2.1,58.0,0.0
119,119,수원,2019-12-05 23:00,-7.4,2.0,59.0,0.0
120,119,수원,2019-12-06 0:00,-7.8,1.9,58.0,0.0
121,119,수원,2019-12-06 1:00,-8.3,1.9,58.0,0.0
122,119,수원,2019-12-06 2:00,-8.7,1.5,58.0,0.0
123,119,수원,2019-12-06 3:00,-8.6,2.3,57.0,0.0
124,119,수원,2019-12-06 4:00,-9.4,0.4,62.0,0.0
125,119,수원,2019-12-06 5:00,-10.2,0.8,75.0,0.0
126,119,수원,2019-12-06 6:00,-10.4,0.7,78.0,0.0
127,119,수원,2019-12-06 7:00,-10.5,0.8,79.0,0.0
128,119,수원,2019-12-06 8:00,-9.9,0.7,79.0,0.0
129,119,수원,2019-12-06 9:00,-7.5,0.6,68.0,0.0
130,119,수원,2019-12-06 10:00,-5.9,1.1,50.0,0.0
131,119,수원,2019-12-06 11:00,-4.9,0.8,43.0,0.0
132,119,수원,2019-12-06 12:00,-3.2,1.1,39.0,0.0
133,119,수원,2019-12-06 13:00,-2.1,2.5,36.0,0.0
134,119,수원,2019-12-06 14:00,-1.4,2.5,38.0,0.0
135,119,수원,2019-12-06 15:00,-0.9,2.2,42.0,0.0
136,119,수원,2019-12-06 16:00,-0.8,2.3,46.0,0.0
137,119,수원,2019-12-06 17:00,-1.8,2.6,50.0,0.0
138,119,수원,2019-12-06 18:00,-2.8,1.0,53.0,0.0
139,119,수원,2019-12-06 19:00,-3.4,2.0,53.0,0.0
140,119,수원,2019-12-06 20:00,-3.5,1.5,52.0,0.0
141,119,수원,2019-12-06 21:00,-4.9,0.9,63.0,0.0
142,119,수원,2019-12-06 22:00,-5.5,0.9,68.0,0.0
143,119,수원,2019-12-06 23:00,-5.9,0.4,71.0,0.0
144,119,수원,2019-12-07 0:00,-6.2,0.2,75.0,4.0
145,119,수원,2019-12-07 1:00,-6.0,1.6,75.0,0.0
146,119,수원,2019-12-07 2:00,-5.8,0.8,73.0,0.0
147,119,수원,2019-12-07 3:00,-5.9,1.5,78.0,8.0
148,119,수원,2019-12-07 4:00,-5.2,1.5,77.0,0.0
149,119,수원,2019-12-07 5:00,-5.1,0.8,77.0,8.0
150,119,수원,2019-12-07 6:00,-4.3,1.6,68.0,9.0
151,119,수원,2019-12-07 7:00,-4.1,0.3,69.0,9.0
152,119,수원,2019-12-07 8:00,-3.7,1.2,69.0,9.0
153,119,수원,2019-12-07 9:00,-2.5,0.7,67.0,9.0
