,Location,place,Date,Temp,Wind,Humid,Cloud
0,254,순창군,2019-12-01 0:00,7.2,1.2,62.0,10.0
1,254,순창군,2019-12-01 1:00,7.5,2.0,59.0,10.0
2,254,순창군,2019-12-01 2:00,6.8,0.7,64.0,9.0
3,254,순창군,2019-12-01 3:00,6.6,0.4,67.0,9.0
4,254,순창군,2019-12-01 4:00,6.1,0.5,69.0,9.0
5,254,순창군,2019-12-01 5:00,5.8,0.4,73.0,0.0
6,254,순창군,2019-12-01 6:00,6.0,1.2,71.0,10.0
7,254,순창군,2019-12-01 7:00,5.7,0.0,77.0,10.0
8,254,순창군,2019-12-01 8:00,5.7,0.4,79.0,10.0
9,254,순창군,2019-12-01 9:00,5.7,0.9,85.0,10.0
10,254,순창군,2019-12-01 10:00,5.7,1.0,86.0,10.0
11,254,순창군,2019-12-01 11:00,5.3,0.5,89.0,10.0
12,254,순창군,2019-12-01 12:00,4.8,1.3,92.0,10.0
13,254,순창군,2019-12-01 13:00,5.0,0.3,94.0,10.0
14,254,순창군,2019-12-01 14:00,5.1,1.5,97.0,9.0
15,254,순창군,2019-12-01 15:00,5.4,0.8,98.0,9.0
16,254,순창군,2019-12-01 16:00,5.5,1.7,99.0,10.0
17,254,순창군,2019-12-01 17:00,5.6,0.8,100.0,10.0
18,254,순창군,2019-12-01 18:00,5.9,0.7,97.0,10.0
19,254,순창군,2019-12-01 19:00,6.1,0.6,97.0,1.0
20,254,순창군,2019-12-01 20:00,6.3,2.0,90.0,10.0
21,254,순창군,2019-12-01 21:00,6.2,1.9,90.0,10.0
22,254,순창군,2019-12-01 22:00,6.3,2.6,84.0,10.0
23,254,순창군,2019-12-01 23:00,6.4,3.4,81.0,8.0
24,254,순창군,2019-12-02 0:00,5.7,2.8,89.0,0.0
25,254,순창군,2019-12-02 1:00,5.5,0.8,89.0,10.0
26,254,순창군,2019-12-02 2:00,5.8,2.1,87.0,10.0
27,254,순창군,2019-12-02 3:00,5.5,6.2,68.0,10.0
28,254,순창군,2019-12-02 4:00,5.0,3.2,66.0,10.0
29,254,순창군,2019-12-02 5:00,4.7,3.1,68.0,10.0
30,254,순창군,2019-12-02 6:00,4.3,3.5,71.0,0.0
31,254,순창군,2019-12-02 7:00,3.8,1.8,77.0,4.0
32,254,순창군,2019-12-02 8:00,3.7,1.4,80.0,8.0
33,254,순창군,2019-12-02 9:00,4.2,0.8,75.0,10.0
34,254,순창군,2019-12-02 10:00,4.6,4.1,70.0,10.0
35,254,순창군,2019-12-02 11:00,5.1,3.8,63.0,9.0
36,254,순창군,2019-12-02 12:00,4.7,5.0,66.0,7.0
37,254,순창군,2019-12-02 13:00,4.8,3.2,67.0,8.0
