,Location,place,Date,Temp,Wind,Humid,Cloud
0,174,순천,2019-12-01 0:00,7.9,2.7,79.0,10.0
1,174,순천,2019-12-01 1:00,7.3,1.8,83.0,10.0
2,174,순천,2019-12-01 2:00,7.6,2.7,76.0,9.0
3,174,순천,2019-12-01 3:00,7.3,2.1,76.0,7.0
4,174,순천,2019-12-01 4:00,7.3,3.7,74.0,5.0
5,174,순천,2019-12-01 5:00,7.1,3.4,69.0,5.0
6,174,순천,2019-12-01 6:00,7.3,2.5,64.0,0.0
7,174,순천,2019-12-01 7:00,7.2,1.6,63.0,9.0
8,174,순천,2019-12-01 8:00,5.6,2.2,82.0,10.0
9,174,순천,2019-12-01 9:00,5.4,1.4,87.0,9.0
10,174,순천,2019-12-01 10:00,5.2,0.9,96.0,10.0
11,174,순천,2019-12-01 11:00,5.4,0.9,96.0,10.0
12,174,순천,2019-12-01 12:00,5.4,1.4,98.0,9.0
13,174,순천,2019-12-01 13:00,5.5,0.9,98.0,10.0
14,174,순천,2019-12-01 14:00,6.0,0.3,98.0,10.0
15,174,순천,2019-12-01 15:00,6.1,1.6,98.0,10.0
16,174,순천,2019-12-01 16:00,5.6,2.8,98.0,10.0
17,174,순천,2019-12-01 17:00,5.7,1.5,98.0,10.0
18,174,순천,2019-12-01 18:00,5.7,2.9,99.0,10.0
19,174,순천,2019-12-01 19:00,5.9,3.5,97.0,8.0
20,174,순천,2019-12-01 20:00,6.3,3.6,96.0,10.0
21,174,순천,2019-12-01 21:00,6.1,3.5,95.0,10.0
22,174,순천,2019-12-01 22:00,6.1,3.8,96.0,10.0
23,174,순천,2019-12-01 23:00,6.0,3.8,93.0,9.0
24,174,순천,2019-12-02 0:00,6.0,5.2,90.0,4.0
25,174,순천,2019-12-02 1:00,5.9,5.7,87.0,9.0
26,174,순천,2019-12-02 2:00,5.7,4.7,88.0,8.0
27,174,순천,2019-12-02 3:00,5.9,4.8,86.0,9.0
28,174,순천,2019-12-02 4:00,5.2,4.4,72.0,10.0
29,174,순천,2019-12-02 5:00,4.5,4.4,70.0,10.0
30,174,순천,2019-12-02 6:00,4.3,5.8,72.0,8.0
31,174,순천,2019-12-02 7:00,3.8,5.5,73.0,2.0
32,174,순천,2019-12-02 8:00,3.7,5.2,75.0,10.0
33,174,순천,2019-12-02 9:00,4.3,3.6,74.0,4.0
34,174,순천,2019-12-02 10:00,4.3,5.5,73.0,9.0
35,174,순천,2019-12-02 11:00,4.3,4.4,72.0,9.0
36,174,순천,2019-12-02 12:00,5.7,5.4,65.0,9.0
37,174,순천,2019-12-02 13:00,4.8,4.0,71.0,8.0
38,174,순천,2019-12-02 14:00,4.8,5.7,67.0,8.0
39,174,순천,2019-12-02 15:00,5.6,3.5,61.0,9.0
40,174,순천,2019-12-02 16:00,5.7,4.8,54.0,7.0
41,174,순천,2019-12-02 17:00,4.3,4.1,60.0,7.0
42,174,순천,2019-12-02 18:00,3.7,3.6,62.0,5.0
43,174,순천,2019-12-02 19:00,3.2,3.8,69.0,2.0
44,174,순천,2019-12-02 20:00,2.4,5.1,72.0,6.0
45,174,순천,2019-12-02 21:00,2.2,4.6,72.0,2.0
46,174,순천,2019-12-02 22:00,2.0,4.5,71.0,2.0
47,174,순천,2019-12-02 23:00,1.9,4.3,72.0,3.0
48,174,순천,2019-12-03 0:00,1.4,4.4,73.0,8.0
49,174,순천,2019-12-03 1:00,0.9,3.6,73.0,0.0
50,174,순천,2019-12-03 2:00,0.9,2.9,75.0,0.0
51,174,순천,2019-12-03 3:00,1.2,3.3,76.0,5.0
