,Location,place,Date,Temp,Wind,Humid,Cloud
0,136,안동,2019-12-01 0:00,4.8,0.3,84.0,9.0
1,136,안동,2019-12-01 1:00,4.3,0.3,85.0,10.0
2,136,안동,2019-12-01 2:00,4.4,0.8,85.0,10.0
3,136,안동,2019-12-01 3:00,5.0,0.4,82.0,9.0
4,136,안동,2019-12-01 4:00,5.3,0.0,80.0,9.0
5,136,안동,2019-12-01 5:00,5.3,0.9,73.0,9.0
6,136,안동,2019-12-01 6:00,5.4,0.1,72.0,9.0
7,136,안동,2019-12-01 7:00,5.5,0.8,65.0,10.0
8,136,안동,2019-12-01 8:00,5.5,0.7,65.0,10.0
9,136,안동,2019-12-01 9:00,6.3,1.4,56.0,10.0
10,136,안동,2019-12-01 10:00,7.0,0.5,53.0,10.0
11,136,안동,2019-12-01 11:00,7.8,0.7,54.0,10.0
12,136,안동,2019-12-01 12:00,8.3,0.8,56.0,10.0
13,136,안동,2019-12-01 13:00,7.8,0.7,61.0,10.0
14,136,안동,2019-12-01 14:00,7.1,0.4,72.0,10.0
15,136,안동,2019-12-01 15:00,6.0,1.0,87.0,10.0
16,136,안동,2019-12-01 16:00,5.5,0.7,90.0,10.0
17,136,안동,2019-12-01 17:00,5.4,0.1,92.0,10.0
18,136,안동,2019-12-01 18:00,5.3,0.0,92.0,10.0
19,136,안동,2019-12-01 19:00,5.3,0.6,95.0,10.0
20,136,안동,2019-12-01 20:00,5.1,0.0,95.0,10.0
21,136,안동,2019-12-01 21:00,4.9,1.4,95.0,10.0
22,136,안동,2019-12-01 22:00,5.0,1.8,96.0,10.0
23,136,안동,2019-12-01 23:00,5.0,1.6,96.0,10.0
24,136,안동,2019-12-02 0:00,4.9,1.0,95.0,10.0
25,136,안동,2019-12-02 1:00,4.6,2.3,94.0,10.0
26,136,안동,2019-12-02 2:00,4.5,1.7,94.0,9.0
27,136,안동,2019-12-02 3:00,4.6,2.2,91.0,9.0
28,136,안동,2019-12-02 4:00,4.9,3.0,87.0,9.0
29,136,안동,2019-12-02 5:00,3.2,4.1,52.0,8.0
30,136,안동,2019-12-02 6:00,2.4,4.5,59.0,8.0
31,136,안동,2019-12-02 7:00,1.2,4.7,60.0,7.0
32,136,안동,2019-12-02 8:00,1.3,3.5,63.0,3.0
33,136,안동,2019-12-02 9:00,2.7,1.8,60.0,3.0
34,136,안동,2019-12-02 10:00,3.7,4.5,57.0,5.0
35,136,안동,2019-12-02 11:00,4.4,5.1,41.0,2.0
36,136,안동,2019-12-02 12:00,4.7,7.1,33.0,2.0
37,136,안동,2019-12-02 13:00,5.3,6.1,31.0,2.0
38,136,안동,2019-12-02 14:00,5.3,6.5,32.0,0.0
39,136,안동,2019-12-02 15:00,5.6,4.6,30.0,0.0
40,136,안동,2019-12-02 16:00,4.8,5.8,32.0,0.0
41,136,안동,2019-12-02 17:00,3.4,5.1,37.0,0.0
42,136,안동,2019-12-02 18:00,2.0,4.0,46.0,0.0
43,136,안동,2019-12-02 19:00,1.0,4.3,50.0,0.0
44,136,안동,2019-12-02 20:00,0.4,3.8,56.0,0.0
45,136,안동,2019-12-02 21:00,0.0,3.1,55.0,0.0
46,136,안동,2019-12-02 22:00,-0.5,2.8,47.0,0.0
47,136,안동,2019-12-02 23:00,-0.9,2.6,46.0,0.0
48,136,안동,2019-12-03 0:00,-1.0,1.7,48.0,0.0
49,136,안동,2019-12-03 1:00,-1.8,1.6,53.0,0.0
