,Location,place,Date,Temp,Wind,Humid,Cloud
0,257,양산시,2019-12-01 0:00,8.4,0.3,76.0,9.0
1,257,양산시,2019-12-01 1:00,8.7,0.7,76.0,9.0
2,257,양산시,2019-12-01 2:00,8.0,0.5,93.0,8.0
3,257,양산시,2019-12-01 3:00,7.8,0.5,98.0,5.0
4,257,양산시,2019-12-01 4:00,7.9,0.3,98.0,2.0
5,257,양산시,2019-12-01 5:00,8.0,0.8,98.0,4.0
6,257,양산시,2019-12-01 6:00,8.1,0.1,99.0,9.0
7,257,양산시,2019-12-01 7:00,8.7,2.1,98.0,9.0
8,257,양산시,2019-12-01 8:00,9.0,2.0,96.0,10.0
9,257,양산시,2019-12-01 9:00,9.4,1.5,94.0,10.0
10,257,양산시,2019-12-01 10:00,9.6,0.9,92.0,10.0
11,257,양산시,2019-12-01 11:00,9.6,1.2,88.0,10.0
12,257,양산시,2019-12-01 12:00,9.3,1.7,85.0,10.0
13,257,양산시,2019-12-01 13:00,10.0,1.0,85.0,10.0
14,257,양산시,2019-12-01 14:00,8.7,1.5,95.0,10.0
15,257,양산시,2019-12-01 15:00,8.4,1.7,97.0,10.0
16,257,양산시,2019-12-01 16:00,8.0,2.7,98.0,10.0
17,257,양산시,2019-12-01 17:00,7.4,4.9,95.0,10.0
18,257,양산시,2019-12-01 18:00,7.3,3.2,96.0,10.0
19,257,양산시,2019-12-01 19:00,7.5,5.0,97.0,10.0
20,257,양산시,2019-12-01 20:00,7.5,4.3,95.0,10.0
21,257,양산시,2019-12-01 21:00,7.7,1.1,96.0,10.0
22,257,양산시,2019-12-01 22:00,7.5,1.3,98.0,10.0
23,257,양산시,2019-12-01 23:00,7.5,1.0,98.0,10.0
24,257,양산시,2019-12-02 0:00,7.4,0.6,99.0,10.0
25,257,양산시,2019-12-02 1:00,7.5,0.4,99.0,5.0
26,257,양산시,2019-12-02 2:00,7.0,0.8,97.0,9.0
27,257,양산시,2019-12-02 3:00,7.7,2.2,89.0,8.0
28,257,양산시,2019-12-02 4:00,7.7,1.1,78.0,9.0
29,257,양산시,2019-12-02 5:00,8.5,2.8,67.0,9.0
30,257,양산시,2019-12-02 6:00,8.2,2.8,70.0,9.0
31,257,양산시,2019-12-02 7:00,7.7,2.3,46.0,8.0
32,257,양산시,2019-12-02 8:00,6.5,2.6,49.0,8.0
33,257,양산시,2019-12-02 9:00,6.9,1.9,47.0,3.0
34,257,양산시,2019-12-02 10:00,7.4,3.4,46.0,3.0
35,257,양산시,2019-12-02 11:00,8.4,3.3,45.0,0.0
36,257,양산시,2019-12-02 12:00,8.9,5.0,41.0,0.0
37,257,양산시,2019-12-02 13:00,9.2,6.2,33.0,1.0
38,257,양산시,2019-12-02 14:00,9.8,4.2,35.0,0.0
