,Location,place,Date,Temp,Wind,Humid,Cloud
0,168,여수,2019-12-01 0:00,12.0,1.3,73.0,10.0
1,168,여수,2019-12-01 1:00,11.1,1.6,84.0,10.0
2,168,여수,2019-12-01 2:00,10.3,3.1,81.0,10.0
3,168,여수,2019-12-01 3:00,10.3,3.9,78.0,10.0
4,168,여수,2019-12-01 4:00,10.2,1.6,75.0,10.0
5,168,여수,2019-12-01 5:00,10.3,1.5,72.0,10.0
6,168,여수,2019-12-01 6:00,10.4,1.3,61.0,10.0
7,168,여수,2019-12-01 7:00,10.5,0.9,60.0,10.0
8,168,여수,2019-12-01 8:00,9.8,2.9,73.0,10.0
9,168,여수,2019-12-01 9:00,9.8,3.7,75.0,10.0
10,168,여수,2019-12-01 10:00,9.8,4.9,81.0,10.0
11,168,여수,2019-12-01 11:00,9.4,7.1,85.0,10.0
12,168,여수,2019-12-01 12:00,9.2,5.5,86.0,10.0
13,168,여수,2019-12-01 13:00,8.5,5.7,91.0,10.0
14,168,여수,2019-12-01 14:00,8.5,6.4,93.0,10.0
15,168,여수,2019-12-01 15:00,8.4,6.1,95.0,10.0
16,168,여수,2019-12-01 16:00,8.5,6.0,97.0,10.0
17,168,여수,2019-12-01 17:00,7.9,6.3,97.0,10.0
18,168,여수,2019-12-01 18:00,7.9,9.9,97.0,10.0
19,168,여수,2019-12-01 19:00,7.8,6.0,93.0,10.0
20,168,여수,2019-12-01 20:00,7.6,4.2,93.0,10.0
21,168,여수,2019-12-01 21:00,7.9,6.2,91.0,10.0
22,168,여수,2019-12-01 22:00,8.7,4.7,88.0,10.0
23,168,여수,2019-12-01 23:00,8.2,4.6,90.0,10.0
24,168,여수,2019-12-02 0:00,8.2,2.2,89.0,10.0
25,168,여수,2019-12-02 1:00,8.1,4.8,89.0,7.0
26,168,여수,2019-12-02 2:00,7.7,5.0,83.0,8.0
27,168,여수,2019-12-02 3:00,7.7,7.2,75.0,9.0
28,168,여수,2019-12-02 4:00,7.5,4.9,77.0,9.0
29,168,여수,2019-12-02 5:00,7.0,5.3,72.0,9.0
30,168,여수,2019-12-02 6:00,6.0,6.8,64.0,7.0
31,168,여수,2019-12-02 7:00,5.5,4.0,63.0,4.0
32,168,여수,2019-12-02 8:00,5.3,6.3,65.0,2.0
33,168,여수,2019-12-02 9:00,5.9,6.3,62.0,2.0
34,168,여수,2019-12-02 10:00,6.9,3.5,59.0,4.0
35,168,여수,2019-12-02 11:00,7.3,5.8,57.0,5.0
36,168,여수,2019-12-02 12:00,7.3,6.4,58.0,5.0
37,168,여수,2019-12-02 13:00,7.4,4.4,55.0,8.0
38,168,여수,2019-12-02 14:00,7.1,6.3,58.0,7.0
39,168,여수,2019-12-02 15:00,7.9,5.4,51.0,5.0
40,168,여수,2019-12-02 16:00,6.9,6.6,52.0,6.0
41,168,여수,2019-12-02 17:00,6.5,5.7,50.0,6.0
42,168,여수,2019-12-02 18:00,5.6,7.4,52.0,2.0
43,168,여수,2019-12-02 19:00,5.1,8.0,55.0,3.0
44,168,여수,2019-12-02 20:00,4.6,7.7,58.0,6.0
45,168,여수,2019-12-02 21:00,4.1,6.6,60.0,3.0
46,168,여수,2019-12-02 22:00,3.9,8.3,60.0,4.0
47,168,여수,2019-12-02 23:00,3.6,6.2,56.0,5.0
48,168,여수,2019-12-03 0:00,3.6,5.9,58.0,6.0
49,168,여수,2019-12-03 1:00,3.2,4.9,59.0,3.0
50,168,여수,2019-12-03 2:00,2.7,2.5,64.0,2.0
51,168,여수,2019-12-03 3:00,2.3,3.1,66.0,2.0
52,168,여수,2019-12-03 4:00,2.1,1.0,68.0,0.0
53,168,여수,2019-12-03 5:00,2.2,2.6,69.0,5.0
54,168,여수,2019-12-03 6:00,2.7,3.5,69.0,6.0
55,168,여수,2019-12-03 7:00,2.6,4.3,69.0,7.0
56,168,여수,2019-12-03 8:00,2.8,4.6,69.0,3.0
57,168,여수,2019-12-03 9:00,4.4,3.8,60.0,2.0
58,168,여수,2019-12-03 10:00,5.7,2.4,58.0,2.0
59,168,여수,2019-12-03 11:00,7.3,3.0,57.0,0.0
60,168,여수,2019-12-03 12:00,8.6,4.4,51.0,1.0
61,168,여수,2019-12-03 13:00,9.1,4.9,48.0,6.0
62,168,여수,2019-12-03 14:00,9.0,3.0,52.0,8.0
63,168,여수,2019-12-03 15:00,8.2,3.4,52.0,8.0
64,168,여수,2019-12-03 16:00,8.6,6.4,47.0,5.0
65,168,여수,2019-12-03 17:00,7.5,4.3,54.0,7.0
66,168,여수,2019-12-03 18:00,6.9,3.4,57.0,8.0
67,168,여수,2019-12-03 19:00,6.6,3.5,57.0,4.0
68,168,여수,2019-12-03 20:00,6.2,3.7,60.0,3.0
69,168,여수,2019-12-03 21:00,5.6,2.6,62.0,0.0
70,168,여수,2019-12-03 22:00,5.3,2.1,61.0,1.0
71,168,여수,2019-12-03 23:00,4.9,0.8,62.0,1.0
72,168,여수,2019-12-04 0:00,4.6,2.2,64.0,0.0
73,168,여수,2019-12-04 1:00,4.5,3.2,67.0,0.0
74,168,여수,2019-12-04 2:00,4.6,2.1,67.0,4.0
75,168,여수,2019-12-04 3:00,4.2,2.6,69.0,0.0
76,168,여수,2019-12-04 4:00,4.4,3.0,69.0,0.0
77,168,여수,2019-12-04 5:00,4.6,3.1,69.0,0.0
78,168,여수,2019-12-04 6:00,4.7,3.5,66.0,0.0
79,168,여수,2019-12-04 7:00,4.4,2.0,66.0,3.0
80,168,여수,2019-12-04 8:00,4.2,2.6,71.0,1.0
81,168,여수,2019-12-04 9:00,6.0,1.3,61.0,2.0
82,168,여수,2019-12-04 10:00,8.7,2.5,56.0,0.0
83,168,여수,2019-12-04 11:00,9.7,4.2,49.0,0.0
84,168,여수,2019-12-04 12:00,11.1,4.6,49.0,0.0
85,168,여수,2019-12-04 13:00,11.6,5.4,48.0,0.0
86,168,여수,2019-12-04 14:00,12.4,5.0,40.0,1.0
87,168,여수,2019-12-04 15:00,12.1,3.0,39.0,1.0
