,Location,place,Date,Temp,Wind,Humid,Cloud
0,252,영광군,2019-12-01 0:00,6.6,1.4,71.0,6.0
1,252,영광군,2019-12-01 1:00,6.0,0.0,77.0,9.0
2,252,영광군,2019-12-01 2:00,6.1,0.7,75.0,10.0
3,252,영광군,2019-12-01 3:00,6.0,0.1,79.0,10.0
4,252,영광군,2019-12-01 4:00,5.6,0.4,84.0,10.0
5,252,영광군,2019-12-01 5:00,5.8,0.4,80.0,9.0
6,252,영광군,2019-12-01 6:00,5.3,0.5,88.0,9.0
7,252,영광군,2019-12-01 7:00,5.3,0.1,88.0,5.0
8,252,영광군,2019-12-01 8:00,5.1,0.2,91.0,10.0
9,252,영광군,2019-12-01 9:00,5.5,0.1,90.0,10.0
10,252,영광군,2019-12-01 10:00,5.6,0.7,89.0,10.0
11,252,영광군,2019-12-01 11:00,5.6,0.4,89.0,10.0
12,252,영광군,2019-12-01 12:00,5.4,0.9,91.0,10.0
13,252,영광군,2019-12-01 13:00,4.6,3.0,94.0,10.0
14,252,영광군,2019-12-01 14:00,5.0,1.3,97.0,10.0
15,252,영광군,2019-12-01 15:00,5.3,0.8,97.0,10.0
16,252,영광군,2019-12-01 16:00,5.3,1.5,97.0,10.0
17,252,영광군,2019-12-01 17:00,5.5,4.1,97.0,10.0
18,252,영광군,2019-12-01 18:00,5.8,0.5,97.0,9.0
19,252,영광군,2019-12-01 19:00,5.8,2.2,97.0,7.0
20,252,영광군,2019-12-01 20:00,5.8,1.9,97.0,10.0
21,252,영광군,2019-12-01 21:00,5.8,1.6,97.0,10.0
22,252,영광군,2019-12-01 22:00,5.1,1.1,96.0,8.0
23,252,영광군,2019-12-01 23:00,4.9,0.9,98.0,8.0
24,252,영광군,2019-12-02 0:00,5.3,1.3,98.0,9.0
25,252,영광군,2019-12-02 1:00,5.9,1.0,95.0,10.0
26,252,영광군,2019-12-02 2:00,6.9,4.1,80.0,10.0
27,252,영광군,2019-12-02 3:00,6.6,6.2,68.0,10.0
28,252,영광군,2019-12-02 4:00,7.1,3.6,63.0,10.0
29,252,영광군,2019-12-02 5:00,6.8,3.9,61.0,9.0
30,252,영광군,2019-12-02 6:00,6.1,2.0,63.0,10.0
31,252,영광군,2019-12-02 7:00,6.4,2.9,61.0,7.0
32,252,영광군,2019-12-02 8:00,6.4,2.9,63.0,9.0
33,252,영광군,2019-12-02 9:00,6.1,3.7,67.0,9.0
34,252,영광군,2019-12-02 10:00,6.1,3.3,65.0,9.0
35,252,영광군,2019-12-02 11:00,6.5,3.7,66.0,8.0
36,252,영광군,2019-12-02 12:00,5.8,2.6,73.0,7.0
37,252,영광군,2019-12-02 13:00,6.5,4.6,59.0,8.0
38,252,영광군,2019-12-02 14:00,6.8,4.5,56.0,8.0
39,252,영광군,2019-12-02 15:00,4.5,5.3,76.0,8.0
40,252,영광군,2019-12-02 16:00,5.5,3.8,73.0,7.0
41,252,영광군,2019-12-02 17:00,4.8,4.4,66.0,7.0
42,252,영광군,2019-12-02 18:00,4.0,2.9,77.0,9.0
43,252,영광군,2019-12-02 19:00,4.6,5.0,62.0,9.0
44,252,영광군,2019-12-02 20:00,4.0,3.3,58.0,8.0
45,252,영광군,2019-12-02 21:00,4.0,2.6,57.0,8.0
46,252,영광군,2019-12-02 22:00,4.1,3.6,57.0,9.0
47,252,영광군,2019-12-02 23:00,3.9,2.9,62.0,10.0
48,252,영광군,2019-12-03 0:00,4.4,2.8,62.0,8.0
49,252,영광군,2019-12-03 1:00,3.2,1.6,83.0,8.0
50,252,영광군,2019-12-03 2:00,5.0,2.2,67.0,10.0
51,252,영광군,2019-12-03 3:00,4.9,2.7,70.0,9.0
52,252,영광군,2019-12-03 4:00,3.5,2.4,79.0,10.0
53,252,영광군,2019-12-03 5:00,1.7,1.5,89.0,8.0
54,252,영광군,2019-12-03 6:00,1.5,0.5,90.0,9.0
55,252,영광군,2019-12-03 7:00,1.2,0.5,90.0,8.0
56,252,영광군,2019-12-03 8:00,1.1,0.6,90.0,8.0
57,252,영광군,2019-12-03 9:00,2.0,1.2,87.0,8.0
58,252,영광군,2019-12-03 10:00,4.2,0.7,75.0,7.0
59,252,영광군,2019-12-03 11:00,5.5,1.4,66.0,7.0
60,252,영광군,2019-12-03 12:00,5.5,1.3,65.0,6.0
61,252,영광군,2019-12-03 13:00,7.4,1.7,66.0,7.0
62,252,영광군,2019-12-03 14:00,7.1,1.0,66.0,8.0
63,252,영광군,2019-12-03 15:00,8.4,1.9,53.0,9.0
64,252,영광군,2019-12-03 16:00,7.5,2.8,54.0,9.0
65,252,영광군,2019-12-03 17:00,7.1,1.5,54.0,6.0
66,252,영광군,2019-12-03 18:00,6.5,1.5,54.0,2.0
67,252,영광군,2019-12-03 19:00,5.8,1.1,55.0,3.0
68,252,영광군,2019-12-03 20:00,3.8,0.3,68.0,0.0
69,252,영광군,2019-12-03 21:00,2.7,1.2,75.0,1.0
70,252,영광군,2019-12-03 22:00,2.1,1.4,78.0,0.0
71,252,영광군,2019-12-03 23:00,1.3,0.8,82.0,0.0
72,252,영광군,2019-12-04 0:00,1.3,1.0,83.0,4.0
73,252,영광군,2019-12-04 1:00,2.0,1.0,81.0,9.0
74,252,영광군,2019-12-04 2:00,2.2,1.0,83.0,9.0
75,252,영광군,2019-12-04 3:00,3.3,1.4,78.0,9.0
76,252,영광군,2019-12-04 4:00,3.4,1.2,81.0,9.0
77,252,영광군,2019-12-04 5:00,3.8,1.4,78.0,9.0
78,252,영광군,2019-12-04 6:00,3.2,0.1,84.0,8.0
79,252,영광군,2019-12-04 7:00,4.4,0.5,79.0,9.0
80,252,영광군,2019-12-04 8:00,3.2,1.3,84.0,3.0
81,252,영광군,2019-12-04 9:00,3.8,1.4,85.0,0.0
82,252,영광군,2019-12-04 10:00,6.8,1.1,70.0,1.0
83,252,영광군,2019-12-04 11:00,8.6,0.9,58.0,0.0
84,252,영광군,2019-12-04 12:00,9.0,1.1,59.0,0.0
85,252,영광군,2019-12-04 13:00,9.4,1.2,58.0,5.0
86,252,영광군,2019-12-04 14:00,10.6,2.7,44.0,4.0
87,252,영광군,2019-12-04 15:00,10.3,2.1,46.0,2.0
88,252,영광군,2019-12-04 16:00,9.6,1.8,50.0,4.0
89,252,영광군,2019-12-04 17:00,8.6,1.5,58.0,5.0
90,252,영광군,2019-12-04 18:00,6.4,0.2,70.0,0.0
91,252,영광군,2019-12-04 19:00,5.0,0.0,76.0,0.0
92,252,영광군,2019-12-04 20:00,4.0,0.7,82.0,2.0
93,252,영광군,2019-12-04 21:00,3.2,0.6,87.0,0.0
94,252,영광군,2019-12-04 22:00,3.7,1.1,84.0,9.0
95,252,영광군,2019-12-04 23:00,2.5,0.3,87.0,5.0
96,252,영광군,2019-12-05 0:00,1.7,0.1,88.0,1.0
97,252,영광군,2019-12-05 1:00,1.7,0.1,88.0,5.0
98,252,영광군,2019-12-05 2:00,3.5,0.7,78.0,5.0
99,252,영광군,2019-12-05 3:00,1.9,0.7,88.0,1.0
100,252,영광군,2019-12-05 4:00,2.0,0.3,90.0,6.0
101,252,영광군,2019-12-05 5:00,2.0,0.6,82.0,0.0
102,252,영광군,2019-12-05 6:00,1.5,0.8,73.0,0.0
103,252,영광군,2019-12-05 7:00,0.1,0.8,79.0,0.0
104,252,영광군,2019-12-05 8:00,-0.2,0.4,70.0,0.0
105,252,영광군,2019-12-05 9:00,1.8,0.9,56.0,0.0
106,252,영광군,2019-12-05 10:00,2.7,1.5,40.0,1.0
107,252,영광군,2019-12-05 11:00,3.0,3.6,44.0,3.0
108,252,영광군,2019-12-05 12:00,3.3,3.6,48.0,0.0
109,252,영광군,2019-12-05 13:00,3.9,3.9,49.0,1.0
110,252,영광군,2019-12-05 14:00,3.9,4.2,55.0,5.0
111,252,영광군,2019-12-05 15:00,3.1,4.7,62.0,9.0
112,252,영광군,2019-12-05 16:00,0.4,3.1,89.0,10.0
113,252,영광군,2019-12-05 17:00,0.6,3.6,90.0,10.0
114,252,영광군,2019-12-05 18:00,0.4,4.1,92.0,10.0
115,252,영광군,2019-12-05 19:00,1.1,3.3,82.0,10.0
116,252,영광군,2019-12-05 20:00,1.1,3.4,59.0,10.0
117,252,영광군,2019-12-05 21:00,0.8,5.0,59.0,10.0
118,252,영광군,2019-12-05 22:00,0.5,5.1,61.0,10.0
119,252,영광군,2019-12-05 23:00,-0.6,3.7,59.0,0.0
120,252,영광군,2019-12-06 0:00,-1.8,0.7,74.0,10.0
121,252,영광군,2019-12-06 1:00,-3.3,1.2,69.0,10.0
122,252,영광군,2019-12-06 2:00,-4.0,0.8,68.0,2.0
123,252,영광군,2019-12-06 3:00,-4.4,0.9,69.0,2.0
124,252,영광군,2019-12-06 4:00,-5.0,0.9,73.0,0.0
125,252,영광군,2019-12-06 5:00,-5.2,1.6,74.0,0.0
126,252,영광군,2019-12-06 6:00,-5.6,1.6,75.0,1.0
127,252,영광군,2019-12-06 7:00,-6.2,1.1,77.0,4.0
128,252,영광군,2019-12-06 8:00,-6.4,1.0,76.0,1.0
