,Location,place,Date,Temp,Wind,Humid,Cloud
0,277,영덕,2019-12-01 0:00,7.4,1.7,71.0,8.0
1,277,영덕,2019-12-01 1:00,7.6,1.2,72.0,10.0
2,277,영덕,2019-12-01 2:00,9.6,2.0,54.0,10.0
3,277,영덕,2019-12-01 3:00,9.0,1.7,58.0,10.0
4,277,영덕,2019-12-01 4:00,9.1,2.5,54.0,10.0
5,277,영덕,2019-12-01 5:00,8.6,2.2,55.0,10.0
6,277,영덕,2019-12-01 6:00,8.3,1.1,53.0,10.0
7,277,영덕,2019-12-01 7:00,7.8,1.1,52.0,10.0
8,277,영덕,2019-12-01 8:00,7.3,1.1,56.0,10.0
9,277,영덕,2019-12-01 9:00,8.2,2.2,52.0,10.0
10,277,영덕,2019-12-01 10:00,8.6,2.7,50.0,10.0
11,277,영덕,2019-12-01 11:00,9.3,0.5,51.0,9.0
12,277,영덕,2019-12-01 12:00,9.4,0.7,53.0,10.0
13,277,영덕,2019-12-01 13:00,9.8,0.0,52.0,10.0
14,277,영덕,2019-12-01 14:00,9.5,0.7,67.0,9.0
15,277,영덕,2019-12-01 15:00,7.4,1.7,92.0,10.0
16,277,영덕,2019-12-01 16:00,7.3,1.2,91.0,9.0
17,277,영덕,2019-12-01 17:00,6.8,1.2,93.0,10.0
18,277,영덕,2019-12-01 18:00,6.5,1.3,96.0,10.0
19,277,영덕,2019-12-01 19:00,6.4,0.7,97.0,10.0
20,277,영덕,2019-12-01 20:00,6.4,1.1,97.0,10.0
21,277,영덕,2019-12-01 21:00,6.5,1.2,96.0,10.0
22,277,영덕,2019-12-01 22:00,6.6,1.2,96.0,10.0
23,277,영덕,2019-12-01 23:00,6.8,2.0,91.0,10.0
24,277,영덕,2019-12-02 0:00,6.5,0.3,92.0,10.0
25,277,영덕,2019-12-02 1:00,6.3,1.9,92.0,10.0
26,277,영덕,2019-12-02 2:00,6.7,3.3,88.0,10.0
27,277,영덕,2019-12-02 3:00,6.9,3.0,80.0,10.0
28,277,영덕,2019-12-02 4:00,7.1,1.2,75.0,10.0
29,277,영덕,2019-12-02 5:00,7.0,4.2,72.0,10.0
30,277,영덕,2019-12-02 6:00,6.3,2.5,68.0,10.0
31,277,영덕,2019-12-02 7:00,4.3,4.6,47.0,10.0
32,277,영덕,2019-12-02 8:00,3.3,2.1,50.0,7.0
33,277,영덕,2019-12-02 9:00,3.5,4.3,51.0,8.0
34,277,영덕,2019-12-02 10:00,4.2,3.0,51.0,8.0
35,277,영덕,2019-12-02 11:00,5.6,6.7,42.0,6.0
36,277,영덕,2019-12-02 12:00,6.1,6.8,36.0,2.0
37,277,영덕,2019-12-02 13:00,6.4,6.4,31.0,0.0
38,277,영덕,2019-12-02 14:00,6.4,5.7,26.0,0.0
39,277,영덕,2019-12-02 15:00,6.5,6.5,28.0,0.0
40,277,영덕,2019-12-02 16:00,6.0,6.0,25.0,0.0
41,277,영덕,2019-12-02 17:00,4.9,3.6,31.0,0.0
42,277,영덕,2019-12-02 18:00,4.2,2.4,32.0,0.0
43,277,영덕,2019-12-02 19:00,3.5,1.6,38.0,0.0
44,277,영덕,2019-12-02 20:00,2.8,3.7,42.0,0.0
45,277,영덕,2019-12-02 21:00,1.8,3.1,49.0,0.0
46,277,영덕,2019-12-02 22:00,1.0,4.3,53.0,0.0
