,Location,place,Date,Temp,Wind,Humid,Cloud
0,121,영월,2019-12-01 0:00,2.4,0.2,75.0,7.0
1,121,영월,2019-12-01 1:00,2.7,0.2,76.0,9.0
2,121,영월,2019-12-01 2:00,2.7,0.0,77.0,9.0
3,121,영월,2019-12-01 3:00,2.7,0.0,77.0,9.0
4,121,영월,2019-12-01 4:00,2.7,0.6,74.0,9.0
5,121,영월,2019-12-01 5:00,2.2,0.1,78.0,8.0
6,121,영월,2019-12-01 6:00,2.3,0.0,79.0,9.0
7,121,영월,2019-12-01 7:00,2.3,0.0,80.0,9.0
8,121,영월,2019-12-01 8:00,2.7,0.0,81.0,10.0
9,121,영월,2019-12-01 9:00,3.3,0.0,80.0,2.0
10,121,영월,2019-12-01 10:00,4.6,0.0,70.0,7.0
11,121,영월,2019-12-01 11:00,7.0,0.3,64.0,10.0
12,121,영월,2019-12-01 12:00,7.5,0.6,62.0,10.0
13,121,영월,2019-12-01 13:00,6.9,0.0,70.0,10.0
14,121,영월,2019-12-01 14:00,6.8,0.7,74.0,9.0
15,121,영월,2019-12-01 15:00,6.5,0.6,80.0,9.0
16,121,영월,2019-12-01 16:00,6.0,1.1,88.0,10.0
17,121,영월,2019-12-01 17:00,5.5,0.8,93.0,9.0
18,121,영월,2019-12-01 18:00,5.3,1.2,96.0,10.0
19,121,영월,2019-12-01 19:00,5.2,1.1,97.0,10.0
20,121,영월,2019-12-01 20:00,5.1,0.2,98.0,10.0
21,121,영월,2019-12-01 21:00,5.0,0.0,98.0,10.0
22,121,영월,2019-12-01 22:00,4.9,0.6,98.0,10.0
23,121,영월,2019-12-01 23:00,4.8,0.7,98.0,10.0
24,121,영월,2019-12-02 0:00,4.7,0.6,98.0,10.0
25,121,영월,2019-12-02 1:00,4.7,0.5,96.0,9.0
26,121,영월,2019-12-02 2:00,4.6,0.6,94.0,10.0
27,121,영월,2019-12-02 3:00,4.9,1.4,90.0,10.0
28,121,영월,2019-12-02 4:00,3.9,2.1,76.0,9.0
29,121,영월,2019-12-02 5:00,2.7,2.0,60.0,9.0
30,121,영월,2019-12-02 6:00,1.9,2.2,65.0,7.0
31,121,영월,2019-12-02 7:00,1.1,2.0,73.0,0.0
32,121,영월,2019-12-02 8:00,0.9,2.6,68.0,1.0
33,121,영월,2019-12-02 9:00,1.5,1.6,60.0,1.0
34,121,영월,2019-12-02 10:00,2.1,2.8,40.0,0.0
35,121,영월,2019-12-02 11:00,3.0,3.2,35.0,0.0
36,121,영월,2019-12-02 12:00,3.3,4.9,32.0,0.0
37,121,영월,2019-12-02 13:00,3.5,5.9,28.0,0.0
38,121,영월,2019-12-02 14:00,4.2,5.6,25.0,0.0
39,121,영월,2019-12-02 15:00,4.1,4.8,29.0,0.0
40,121,영월,2019-12-02 16:00,3.8,3.7,29.0,0.0
41,121,영월,2019-12-02 17:00,2.7,4.0,37.0,0.0
42,121,영월,2019-12-02 18:00,1.6,3.0,44.0,0.0
43,121,영월,2019-12-02 19:00,0.9,3.1,50.0,0.0
44,121,영월,2019-12-02 20:00,0.3,2.9,54.0,0.0
45,121,영월,2019-12-02 21:00,-0.1,2.5,51.0,0.0
46,121,영월,2019-12-02 22:00,-0.6,1.8,48.0,0.0
47,121,영월,2019-12-02 23:00,-0.9,2.5,45.0,3.0
48,121,영월,2019-12-03 0:00,-1.1,2.0,48.0,0.0
49,121,영월,2019-12-03 1:00,-1.5,1.6,51.0,0.0
50,121,영월,2019-12-03 2:00,-1.9,1.5,53.0,0.0
51,121,영월,2019-12-03 3:00,-2.3,0.6,56.0,0.0
52,121,영월,2019-12-03 4:00,-2.7,0.0,59.0,0.0
53,121,영월,2019-12-03 5:00,-4.0,0.1,65.0,0.0
54,121,영월,2019-12-03 6:00,-4.8,0.2,72.0,0.0
55,121,영월,2019-12-03 7:00,-5.6,0.9,78.0,0.0
56,121,영월,2019-12-03 8:00,-5.7,0.4,80.0,0.0
57,121,영월,2019-12-03 9:00,-3.1,0.4,71.0,0.0
58,121,영월,2019-12-03 10:00,-1.2,0.8,53.0,1.0
59,121,영월,2019-12-03 11:00,1.3,1.0,46.0,4.5
60,121,영월,2019-12-03 12:00,2.7,1.7,45.0,8.0
61,121,영월,2019-12-03 13:00,2.8,1.7,53.0,9.0
62,121,영월,2019-12-03 14:00,1.7,1.7,70.0,9.0
63,121,영월,2019-12-03 15:00,1.9,2.2,73.0,9.0
64,121,영월,2019-12-03 16:00,2.1,1.3,76.0,8.0
65,121,영월,2019-12-03 17:00,2.2,0.9,75.0,5.0
66,121,영월,2019-12-03 18:00,2.2,1.3,75.0,0.0
67,121,영월,2019-12-03 19:00,2.3,2.2,75.0,0.0
68,121,영월,2019-12-03 20:00,2.2,1.2,75.0,9.0
