,Location,place,Date,Temp,Wind,Humid,Cloud
0,272,영주,2019-12-01 0:00,5.8,1.6,60.0,8.0
1,272,영주,2019-12-01 1:00,6.6,2.7,39.0,10.0
2,272,영주,2019-12-01 2:00,7.0,4.4,34.0,9.0
3,272,영주,2019-12-01 3:00,6.8,4.8,41.0,9.5
4,272,영주,2019-12-01 4:00,6.4,2.6,41.0,10.0
5,272,영주,2019-12-01 5:00,6.3,4.7,41.0,9.0
6,272,영주,2019-12-01 6:00,6.1,3.5,42.0,10.0
7,272,영주,2019-12-01 7:00,6.0,4.4,49.0,10.0
8,272,영주,2019-12-01 8:00,6.1,4.3,55.0,9.0
9,272,영주,2019-12-01 9:00,6.8,2.7,59.0,8.0
10,272,영주,2019-12-01 10:00,6.7,2.4,55.0,8.0
11,272,영주,2019-12-01 11:00,7.1,2.0,58.0,10.0
12,272,영주,2019-12-01 12:00,7.6,1.8,60.0,10.0
13,272,영주,2019-12-01 13:00,7.5,0.9,61.0,10.0
14,272,영주,2019-12-01 14:00,6.6,0.9,91.0,10.0
15,272,영주,2019-12-01 15:00,6.1,0.6,100.0,10.0
16,272,영주,2019-12-01 16:00,5.9,1.4,89.0,10.0
17,272,영주,2019-12-01 17:00,5.4,1.0,88.0,10.0
18,272,영주,2019-12-01 18:00,5.0,1.0,90.0,10.0
19,272,영주,2019-12-01 19:00,5.0,0.9,100.0,10.0
20,272,영주,2019-12-01 20:00,4.9,0.8,100.0,10.0
21,272,영주,2019-12-01 21:00,4.8,0.0,93.0,10.0
22,272,영주,2019-12-01 22:00,4.7,0.9,93.0,10.0
23,272,영주,2019-12-01 23:00,4.8,0.8,91.0,10.0
24,272,영주,2019-12-02 0:00,4.4,1.1,92.0,10.0
25,272,영주,2019-12-02 1:00,5.4,5.4,75.0,10.0
26,272,영주,2019-12-02 2:00,5.2,5.4,75.0,9.0
27,272,영주,2019-12-02 3:00,4.5,7.1,74.0,9.0
28,272,영주,2019-12-02 4:00,3.2,6.8,63.0,9.0
29,272,영주,2019-12-02 5:00,2.3,8.2,61.0,10.0
30,272,영주,2019-12-02 6:00,1.1,6.1,59.0,9.0
31,272,영주,2019-12-02 7:00,0.7,6.8,59.0,0.0
32,272,영주,2019-12-02 8:00,0.7,5.7,57.0,0.0
33,272,영주,2019-12-02 9:00,1.4,6.2,50.0,5.0
34,272,영주,2019-12-02 10:00,1.7,6.5,41.0,0.0
35,272,영주,2019-12-02 11:00,2.8,6.7,41.0,0.0
36,272,영주,2019-12-02 12:00,3.6,8.2,33.0,0.0
37,272,영주,2019-12-02 13:00,3.5,7.3,35.0,0.0
38,272,영주,2019-12-02 14:00,4.2,7.9,32.0,0.0
39,272,영주,2019-12-02 15:00,4.1,7.0,33.0,0.0
40,272,영주,2019-12-02 16:00,3.5,4.2,37.0,0.0
41,272,영주,2019-12-02 17:00,2.2,5.6,41.0,0.0
42,272,영주,2019-12-02 18:00,1.0,7.5,52.0,0.0
43,272,영주,2019-12-02 19:00,0.5,6.8,54.0,0.0
44,272,영주,2019-12-02 20:00,0.0,6.9,51.0,0.0
45,272,영주,2019-12-02 21:00,-0.5,7.4,49.0,0.0
46,272,영주,2019-12-02 22:00,-0.9,4.5,48.0,0.0
47,272,영주,2019-12-02 23:00,-1.2,4.6,47.0,0.0
48,272,영주,2019-12-03 0:00,-1.3,7.2,51.0,0.0
49,272,영주,2019-12-03 1:00,-1.4,4.6,55.0,2.0
50,272,영주,2019-12-03 2:00,-1.5,4.3,58.0,0.0
51,272,영주,2019-12-03 3:00,-1.8,5.0,59.0,1.0
52,272,영주,2019-12-03 4:00,-2.2,4.5,60.0,0.0
