,Location,place,Date,Temp,Wind,Humid,Cloud
0,115,울릉도,2019-12-01 0:00,9.0,5.6,76.0,7.0
1,115,울릉도,2019-12-01 1:00,9.2,5.1,58.0,3.0
2,115,울릉도,2019-12-01 2:00,9.5,5.3,56.0,7.0
3,115,울릉도,2019-12-01 3:00,10.0,3.6,55.0,10.0
4,115,울릉도,2019-12-01 4:00,10.1,3.2,47.0,10.0
5,115,울릉도,2019-12-01 5:00,9.5,1.3,52.0,10.0
6,115,울릉도,2019-12-01 6:00,8.9,1.9,62.0,10.0
7,115,울릉도,2019-12-01 7:00,8.5,1.8,62.0,10.0
8,115,울릉도,2019-12-01 8:00,8.2,1.8,67.0,10.0
9,115,울릉도,2019-12-01 9:00,8.0,1.0,68.0,10.0
10,115,울릉도,2019-12-01 10:00,7.8,1.5,77.0,10.0
11,115,울릉도,2019-12-01 11:00,8.0,0.5,76.0,10.0
12,115,울릉도,2019-12-01 12:00,8.4,1.0,78.0,10.0
13,115,울릉도,2019-12-01 13:00,9.0,1.6,72.0,10.0
14,115,울릉도,2019-12-01 14:00,9.0,2.0,70.0,10.0
15,115,울릉도,2019-12-01 15:00,9.0,1.4,75.0,10.0
16,115,울릉도,2019-12-01 16:00,8.3,1.9,79.0,10.0
17,115,울릉도,2019-12-01 17:00,7.9,1.1,68.0,10.0
18,115,울릉도,2019-12-01 18:00,7.4,1.7,80.0,10.0
19,115,울릉도,2019-12-01 19:00,7.2,1.0,81.0,10.0
20,115,울릉도,2019-12-01 20:00,7.0,0.9,82.0,10.0
21,115,울릉도,2019-12-01 21:00,6.5,1.7,89.0,10.0
22,115,울릉도,2019-12-01 22:00,6.8,0.0,84.0,10.0
23,115,울릉도,2019-12-01 23:00,6.5,3.7,90.0,10.0
24,115,울릉도,2019-12-02 0:00,6.7,1.2,90.0,10.0
25,115,울릉도,2019-12-02 1:00,6.8,0.4,90.0,10.0
26,115,울릉도,2019-12-02 2:00,6.9,1.7,87.0,10.0
27,115,울릉도,2019-12-02 3:00,6.9,2.4,90.0,10.0
28,115,울릉도,2019-12-02 4:00,7.5,3.6,81.0,10.0
29,115,울릉도,2019-12-02 5:00,7.7,3.2,76.0,10.0
30,115,울릉도,2019-12-02 6:00,7.6,2.0,71.0,10.0
31,115,울릉도,2019-12-02 7:00,7.5,1.7,65.0,10.0
32,115,울릉도,2019-12-02 8:00,6.7,4.0,59.0,9.0
33,115,울릉도,2019-12-02 9:00,6.9,3.2,49.0,8.0
34,115,울릉도,2019-12-02 10:00,8.1,2.0,54.0,6.0
35,115,울릉도,2019-12-02 11:00,7.5,3.9,50.0,6.0
36,115,울릉도,2019-12-02 12:00,7.4,3.5,40.0,8.0
37,115,울릉도,2019-12-02 13:00,7.1,4.1,51.0,6.0
38,115,울릉도,2019-12-02 14:00,6.5,4.0,48.0,6.0
39,115,울릉도,2019-12-02 15:00,6.5,3.0,43.0,3.0
40,115,울릉도,2019-12-02 16:00,5.6,3.3,43.0,5.0
41,115,울릉도,2019-12-02 17:00,4.4,2.3,40.0,4.0
42,115,울릉도,2019-12-02 18:00,4.4,2.1,45.0,6.0
43,115,울릉도,2019-12-02 19:00,4.4,1.4,42.0,5.0
44,115,울릉도,2019-12-02 20:00,4.6,2.8,43.0,7.0
45,115,울릉도,2019-12-02 21:00,4.3,1.6,38.0,5.0
46,115,울릉도,2019-12-02 22:00,4.4,2.6,46.0,9.0
47,115,울릉도,2019-12-02 23:00,3.9,2.1,45.0,9.0
48,115,울릉도,2019-12-03 0:00,3.2,2.6,43.0,8.0
49,115,울릉도,2019-12-03 1:00,2.6,2.8,45.0,9.0
50,115,울릉도,2019-12-03 2:00,1.9,3.1,49.0,9.0
51,115,울릉도,2019-12-03 3:00,1.6,3.9,53.0,9.0
52,115,울릉도,2019-12-03 4:00,1.6,2.8,48.0,9.0
53,115,울릉도,2019-12-03 5:00,1.5,3.3,55.0,9.0
54,115,울릉도,2019-12-03 6:00,1.0,2.4,64.0,9.0
55,115,울릉도,2019-12-03 7:00,1.2,2.1,52.0,9.0
56,115,울릉도,2019-12-03 8:00,1.3,1.9,52.0,8.0
57,115,울릉도,2019-12-03 9:00,2.6,2.1,40.0,4.0
58,115,울릉도,2019-12-03 10:00,3.5,1.8,38.0,7.0
59,115,울릉도,2019-12-03 11:00,5.0,2.6,42.0,7.0
60,115,울릉도,2019-12-03 12:00,4.9,3.6,43.0,7.0
61,115,울릉도,2019-12-03 13:00,4.3,3.2,52.0,8.0
62,115,울릉도,2019-12-03 14:00,4.2,5.8,45.0,8.0
63,115,울릉도,2019-12-03 15:00,5.7,4.2,41.0,8.0
64,115,울릉도,2019-12-03 16:00,4.6,5.6,47.0,8.0
65,115,울릉도,2019-12-03 17:00,4.5,4.4,49.0,8.0
66,115,울릉도,2019-12-03 18:00,4.7,4.2,49.0,8.0
67,115,울릉도,2019-12-03 19:00,4.9,3.6,51.0,7.0
68,115,울릉도,2019-12-03 20:00,5.1,5.5,36.0,7.0
69,115,울릉도,2019-12-03 21:00,5.1,5.9,37.0,7.0
70,115,울릉도,2019-12-03 22:00,5.2,5.5,41.0,8.0
71,115,울릉도,2019-12-03 23:00,4.9,3.6,43.0,6.0
72,115,울릉도,2019-12-04 0:00,5.0,5.4,42.0,8.0
73,115,울릉도,2019-12-04 1:00,5.0,5.4,45.0,9.0
74,115,울릉도,2019-12-04 2:00,5.2,3.3,47.0,9.0
75,115,울릉도,2019-12-04 3:00,5.2,4.0,48.0,9.0
76,115,울릉도,2019-12-04 4:00,5.0,3.3,50.0,9.0
77,115,울릉도,2019-12-04 5:00,4.4,4.4,54.0,8.0
78,115,울릉도,2019-12-04 6:00,3.9,3.0,45.0,9.0
79,115,울릉도,2019-12-04 7:00,4.1,1.8,47.0,8.0
80,115,울릉도,2019-12-04 8:00,4.4,2.1,41.0,7.0
81,115,울릉도,2019-12-04 9:00,5.6,1.9,40.0,6.0
82,115,울릉도,2019-12-04 10:00,5.2,2.6,50.0,8.0
83,115,울릉도,2019-12-04 11:00,5.3,3.7,45.0,7.0
