,Location,place,Date,Temp,Wind,Humid,Cloud
0,152,울산,2019-12-01 0:00,7.7,0.0,78.0,8.0
1,152,울산,2019-12-01 1:00,8.0,0.5,82.0,10.0
2,152,울산,2019-12-01 2:00,8.5,0.3,83.0,10.0
3,152,울산,2019-12-01 3:00,8.5,1.2,87.0,10.0
4,152,울산,2019-12-01 4:00,8.4,0.5,92.0,10.0
5,152,울산,2019-12-01 5:00,9.0,2.5,92.0,10.0
6,152,울산,2019-12-01 6:00,8.4,2.6,81.0,10.0
7,152,울산,2019-12-01 7:00,8.0,1.7,71.0,10.0
8,152,울산,2019-12-01 8:00,8.6,3.1,59.0,10.0
9,152,울산,2019-12-01 9:00,8.3,3.3,62.0,10.0
10,152,울산,2019-12-01 10:00,8.5,2.2,63.0,10.0
11,152,울산,2019-12-01 11:00,8.6,2.8,65.0,10.0
12,152,울산,2019-12-01 12:00,7.9,1.5,78.0,10.0
13,152,울산,2019-12-01 13:00,7.8,1.7,78.0,10.0
14,152,울산,2019-12-01 14:00,6.9,1.5,89.0,10.0
15,152,울산,2019-12-01 15:00,6.5,1.1,95.0,10.0
16,152,울산,2019-12-01 16:00,6.2,1.5,98.0,10.0
17,152,울산,2019-12-01 17:00,6.2,2.3,98.0,10.0
18,152,울산,2019-12-01 18:00,6.3,3.4,98.0,10.0
19,152,울산,2019-12-01 19:00,6.3,3.0,98.0,10.0
20,152,울산,2019-12-01 20:00,6.4,2.9,98.0,10.0
21,152,울산,2019-12-01 21:00,6.7,3.7,98.0,10.0
22,152,울산,2019-12-01 22:00,7.0,3.0,98.0,10.0
23,152,울산,2019-12-01 23:00,6.9,3.8,98.0,10.0
24,152,울산,2019-12-02 0:00,6.8,3.0,98.0,10.0
25,152,울산,2019-12-02 1:00,7.1,3.3,98.0,10.0
26,152,울산,2019-12-02 2:00,6.4,1.1,98.0,10.0
27,152,울산,2019-12-02 3:00,6.1,2.4,98.0,10.0
28,152,울산,2019-12-02 4:00,7.0,3.3,92.0,10.0
29,152,울산,2019-12-02 5:00,7.3,2.4,81.0,10.0
