,Location,place,Date,Temp,Wind,Humid,Cloud
0,130,울진,2019-12-01 0:00,10.6,2.6,53.0,10.0
1,130,울진,2019-12-01 1:00,10.0,3.3,60.0,10.0
2,130,울진,2019-12-01 2:00,9.9,3.0,58.0,10.0
3,130,울진,2019-12-01 3:00,9.5,2.4,55.0,10.0
4,130,울진,2019-12-01 4:00,9.5,2.8,49.0,10.0
5,130,울진,2019-12-01 5:00,9.1,2.6,49.0,10.0
6,130,울진,2019-12-01 6:00,8.9,1.6,46.0,10.0
7,130,울진,2019-12-01 7:00,8.5,1.8,49.0,10.0
8,130,울진,2019-12-01 8:00,8.4,1.9,50.0,10.0
9,130,울진,2019-12-01 9:00,8.6,2.2,54.0,9.0
10,130,울진,2019-12-01 10:00,8.9,1.9,56.0,9.0
11,130,울진,2019-12-01 11:00,9.2,2.0,58.0,9.0
12,130,울진,2019-12-01 12:00,9.6,1.8,56.0,9.0
13,130,울진,2019-12-01 13:00,10.3,1.8,56.0,9.0
14,130,울진,2019-12-01 14:00,10.7,1.5,59.0,10.0
15,130,울진,2019-12-01 15:00,8.4,1.5,79.0,10.0
16,130,울진,2019-12-01 16:00,7.9,1.0,94.0,10.0
17,130,울진,2019-12-01 17:00,7.3,1.2,96.0,10.0
18,130,울진,2019-12-01 18:00,7.2,1.1,98.0,10.0
19,130,울진,2019-12-01 19:00,6.9,1.3,99.0,10.0
20,130,울진,2019-12-01 20:00,6.9,1.4,99.0,10.0
21,130,울진,2019-12-01 21:00,6.9,1.4,99.0,10.0
22,130,울진,2019-12-01 22:00,6.7,1.9,99.0,10.0
23,130,울진,2019-12-01 23:00,6.6,1.8,99.0,10.0
24,130,울진,2019-12-02 0:00,6.3,1.5,99.0,10.0
25,130,울진,2019-12-02 1:00,6.2,1.5,99.0,10.0
26,130,울진,2019-12-02 2:00,5.9,1.6,98.0,9.0
27,130,울진,2019-12-02 3:00,5.8,1.9,98.0,10.0
28,130,울진,2019-12-02 4:00,5.8,2.1,96.0,9.0
29,130,울진,2019-12-02 5:00,5.8,1.3,90.0,10.0
30,130,울진,2019-12-02 6:00,5.7,1.1,81.0,10.0
31,130,울진,2019-12-02 7:00,5.1,3.0,58.0,7.0
32,130,울진,2019-12-02 8:00,4.9,3.7,44.0,6.0
