,Location,place,Date,Temp,Wind,Humid,Cloud
0,114,원주,2019-12-01 0:00,3.6,0.0,53.0,8.0
1,114,원주,2019-12-01 1:00,3.5,0.5,53.0,9.0
2,114,원주,2019-12-01 2:00,3.6,0.0,54.0,9.0
3,114,원주,2019-12-01 3:00,3.4,0.0,57.0,8.5
4,114,원주,2019-12-01 4:00,2.8,0.2,61.0,8.0
5,114,원주,2019-12-01 5:00,3.5,0.1,58.0,9.0
6,114,원주,2019-12-01 6:00,3.2,0.7,60.0,10.0
7,114,원주,2019-12-01 7:00,3.4,0.1,60.0,9.0
8,114,원주,2019-12-01 8:00,3.1,0.3,68.0,10.0
9,114,원주,2019-12-01 9:00,3.7,0.4,67.0,3.0
10,114,원주,2019-12-01 10:00,4.3,0.9,64.0,9.0
11,114,원주,2019-12-01 11:00,5.3,0.6,66.0,7.0
12,114,원주,2019-12-01 12:00,5.1,0.7,70.0,10.0
13,114,원주,2019-12-01 13:00,5.5,0.7,74.0,10.0
14,114,원주,2019-12-01 14:00,5.6,0.8,77.0,10.0
15,114,원주,2019-12-01 15:00,5.4,0.3,81.0,9.0
16,114,원주,2019-12-01 16:00,5.5,0.6,85.0,10.0
17,114,원주,2019-12-01 17:00,5.5,0.0,85.0,10.0
18,114,원주,2019-12-01 18:00,5.4,0.0,88.0,10.0
19,114,원주,2019-12-01 19:00,5.5,0.0,89.0,10.0
20,114,원주,2019-12-01 20:00,5.4,0.0,90.0,10.0
21,114,원주,2019-12-01 21:00,5.4,0.2,90.0,10.0
22,114,원주,2019-12-01 22:00,5.2,0.5,91.0,10.0
23,114,원주,2019-12-01 23:00,5.0,0.8,90.0,10.0
24,114,원주,2019-12-02 0:00,5.0,0.6,90.0,9.0
25,114,원주,2019-12-02 1:00,5.1,1.1,87.0,9.0
26,114,원주,2019-12-02 2:00,3.9,2.1,73.0,8.0
27,114,원주,2019-12-02 3:00,2.8,2.1,69.0,10.0
28,114,원주,2019-12-02 4:00,2.4,0.9,64.0,10.0
29,114,원주,2019-12-02 5:00,1.6,1.1,68.0,7.0
30,114,원주,2019-12-02 6:00,1.4,1.8,71.0,1.0
31,114,원주,2019-12-02 7:00,1.0,1.6,70.0,0.0
32,114,원주,2019-12-02 8:00,0.8,1.1,70.0,0.0
33,114,원주,2019-12-02 9:00,1.7,1.3,56.0,0.0
34,114,원주,2019-12-02 10:00,2.0,2.5,48.0,0.0
35,114,원주,2019-12-02 11:00,3.4,1.7,40.0,0.0
36,114,원주,2019-12-02 12:00,4.1,3.0,26.0,0.0
37,114,원주,2019-12-02 13:00,4.5,3.3,23.0,0.0
38,114,원주,2019-12-02 14:00,4.7,2.9,24.0,0.0
39,114,원주,2019-12-02 15:00,3.9,4.0,26.0,0.0
40,114,원주,2019-12-02 16:00,3.7,3.6,29.0,0.0
41,114,원주,2019-12-02 17:00,2.2,2.6,38.0,0.0
42,114,원주,2019-12-02 18:00,1.6,2.4,45.0,0.0
43,114,원주,2019-12-02 19:00,0.9,2.1,44.0,0.0
44,114,원주,2019-12-02 20:00,0.6,2.5,43.0,0.0
45,114,원주,2019-12-02 21:00,0.1,1.5,40.0,0.0
46,114,원주,2019-12-02 22:00,-0.5,1.9,36.0,0.0
47,114,원주,2019-12-02 23:00,-1.0,1.0,40.0,0.0
48,114,원주,2019-12-03 0:00,-1.2,1.1,40.0,0.0
49,114,원주,2019-12-03 1:00,-2.1,0.0,51.0,0.0
50,114,원주,2019-12-03 2:00,-2.7,0.0,58.0,0.0
51,114,원주,2019-12-03 3:00,-3.5,0.0,64.0,0.0
52,114,원주,2019-12-03 4:00,-4.0,0.0,65.0,0.0
53,114,원주,2019-12-03 5:00,-4.1,0.0,65.0,0.0
54,114,원주,2019-12-03 6:00,-4.5,0.1,70.0,0.0
55,114,원주,2019-12-03 7:00,-5.2,0.9,74.0,0.0
56,114,원주,2019-12-03 8:00,-4.7,0.3,71.0,0.0
57,114,원주,2019-12-03 9:00,-3.4,1.1,65.0,0.0
58,114,원주,2019-12-03 10:00,-1.9,0.5,53.0,3.0
59,114,원주,2019-12-03 11:00,-0.8,0.4,45.0,5.0
60,114,원주,2019-12-03 12:00,0.5,1.1,42.0,7.0
61,114,원주,2019-12-03 13:00,-0.3,1.1,74.0,9.0
62,114,원주,2019-12-03 14:00,-0.2,0.7,79.0,9.0
63,114,원주,2019-12-03 15:00,0.6,1.1,76.0,9.0
64,114,원주,2019-12-03 16:00,1.2,0.6,75.0,9.0
65,114,원주,2019-12-03 17:00,1.1,1.0,77.0,8.0
66,114,원주,2019-12-03 18:00,1.4,0.5,78.0,0.0
67,114,원주,2019-12-03 19:00,1.7,0.1,78.0,9.0
68,114,원주,2019-12-03 20:00,2.0,0.1,77.0,8.0
69,114,원주,2019-12-03 21:00,2.1,0.0,78.0,9.0
70,114,원주,2019-12-03 22:00,2.3,0.0,78.0,9.0
71,114,원주,2019-12-03 23:00,2.4,0.0,78.0,9.0
72,114,원주,2019-12-04 0:00,1.8,1.1,84.0,9.0
73,114,원주,2019-12-04 1:00,1.6,0.0,87.0,9.0
74,114,원주,2019-12-04 2:00,1.8,0.6,88.0,9.0
75,114,원주,2019-12-04 3:00,1.7,0.1,89.0,9.0
76,114,원주,2019-12-04 4:00,1.4,0.0,90.0,9.0
77,114,원주,2019-12-04 5:00,0.6,0.1,90.0,3.0
78,114,원주,2019-12-04 6:00,0.4,0.4,91.0,10.0
79,114,원주,2019-12-04 7:00,0.3,0.1,92.0,10.0
80,114,원주,2019-12-04 8:00,-0.4,0.4,92.0,10.0
81,114,원주,2019-12-04 9:00,-0.8,0.8,92.0,9.0
82,114,원주,2019-12-04 10:00,1.4,0.5,82.0,6.0
83,114,원주,2019-12-04 11:00,2.8,0.4,52.0,0.0
84,114,원주,2019-12-04 12:00,4.3,0.8,35.0,0.0
85,114,원주,2019-12-04 13:00,5.3,2.0,38.0,0.0
86,114,원주,2019-12-04 14:00,5.5,1.5,35.0,0.0
87,114,원주,2019-12-04 15:00,6.1,2.2,36.0,1.0
88,114,원주,2019-12-04 16:00,6.0,1.4,40.0,6.0
89,114,원주,2019-12-04 17:00,5.4,0.2,47.0,7.0
90,114,원주,2019-12-04 18:00,5.1,0.1,52.0,8.0
91,114,원주,2019-12-04 19:00,3.9,0.2,59.0,0.0
92,114,원주,2019-12-04 20:00,2.6,0.4,66.0,3.0
93,114,원주,2019-12-04 21:00,1.7,0.4,71.0,0.0
94,114,원주,2019-12-04 22:00,0.9,0.4,75.0,0.0
95,114,원주,2019-12-04 23:00,0.4,0.0,78.0,0.0
96,114,원주,2019-12-05 0:00,2.0,1.2,60.0,0.0
97,114,원주,2019-12-05 1:00,1.3,1.6,43.0,0.0
98,114,원주,2019-12-05 2:00,0.3,0.6,41.0,0.0
99,114,원주,2019-12-05 3:00,-0.6,0.7,54.0,0.0
100,114,원주,2019-12-05 4:00,-1.5,0.2,60.0,0.0
101,114,원주,2019-12-05 5:00,-2.0,0.3,62.0,0.0
102,114,원주,2019-12-05 6:00,-2.8,0.1,65.0,0.0
103,114,원주,2019-12-05 7:00,-2.9,0.2,60.0,0.0
104,114,원주,2019-12-05 8:00,-2.7,0.1,53.0,0.0
105,114,원주,2019-12-05 9:00,-0.9,1.4,32.0,0.0
106,114,원주,2019-12-05 10:00,0.0,1.3,27.0,0.0
107,114,원주,2019-12-05 11:00,-0.1,2.3,17.0,0.0
108,114,원주,2019-12-05 12:00,1.4,2.9,17.0,0.0
109,114,원주,2019-12-05 13:00,1.6,3.9,18.0,0.0
110,114,원주,2019-12-05 14:00,1.6,4.1,17.0,0.0
111,114,원주,2019-12-05 15:00,1.0,3.6,9.0,0.0
112,114,원주,2019-12-05 16:00,0.5,3.0,15.0,0.0
113,114,원주,2019-12-05 17:00,-0.7,2.3,18.0,0.0
114,114,원주,2019-12-05 18:00,-1.8,1.9,24.0,0.0
115,114,원주,2019-12-05 19:00,-2.8,3.0,27.0,0.0
116,114,원주,2019-12-05 20:00,-3.6,1.9,28.0,0.0
117,114,원주,2019-12-05 21:00,-4.2,1.9,31.0,0.0
118,114,원주,2019-12-05 22:00,-4.9,1.0,33.0,0.0
119,114,원주,2019-12-05 23:00,-5.5,1.0,37.0,0.0
120,114,원주,2019-12-06 0:00,-6.2,1.0,43.0,0.0
121,114,원주,2019-12-06 1:00,-6.5,0.6,43.0,0.0
122,114,원주,2019-12-06 2:00,-7.1,0.0,47.0,0.0
123,114,원주,2019-12-06 3:00,-7.8,0.0,55.0,0.0
124,114,원주,2019-12-06 4:00,-8.1,0.8,55.0,0.0
125,114,원주,2019-12-06 5:00,-8.7,0.3,63.0,0.0
126,114,원주,2019-12-06 6:00,-9.1,1.0,67.0,0.0
127,114,원주,2019-12-06 7:00,-9.3,1.0,67.0,0.0
128,114,원주,2019-12-06 8:00,-9.7,0.0,72.0,0.0
129,114,원주,2019-12-06 9:00,-8.5,0.7,66.0,0.0
130,114,원주,2019-12-06 10:00,-6.8,0.9,46.0,0.0
131,114,원주,2019-12-06 11:00,-5.5,0.6,39.0,0.0
132,114,원주,2019-12-06 12:00,-3.6,0.8,29.0,0.0
133,114,원주,2019-12-06 13:00,-2.6,1.0,25.0,0.0
134,114,원주,2019-12-06 14:00,-1.8,0.5,23.0,0.0
135,114,원주,2019-12-06 15:00,-0.8,1.4,23.0,0.0
136,114,원주,2019-12-06 16:00,-1.2,1.6,23.0,0.0
137,114,원주,2019-12-06 17:00,-1.7,0.7,24.0,0.0
138,114,원주,2019-12-06 18:00,-2.1,0.3,27.0,0.0
139,114,원주,2019-12-06 19:00,-3.7,0.5,37.0,0.0
140,114,원주,2019-12-06 20:00,-4.4,0.1,42.0,0.0
141,114,원주,2019-12-06 21:00,-5.2,0.3,47.0,0.0
142,114,원주,2019-12-06 22:00,-5.6,0.3,48.0,0.0
143,114,원주,2019-12-06 23:00,-6.1,0.0,53.0,0.0
144,114,원주,2019-12-07 0:00,-6.6,0.5,60.0,0.0
145,114,원주,2019-12-07 1:00,-7.0,0.4,61.0,0.0
146,114,원주,2019-12-07 2:00,-6.9,0.8,60.0,9.0
147,114,원주,2019-12-07 3:00,-7.2,1.4,64.0,9.0
148,114,원주,2019-12-07 4:00,-7.2,0.1,61.0,1.0
149,114,원주,2019-12-07 5:00,-6.6,0.2,59.0,9.0
150,114,원주,2019-12-07 6:00,-5.7,0.6,56.0,9.0
151,114,원주,2019-12-07 7:00,-6.0,0.7,57.0,8.0
152,114,원주,2019-12-07 8:00,-5.5,0.2,56.0,9.0
153,114,원주,2019-12-07 9:00,-4.4,0.0,53.0,6.0
154,114,원주,2019-12-07 10:00,-3.5,1.1,46.0,9.0
155,114,원주,2019-12-07 11:00,-3.1,0.7,53.0,9.0
156,114,원주,2019-12-07 12:00,-2.7,0.5,62.0,9.0
157,114,원주,2019-12-07 13:00,-2.3,0.5,68.0,9.0
158,114,원주,2019-12-07 14:00,-1.1,0.6,66.0,9.0
159,114,원주,2019-12-07 15:00,-0.8,0.2,66.0,9.0
160,114,원주,2019-12-07 16:00,0.0,0.1,64.0,9.0
161,114,원주,2019-12-07 17:00,0.1,0.7,64.0,10.0
162,114,원주,2019-12-07 18:00,-0.3,0.2,68.0,10.0
163,114,원주,2019-12-07 19:00,-0.9,0.5,72.0,1.0
164,114,원주,2019-12-07 20:00,-1.9,0.5,77.0,0.0
165,114,원주,2019-12-07 21:00,-2.4,0.4,79.0,0.0
166,114,원주,2019-12-07 22:00,-3.2,0.6,83.0,0.0
167,114,원주,2019-12-07 23:00,-3.3,0.0,84.0,8.0
168,114,원주,2019-12-08 0:00,-4.1,0.0,85.0,9.0
169,114,원주,2019-12-08 1:00,-4.6,0.7,86.0,0.0
170,114,원주,2019-12-08 2:00,-5.1,0.0,87.0,0.0
171,114,원주,2019-12-08 3:00,-5.4,0.0,86.0,0.0
172,114,원주,2019-12-08 4:00,-5.9,0.0,86.0,0.0
173,114,원주,2019-12-08 5:00,-6.3,0.4,86.0,2.0
174,114,원주,2019-12-08 6:00,-6.6,0.0,87.0,10.0
175,114,원주,2019-12-08 7:00,-6.0,0.0,88.0,10.0
176,114,원주,2019-12-08 8:00,-5.8,0.1,86.0,10.0
177,114,원주,2019-12-08 9:00,-5.0,0.1,84.0,10.0
178,114,원주,2019-12-08 10:00,-3.3,0.6,79.0,5.0
179,114,원주,2019-12-08 11:00,-0.5,0.4,69.0,0.0
180,114,원주,2019-12-08 12:00,1.5,1.1,60.0,0.0
181,114,원주,2019-12-08 13:00,2.4,0.8,55.0,0.0
182,114,원주,2019-12-08 14:00,3.7,0.6,47.0,0.0
183,114,원주,2019-12-08 15:00,4.5,1.7,33.0,0.0
184,114,원주,2019-12-08 16:00,4.4,1.4,28.0,0.0
185,114,원주,2019-12-08 17:00,2.8,1.2,34.0,0.0
186,114,원주,2019-12-08 18:00,1.0,0.7,48.0,0.0
187,114,원주,2019-12-08 19:00,-0.5,0.3,59.0,8.0
188,114,원주,2019-12-08 20:00,-1.6,0.2,64.0,0.0
189,114,원주,2019-12-08 21:00,-2.2,0.0,65.0,0.0
190,114,원주,2019-12-08 22:00,-2.9,0.3,68.0,5.0
191,114,원주,2019-12-08 23:00,-3.5,0.0,71.0,2.0
192,114,원주,2019-12-09 0:00,-3.6,0.4,73.0,8.0
193,114,원주,2019-12-09 1:00,-3.6,0.2,73.0,10.0
194,114,원주,2019-12-09 2:00,-4.0,0.3,75.0,10.0
195,114,원주,2019-12-09 3:00,-4.3,0.6,76.0,0.0
196,114,원주,2019-12-09 4:00,-5.1,0.0,79.0,0.0
197,114,원주,2019-12-09 5:00,-5.0,0.7,79.0,0.0
198,114,원주,2019-12-09 6:00,-4.4,0.3,78.0,10.0
199,114,원주,2019-12-09 7:00,-4.1,0.4,76.0,3.0
200,114,원주,2019-12-09 8:00,-3.3,0.7,75.0,4.0
201,114,원주,2019-12-09 9:00,-2.7,0.9,71.0,9.0
202,114,원주,2019-12-09 10:00,-1.9,0.7,63.0,9.0
203,114,원주,2019-12-09 11:00,0.2,0.5,59.0,9.0
204,114,원주,2019-12-09 12:00,1.6,0.6,53.0,8.0
205,114,원주,2019-12-09 13:00,4.5,0.7,47.0,6.0
206,114,원주,2019-12-09 14:00,4.5,0.9,49.0,9.0
207,114,원주,2019-12-09 15:00,5.5,0.7,48.0,9.0
208,114,원주,2019-12-09 16:00,6.5,0.6,45.0,8.0
209,114,원주,2019-12-09 17:00,5.0,0.8,50.0,6.0
210,114,원주,2019-12-09 18:00,4.2,0.2,56.0,4.0
211,114,원주,2019-12-09 19:00,4.0,0.2,58.0,7.0
212,114,원주,2019-12-09 20:00,2.4,0.3,66.0,0.0
213,114,원주,2019-12-09 21:00,2.7,0.4,67.0,6.0
214,114,원주,2019-12-09 22:00,3.6,0.3,63.0,0.0
215,114,원주,2019-12-09 23:00,3.2,0.3,64.0,0.0
216,114,원주,2019-12-10 0:00,2.8,0.6,66.0,8.0
217,114,원주,2019-12-10 1:00,1.2,0.1,73.0,6.0
218,114,원주,2019-12-10 2:00,0.8,0.4,76.0,5.0
219,114,원주,2019-12-10 3:00,0.6,0.4,78.0,0.0
220,114,원주,2019-12-10 4:00,1.4,0.5,78.0,0.0
221,114,원주,2019-12-10 5:00,1.2,0.1,80.0,0.0
222,114,원주,2019-12-10 6:00,2.3,0.2,77.0,9.0
223,114,원주,2019-12-10 7:00,8.8,1.7,69.0,8.0
224,114,원주,2019-12-10 8:00,5.4,0.6,75.0,0.0
225,114,원주,2019-12-10 9:00,5.2,0.1,84.0,6.0
