,Location,place,Date,Temp,Wind,Humid,Cloud
0,278,의성,2020-07-30 12:00,,,,
1,278,의성,2019-12-01 1:00,4.3,0.3,83.0,10.0
2,278,의성,2019-12-01 2:00,4.4,0.3,82.0,9.0
3,278,의성,2019-12-01 3:00,4.5,0.2,82.0,9.0
4,278,의성,2019-12-01 4:00,4.7,0.2,82.0,9.0
5,278,의성,2019-12-01 5:00,4.7,0.2,82.0,9.0
6,278,의성,2019-12-01 6:00,4.7,0.0,83.0,10.0
7,278,의성,2019-12-01 7:00,4.7,0.0,83.0,10.0
8,278,의성,2019-12-01 8:00,5.0,0.1,83.0,9.0
9,278,의성,2019-12-01 9:00,5.9,0.4,80.0,9.0
10,278,의성,2019-12-01 10:00,7.9,0.7,63.0,9.0
11,278,의성,2019-12-01 11:00,9.0,0.6,52.0,9.0
12,278,의성,2019-12-01 12:00,9.1,0.1,50.0,10.0
13,278,의성,2019-12-01 13:00,8.4,0.8,62.0,10.0
14,278,의성,2019-12-01 14:00,8.3,1.2,76.0,10.0
15,278,의성,2019-12-01 15:00,7.6,0.8,81.0,10.0
16,278,의성,2019-12-01 16:00,7.0,0.1,88.0,10.0
17,278,의성,2019-12-01 17:00,6.7,0.6,90.0,10.0
18,278,의성,2019-12-01 18:00,6.5,0.3,93.0,10.0
19,278,의성,2019-12-01 19:00,6.3,0.2,94.0,10.0
20,278,의성,2019-12-01 20:00,6.1,0.6,94.0,10.0
21,278,의성,2019-12-01 21:00,6.1,0.1,95.0,10.0
22,278,의성,2019-12-01 22:00,6.2,0.7,95.0,10.0
23,278,의성,2019-12-01 23:00,5.6,0.1,96.0,10.0
24,278,의성,2019-12-02 0:00,5.7,0.2,96.0,10.0
25,278,의성,2019-12-02 1:00,5.6,0.5,96.0,8.0
26,278,의성,2019-12-02 2:00,4.8,0.4,96.0,9.0
27,278,의성,2019-12-02 3:00,5.6,0.9,96.0,10.0
28,278,의성,2019-12-02 4:00,6.3,1.7,83.0,10.0
29,278,의성,2019-12-02 5:00,4.4,4.4,55.0,10.0
30,278,의성,2019-12-02 6:00,3.7,3.5,47.0,10.0
31,278,의성,2019-12-02 7:00,2.7,2.8,54.0,0.0
32,278,의성,2019-12-02 8:00,2.8,2.7,58.0,1.0
33,278,의성,2019-12-02 9:00,3.6,1.9,56.0,4.0
34,278,의성,2019-12-02 10:00,5.2,4.5,50.0,6.0
35,278,의성,2019-12-02 11:00,5.4,5.8,43.0,5.0
36,278,의성,2019-12-02 12:00,6.3,4.8,37.0,1.0
37,278,의성,2019-12-02 13:00,6.8,5.2,32.0,0.0
38,278,의성,2019-12-02 14:00,6.8,5.5,25.0,0.0
39,278,의성,2019-12-02 15:00,6.7,6.1,24.0,0.0
40,278,의성,2019-12-02 16:00,6.2,6.0,27.0,0.0
41,278,의성,2019-12-02 17:00,5.0,4.6,32.0,0.0
42,278,의성,2019-12-02 18:00,3.8,3.2,39.0,0.0
43,278,의성,2019-12-02 19:00,2.9,3.7,45.0,0.0
44,278,의성,2019-12-02 20:00,2.1,3.9,52.0,0.0
45,278,의성,2019-12-02 21:00,1.7,3.7,50.0,0.0
46,278,의성,2019-12-02 22:00,1.0,2.8,49.0,0.0
47,278,의성,2019-12-02 23:00,0.6,2.1,45.0,0.0
48,278,의성,2019-12-03 0:00,0.0,1.1,46.0,0.0
49,278,의성,2019-12-03 1:00,-2.0,0.9,60.0,0.0
50,278,의성,2019-12-03 2:00,-3.7,0.4,75.0,0.0
