,Location,place,Date,Temp,Wind,Humid,Cloud
0,203,이천,2019-12-01 0:00,4.9,0.4,50.0,9.0
1,203,이천,2019-12-01 1:00,4.1,0.3,55.0,9.0
2,203,이천,2019-12-01 2:00,4.6,0.2,53.0,9.0
3,203,이천,2019-12-01 3:00,3.7,0.1,60.0,9.0
4,203,이천,2019-12-01 4:00,3.0,0.0,72.0,9.0
5,203,이천,2019-12-01 5:00,2.9,0.4,75.0,9.0
6,203,이천,2019-12-01 6:00,3.1,0.1,76.0,8.0
7,203,이천,2019-12-01 7:00,3.2,0.6,82.0,10.0
8,203,이천,2019-12-01 8:00,3.2,0.2,83.0,10.0
9,203,이천,2019-12-01 9:00,4.0,0.1,76.0,1.0
10,203,이천,2019-12-01 10:00,5.0,0.5,68.0,10.0
11,203,이천,2019-12-01 11:00,5.2,0.6,76.0,10.0
12,203,이천,2019-12-01 12:00,5.2,0.9,86.0,9.0
13,203,이천,2019-12-01 13:00,5.2,0.7,91.0,10.0
14,203,이천,2019-12-01 14:00,5.1,0.6,95.0,10.0
15,203,이천,2019-12-01 15:00,4.9,0.3,97.0,9.0
16,203,이천,2019-12-01 16:00,4.7,0.5,100.0,10.0
17,203,이천,2019-12-01 17:00,4.6,0.2,100.0,10.0
18,203,이천,2019-12-01 18:00,4.6,0.0,100.0,10.0
19,203,이천,2019-12-01 19:00,4.6,0.0,100.0,10.0
20,203,이천,2019-12-01 20:00,4.4,0.0,100.0,10.0
21,203,이천,2019-12-01 21:00,4.6,0.0,100.0,10.0
22,203,이천,2019-12-01 22:00,4.7,0.2,100.0,10.0
23,203,이천,2019-12-01 23:00,4.7,1.1,98.0,10.0
24,203,이천,2019-12-02 0:00,4.4,1.7,95.0,10.0
25,203,이천,2019-12-02 1:00,3.4,1.5,92.0,8.0
26,203,이천,2019-12-02 2:00,2.3,0.7,78.0,9.0
27,203,이천,2019-12-02 3:00,2.3,1.7,73.0,9.0
28,203,이천,2019-12-02 4:00,1.8,1.3,76.0,10.0
29,203,이천,2019-12-02 5:00,0.8,1.1,81.0,3.0
30,203,이천,2019-12-02 6:00,0.9,2.0,75.0,0.0
31,203,이천,2019-12-02 7:00,0.6,1.6,74.0,0.0
32,203,이천,2019-12-02 8:00,0.7,1.1,71.0,0.0
33,203,이천,2019-12-02 9:00,1.9,2.2,54.0,0.0
34,203,이천,2019-12-02 10:00,3.1,2.8,51.0,0.0
35,203,이천,2019-12-02 11:00,4.3,3.1,45.0,0.0
36,203,이천,2019-12-02 12:00,4.7,3.2,37.0,0.0
37,203,이천,2019-12-02 13:00,5.0,3.4,34.0,0.0
38,203,이천,2019-12-02 14:00,5.0,4.5,37.0,0.0
39,203,이천,2019-12-02 15:00,4.4,4.5,41.0,0.0
40,203,이천,2019-12-02 16:00,2.9,4.2,48.0,1.0
