,Location,place,Date,Temp,Wind,Humid,Cloud
0,211,인제,2020-06-29 0:00,,,,
1,211,인제,2019-12-01 1:00,6.5,2.3,33.0,9.0
2,211,인제,2019-12-01 2:00,6.2,2.1,32.0,10.0
3,211,인제,2019-12-01 3:00,5.8,2.6,34.0,9.5
4,211,인제,2019-12-01 4:00,5.2,2.1,38.0,9.0
5,211,인제,2019-12-01 5:00,4.9,1.3,44.0,10.0
6,211,인제,2019-12-01 6:00,4.9,1.8,48.0,10.0
7,211,인제,2019-12-01 7:00,4.6,1.3,54.0,10.0
8,211,인제,2019-12-01 8:00,4.9,1.3,56.0,9.0
9,211,인제,2019-12-01 9:00,5.3,1.8,57.0,9.0
10,211,인제,2019-12-01 10:00,6.0,2.4,61.0,9.0
11,211,인제,2019-12-01 11:00,6.1,3.0,65.0,9.0
12,211,인제,2019-12-01 12:00,6.0,2.0,69.0,10.0
13,211,인제,2019-12-01 13:00,6.0,2.0,72.0,9.0
14,211,인제,2019-12-01 14:00,6.1,1.7,72.0,10.0
15,211,인제,2019-12-01 15:00,6.0,1.6,73.0,10.0
16,211,인제,2019-12-01 16:00,5.6,2.0,79.0,10.0
17,211,인제,2019-12-01 17:00,5.1,1.0,85.0,10.0
18,211,인제,2019-12-01 18:00,4.8,1.1,91.0,10.0
19,211,인제,2019-12-01 19:00,4.6,1.1,89.0,10.0
20,211,인제,2019-12-01 20:00,4.6,1.8,89.0,10.0
21,211,인제,2019-12-01 21:00,4.4,1.4,90.0,10.0
22,211,인제,2019-12-01 22:00,4.3,2.5,88.0,10.0
23,211,인제,2019-12-01 23:00,4.1,2.1,88.0,10.0
24,211,인제,2019-12-02 0:00,4.0,2.2,90.0,9.0
25,211,인제,2019-12-02 1:00,4.1,1.0,91.0,9.0
26,211,인제,2019-12-02 2:00,3.9,0.8,73.0,10.0
27,211,인제,2019-12-02 3:00,2.0,1.4,71.0,10.0
28,211,인제,2019-12-02 4:00,0.5,0.8,87.0,9.0
29,211,인제,2019-12-02 5:00,-0.3,0.6,92.0,6.0
30,211,인제,2019-12-02 6:00,0.8,1.7,73.0,1.0
31,211,인제,2019-12-02 7:00,0.7,4.3,72.0,0.0
32,211,인제,2019-12-02 8:00,0.1,3.7,67.0,0.0
33,211,인제,2019-12-02 9:00,0.4,4.1,61.0,0.0
34,211,인제,2019-12-02 10:00,1.5,3.2,51.0,0.0
35,211,인제,2019-12-02 11:00,2.8,3.0,42.0,0.0
36,211,인제,2019-12-02 12:00,2.9,4.3,31.0,0.0
37,211,인제,2019-12-02 13:00,3.5,4.2,30.0,0.0
38,211,인제,2019-12-02 14:00,2.9,4.9,29.0,0.0
39,211,인제,2019-12-02 15:00,3.1,4.0,30.0,0.0
40,211,인제,2019-12-02 16:00,2.7,4.8,32.0,0.0
41,211,인제,2019-12-02 17:00,1.8,3.0,35.0,0.0
42,211,인제,2019-12-02 18:00,0.9,2.8,29.0,0.0
43,211,인제,2019-12-02 19:00,0.3,3.4,28.0,0.0
44,211,인제,2019-12-02 20:00,-0.3,3.4,29.0,0.0
45,211,인제,2019-12-02 21:00,-1.1,3.2,31.0,0.0
46,211,인제,2019-12-02 22:00,-1.4,3.0,35.0,0.0
47,211,인제,2019-12-02 23:00,-1.8,2.2,40.0,0.0
48,211,인제,2019-12-03 0:00,-2.0,2.1,44.0,0.0
49,211,인제,2019-12-03 1:00,-2.2,2.4,44.0,0.0
50,211,인제,2019-12-03 2:00,-2.3,2.8,42.0,0.0
