,Location,place,Date,Temp,Wind,Humid,Cloud
0,112,인천,2019-12-01 0:00,5.7,0.9,59.0,9.0
1,112,인천,2019-12-01 1:00,5.7,0.7,60.0,10.0
2,112,인천,2019-12-01 2:00,5.7,1.2,61.0,10.0
3,112,인천,2019-12-01 3:00,5.8,1.5,61.0,10.0
4,112,인천,2019-12-01 4:00,5.7,1.4,69.0,10.0
5,112,인천,2019-12-01 5:00,5.6,1.8,72.0,10.0
6,112,인천,2019-12-01 6:00,5.5,1.9,75.0,10.0
7,112,인천,2019-12-01 7:00,5.6,1.8,78.0,10.0
8,112,인천,2019-12-01 8:00,5.6,1.2,77.0,10.0
9,112,인천,2019-12-01 9:00,5.9,1.7,74.0,10.0
10,112,인천,2019-12-01 10:00,6.0,1.5,84.0,10.0
11,112,인천,2019-12-01 11:00,6.6,0.8,85.0,10.0
12,112,인천,2019-12-01 12:00,7.3,0.3,82.0,10.0
13,112,인천,2019-12-01 13:00,7.0,1.8,90.0,10.0
14,112,인천,2019-12-01 14:00,6.1,3.6,93.0,10.0
15,112,인천,2019-12-01 15:00,5.4,4.0,94.0,10.0
16,112,인천,2019-12-01 16:00,5.3,3.8,94.0,10.0
17,112,인천,2019-12-01 17:00,4.7,4.0,93.0,10.0
18,112,인천,2019-12-01 18:00,4.2,4.5,92.0,10.0
19,112,인천,2019-12-01 19:00,3.2,4.5,89.0,10.0
20,112,인천,2019-12-01 20:00,3.2,4.3,74.0,10.0
21,112,인천,2019-12-01 21:00,3.1,2.0,74.0,10.0
22,112,인천,2019-12-01 22:00,3.2,2.6,72.0,10.0
23,112,인천,2019-12-01 23:00,3.5,4.0,59.0,8.0
24,112,인천,2019-12-02 0:00,3.3,4.2,68.0,8.0
25,112,인천,2019-12-02 1:00,2.9,4.7,68.0,8.0
26,112,인천,2019-12-02 2:00,2.5,4.9,68.0,10.0
27,112,인천,2019-12-02 3:00,2.1,4.2,69.0,8.0
28,112,인천,2019-12-02 4:00,1.9,4.8,67.0,4.0
29,112,인천,2019-12-02 5:00,1.2,3.6,71.0,2.0
30,112,인천,2019-12-02 6:00,1.0,4.1,69.0,4.0
31,112,인천,2019-12-02 7:00,0.9,4.1,71.0,2.0
32,112,인천,2019-12-02 8:00,0.6,6.5,55.0,0.0
33,112,인천,2019-12-02 9:00,1.0,7.2,43.0,0.0
34,112,인천,2019-12-02 10:00,1.0,6.1,44.0,0.0
35,112,인천,2019-12-02 11:00,1.5,6.4,29.0,0.0
36,112,인천,2019-12-02 12:00,2.1,5.1,32.0,0.0
37,112,인천,2019-12-02 13:00,2.1,6.6,46.0,1.0
38,112,인천,2019-12-02 14:00,1.9,6.1,51.0,4.0
39,112,인천,2019-12-02 15:00,1.8,7.8,45.0,1.0
40,112,인천,2019-12-02 16:00,1.8,5.7,47.0,2.0
41,112,인천,2019-12-02 17:00,0.8,7.3,42.0,1.0
42,112,인천,2019-12-02 18:00,0.0,7.2,47.0,0.0
43,112,인천,2019-12-02 19:00,-0.8,4.0,47.0,0.0
44,112,인천,2019-12-02 20:00,-1.6,2.6,46.0,0.0
45,112,인천,2019-12-02 21:00,-1.5,2.3,45.0,9.0
46,112,인천,2019-12-02 22:00,-1.8,2.3,56.0,8.0
47,112,인천,2019-12-02 23:00,-2.0,0.4,57.0,8.0
48,112,인천,2019-12-03 0:00,-2.4,1.0,53.0,3.0
49,112,인천,2019-12-03 1:00,-2.5,2.6,51.0,0.0
50,112,인천,2019-12-03 2:00,-3.1,0.5,50.0,0.0
51,112,인천,2019-12-03 3:00,-3.2,1.3,54.0,0.0
52,112,인천,2019-12-03 4:00,-2.9,2.7,56.0,0.0
53,112,인천,2019-12-03 5:00,-3.0,1.8,58.0,2.0
54,112,인천,2019-12-03 6:00,-2.7,2.0,60.0,3.0
55,112,인천,2019-12-03 7:00,-2.4,2.3,63.0,0.0
56,112,인천,2019-12-03 8:00,-1.6,3.3,61.0,1.0
57,112,인천,2019-12-03 9:00,0.2,4.2,67.0,7.0
58,112,인천,2019-12-03 10:00,1.0,3.1,69.0,9.0
59,112,인천,2019-12-03 11:00,1.1,3.9,79.0,9.0
60,112,인천,2019-12-03 12:00,2.5,0.9,83.0,7.0
61,112,인천,2019-12-03 13:00,3.7,1.6,75.0,9.0
62,112,인천,2019-12-03 14:00,4.2,1.4,67.0,8.0
63,112,인천,2019-12-03 15:00,4.4,1.2,64.0,9.0
64,112,인천,2019-12-03 16:00,4.2,2.3,65.0,9.0
65,112,인천,2019-12-03 17:00,4.1,2.5,61.0,10.0
66,112,인천,2019-12-03 18:00,4.0,0.6,67.0,10.0
67,112,인천,2019-12-03 19:00,4.0,2.3,72.0,10.0
68,112,인천,2019-12-03 20:00,4.0,1.7,74.0,10.0
69,112,인천,2019-12-03 21:00,4.2,2.8,78.0,10.0
70,112,인천,2019-12-03 22:00,4.4,3.0,79.0,10.0
71,112,인천,2019-12-03 23:00,3.5,4.8,87.0,10.0
72,112,인천,2019-12-04 0:00,4.0,4.8,89.0,10.0
73,112,인천,2019-12-04 1:00,3.3,4.7,78.0,10.0
74,112,인천,2019-12-04 2:00,2.2,3.7,61.0,10.0
75,112,인천,2019-12-04 3:00,1.5,2.3,57.0,3.0
76,112,인천,2019-12-04 4:00,0.8,2.8,61.0,0.0
77,112,인천,2019-12-04 5:00,0.4,3.0,57.0,1.0
78,112,인천,2019-12-04 6:00,0.1,2.5,49.0,0.0
79,112,인천,2019-12-04 7:00,-0.3,2.1,50.0,0.0
80,112,인천,2019-12-04 8:00,-0.4,1.8,54.0,0.0
81,112,인천,2019-12-04 9:00,0.5,1.5,51.0,0.0
82,112,인천,2019-12-04 10:00,1.8,2.9,40.0,0.0
83,112,인천,2019-12-04 11:00,2.9,2.1,30.0,0.0
84,112,인천,2019-12-04 12:00,4.0,2.2,30.0,0.0
85,112,인천,2019-12-04 13:00,5.0,1.8,34.0,0.0
86,112,인천,2019-12-04 14:00,6.9,1.6,39.0,4.0
87,112,인천,2019-12-04 15:00,6.6,1.3,43.0,8.0
88,112,인천,2019-12-04 16:00,5.6,2.9,46.0,7.0
89,112,인천,2019-12-04 17:00,4.7,3.1,51.0,6.0
90,112,인천,2019-12-04 18:00,4.1,2.5,57.0,4.0
91,112,인천,2019-12-04 19:00,3.7,3.0,59.0,0.0
92,112,인천,2019-12-04 20:00,3.2,2.9,60.0,0.0
93,112,인천,2019-12-04 21:00,3.0,3.1,63.0,0.0
94,112,인천,2019-12-04 22:00,1.7,6.8,59.0,0.0
95,112,인천,2019-12-04 23:00,0.7,6.0,53.0,0.0
96,112,인천,2019-12-05 0:00,0.0,5.3,52.0,0.0
97,112,인천,2019-12-05 1:00,-0.6,5.9,48.0,1.0
98,112,인천,2019-12-05 2:00,-1.3,6.6,46.0,0.0
99,112,인천,2019-12-05 3:00,-1.9,4.9,44.0,0.0
100,112,인천,2019-12-05 4:00,-2.4,5.3,37.0,0.0
101,112,인천,2019-12-05 5:00,-3.0,3.1,41.0,0.0
102,112,인천,2019-12-05 6:00,-3.2,4.3,46.0,0.0
103,112,인천,2019-12-05 7:00,-3.8,3.4,45.0,0.0
104,112,인천,2019-12-05 8:00,-3.8,4.5,40.0,0.0
105,112,인천,2019-12-05 9:00,-3.7,6.2,37.0,0.0
106,112,인천,2019-12-05 10:00,-3.3,4.3,34.0,0.0
107,112,인천,2019-12-05 11:00,-3.1,5.2,31.0,0.0
108,112,인천,2019-12-05 12:00,-2.5,4.5,36.0,0.0
109,112,인천,2019-12-05 13:00,-2.2,6.2,36.0,0.0
110,112,인천,2019-12-05 14:00,-2.4,6.4,42.0,0.0
111,112,인천,2019-12-05 15:00,-2.6,5.7,39.0,0.0
112,112,인천,2019-12-05 16:00,-3.2,7.0,46.0,0.0
113,112,인천,2019-12-05 17:00,-4.0,6.8,50.0,1.0
114,112,인천,2019-12-05 18:00,-4.8,6.6,45.0,0.0
115,112,인천,2019-12-05 19:00,-5.8,5.3,49.0,0.0
116,112,인천,2019-12-05 20:00,-6.5,6.7,48.0,0.0
117,112,인천,2019-12-05 21:00,-7.3,6.2,45.0,0.0
118,112,인천,2019-12-05 22:00,-7.9,5.2,42.0,0.0
119,112,인천,2019-12-05 23:00,-8.1,5.5,40.0,0.0
120,112,인천,2019-12-06 0:00,-8.2,4.5,43.0,0.0
121,112,인천,2019-12-06 1:00,-8.4,4.1,42.0,0.0
122,112,인천,2019-12-06 2:00,-8.6,3.0,44.0,0.0
123,112,인천,2019-12-06 3:00,-8.5,3.8,44.0,0.0
124,112,인천,2019-12-06 4:00,-8.6,4.5,41.0,0.0
125,112,인천,2019-12-06 5:00,-8.8,4.0,40.0,0.0
126,112,인천,2019-12-06 6:00,-8.8,2.9,38.0,0.0
127,112,인천,2019-12-06 7:00,-8.7,4.0,37.0,0.0
128,112,인천,2019-12-06 8:00,-8.6,4.5,38.0,0.0
129,112,인천,2019-12-06 9:00,-7.3,1.3,36.0,0.0
130,112,인천,2019-12-06 10:00,-6.3,1.7,39.0,0.0
131,112,인천,2019-12-06 11:00,-5.0,2.6,43.0,0.0
132,112,인천,2019-12-06 12:00,-4.2,1.6,44.0,0.0
133,112,인천,2019-12-06 13:00,-3.3,2.6,37.0,0.0
134,112,인천,2019-12-06 14:00,-2.2,2.3,37.0,0.0
135,112,인천,2019-12-06 15:00,-1.9,2.0,37.0,0.0
136,112,인천,2019-12-06 16:00,-2.0,3.3,44.0,0.0
137,112,인천,2019-12-06 17:00,-2.6,3.1,49.0,0.0
138,112,인천,2019-12-06 18:00,-3.2,1.3,50.0,0.0
139,112,인천,2019-12-06 19:00,-3.4,1.6,47.0,0.0
140,112,인천,2019-12-06 20:00,-3.4,1.7,43.0,0.0
141,112,인천,2019-12-06 21:00,-3.3,1.4,45.0,0.0
142,112,인천,2019-12-06 22:00,-3.4,0.9,45.0,0.0
143,112,인천,2019-12-06 23:00,-3.9,1.2,47.0,0.0
144,112,인천,2019-12-07 0:00,-3.6,1.8,50.0,0.0
145,112,인천,2019-12-07 1:00,-3.9,2.0,54.0,0.0
146,112,인천,2019-12-07 2:00,-2.7,4.0,56.0,8.0
147,112,인천,2019-12-07 3:00,-2.2,4.0,58.0,8.0
148,112,인천,2019-12-07 4:00,-2.1,4.1,61.0,8.0
149,112,인천,2019-12-07 5:00,-2.1,3.8,63.0,7.0
150,112,인천,2019-12-07 6:00,-2.4,2.8,63.0,9.0
151,112,인천,2019-12-07 7:00,-2.1,2.5,64.0,9.0
152,112,인천,2019-12-07 8:00,-1.8,2.5,64.0,9.0
153,112,인천,2019-12-07 9:00,-0.9,2.8,60.0,9.0
154,112,인천,2019-12-07 10:00,-0.6,2.3,60.0,9.0
155,112,인천,2019-12-07 11:00,-0.1,1.8,60.0,9.0
156,112,인천,2019-12-07 12:00,-0.3,4.0,72.0,9.0
157,112,인천,2019-12-07 13:00,1.9,2.0,68.0,8.0
