,Location,place,Date,Temp,Wind,Humid,Cloud
0,244,임실,2019-12-01 0:00,6.3,0.1,65.0,2.0
1,244,임실,2019-12-01 1:00,6.1,0.4,66.0,10.0
2,244,임실,2019-12-01 2:00,5.1,0.4,81.0,10.0
3,244,임실,2019-12-01 3:00,5.0,0.6,77.0,10.0
4,244,임실,2019-12-01 4:00,5.1,0.5,76.0,10.0
5,244,임실,2019-12-01 5:00,5.0,0.2,77.0,10.0
6,244,임실,2019-12-01 6:00,5.0,0.0,74.0,10.0
7,244,임실,2019-12-01 7:00,4.8,0.5,79.0,3.0
8,244,임실,2019-12-01 8:00,4.9,0.0,81.0,10.0
9,244,임실,2019-12-01 9:00,5.4,0.1,78.0,10.0
10,244,임실,2019-12-01 10:00,5.1,0.2,81.0,10.0
11,244,임실,2019-12-01 11:00,5.1,0.3,85.0,10.0
12,244,임실,2019-12-01 12:00,5.1,0.7,93.0,10.0
13,244,임실,2019-12-01 13:00,5.1,0.8,96.0,9.0
14,244,임실,2019-12-01 14:00,4.9,1.0,95.0,9.0
15,244,임실,2019-12-01 15:00,5.0,1.0,96.0,10.0
16,244,임실,2019-12-01 16:00,5.0,1.6,96.0,10.0
17,244,임실,2019-12-01 17:00,5.3,1.0,96.0,10.0
18,244,임실,2019-12-01 18:00,5.3,1.7,95.0,10.0
19,244,임실,2019-12-01 19:00,5.3,1.5,95.0,9.0
20,244,임실,2019-12-01 20:00,5.0,0.9,95.0,8.0
21,244,임실,2019-12-01 21:00,4.9,1.3,93.0,10.0
22,244,임실,2019-12-01 22:00,4.9,0.4,95.0,10.0
23,244,임실,2019-12-01 23:00,4.4,0.6,95.0,8.0
24,244,임실,2019-12-02 0:00,4.8,2.0,96.0,0.0
25,244,임실,2019-12-02 1:00,4.8,1.7,95.0,10.0
26,244,임실,2019-12-02 2:00,4.9,1.7,95.0,10.0
27,244,임실,2019-12-02 3:00,3.7,2.1,81.0,10.0
28,244,임실,2019-12-02 4:00,3.2,1.6,77.0,10.0
29,244,임실,2019-12-02 5:00,3.2,1.0,78.0,10.0
30,244,임실,2019-12-02 6:00,3.1,1.0,77.0,1.0
31,244,임실,2019-12-02 7:00,3.0,0.4,78.0,9.0
32,244,임실,2019-12-02 8:00,2.7,1.1,81.0,9.0
33,244,임실,2019-12-02 9:00,3.3,0.8,78.0,10.0
34,244,임실,2019-12-02 10:00,3.7,1.8,70.0,6.0
35,244,임실,2019-12-02 11:00,3.9,2.3,64.0,8.0
36,244,임실,2019-12-02 12:00,4.7,2.8,58.0,7.0
37,244,임실,2019-12-02 13:00,5.1,3.0,56.0,9.0
38,244,임실,2019-12-02 14:00,4.9,2.9,52.0,8.0
39,244,임실,2019-12-02 15:00,4.8,2.3,54.0,7.0
40,244,임실,2019-12-02 16:00,3.6,2.1,61.0,7.0
41,244,임실,2019-12-02 17:00,2.6,2.5,69.0,2.0
42,244,임실,2019-12-02 18:00,2.1,1.8,73.0,5.0
43,244,임실,2019-12-02 19:00,1.5,1.2,73.0,7.0
44,244,임실,2019-12-02 20:00,1.6,1.1,70.0,6.0
45,244,임실,2019-12-02 21:00,1.2,1.3,71.0,8.0
46,244,임실,2019-12-02 22:00,0.9,1.2,68.0,8.0
47,244,임실,2019-12-02 23:00,0.6,1.5,68.0,8.0
48,244,임실,2019-12-03 0:00,0.2,0.6,68.0,0.0
49,244,임실,2019-12-03 1:00,0.0,0.8,72.0,9.0
50,244,임실,2019-12-03 2:00,-0.1,0.8,77.0,9.0
51,244,임실,2019-12-03 3:00,-0.1,0.5,83.0,9.0
52,244,임실,2019-12-03 4:00,-0.1,0.2,81.0,6.0
53,244,임실,2019-12-03 5:00,0.0,0.7,81.0,1.0
54,244,임실,2019-12-03 6:00,-0.5,0.7,83.0,0.0
55,244,임실,2019-12-03 7:00,-0.5,0.2,87.0,0.0
56,244,임실,2019-12-03 8:00,-0.3,0.7,86.0,9.0
57,244,임실,2019-12-03 9:00,0.5,0.1,81.0,8.0
58,244,임실,2019-12-03 10:00,2.3,0.8,68.0,5.0
59,244,임실,2019-12-03 11:00,4.7,0.9,56.0,8.0
60,244,임실,2019-12-03 12:00,4.7,1.3,62.0,8.0
61,244,임실,2019-12-03 13:00,5.0,1.1,62.0,8.0
62,244,임실,2019-12-03 14:00,5.9,1.3,61.0,9.0
63,244,임실,2019-12-03 15:00,6.4,2.8,56.0,7.0
64,244,임실,2019-12-03 16:00,5.5,3.5,59.0,8.0
65,244,임실,2019-12-03 17:00,4.1,1.0,77.0,8.0
66,244,임실,2019-12-03 18:00,4.0,1.4,72.0,0.0
67,244,임실,2019-12-03 19:00,3.3,0.4,78.0,5.0
68,244,임실,2019-12-03 20:00,2.4,1.3,84.0,1.0
69,244,임실,2019-12-03 21:00,0.6,0.8,91.0,0.0
70,244,임실,2019-12-03 22:00,-0.1,0.1,93.0,0.0
71,244,임실,2019-12-03 23:00,-1.1,0.2,96.0,0.0
72,244,임실,2019-12-04 0:00,-1.1,0.1,96.0,8.0
73,244,임실,2019-12-04 1:00,-1.2,0.2,97.0,5.0
