,Location,place,Date,Temp,Wind,Humid,Cloud
0,248,장수,2019-12-01 0:00,5.2,0.4,79.0,10.0
1,248,장수,2019-12-01 1:00,5.3,0.1,79.0,9.0
2,248,장수,2019-12-01 2:00,5.0,0.3,81.0,10.0
3,248,장수,2019-12-01 3:00,5.1,0.5,79.0,9.5
4,248,장수,2019-12-01 4:00,5.1,0.4,74.0,9.0
5,248,장수,2019-12-01 5:00,4.9,0.1,77.0,10.0
6,248,장수,2019-12-01 6:00,4.3,1.2,81.0,10.0
7,248,장수,2019-12-01 7:00,4.4,1.4,74.0,9.0
8,248,장수,2019-12-01 8:00,4.1,0.4,80.0,10.0
9,248,장수,2019-12-01 9:00,4.2,1.2,84.0,10.0
10,248,장수,2019-12-01 10:00,4.3,1.1,88.0,10.0
11,248,장수,2019-12-01 11:00,3.6,0.8,82.0,10.0
12,248,장수,2019-12-01 12:00,3.6,0.7,90.0,10.0
13,248,장수,2019-12-01 13:00,3.8,0.4,96.0,9.0
14,248,장수,2019-12-01 14:00,3.9,2.5,99.0,9.0
15,248,장수,2019-12-01 15:00,4.0,2.4,99.0,10.0
16,248,장수,2019-12-01 16:00,3.9,2.8,99.0,10.0
17,248,장수,2019-12-01 17:00,3.8,2.0,99.0,10.0
18,248,장수,2019-12-01 18:00,3.9,1.7,99.0,10.0
19,248,장수,2019-12-01 19:00,4.1,1.5,99.0,10.0
20,248,장수,2019-12-01 20:00,3.8,3.0,98.0,10.0
21,248,장수,2019-12-01 21:00,3.5,1.7,98.0,10.0
22,248,장수,2019-12-01 22:00,3.5,1.7,98.0,10.0
23,248,장수,2019-12-01 23:00,3.0,0.9,98.0,8.0
24,248,장수,2019-12-02 0:00,2.5,0.1,100.0,0.0
25,248,장수,2019-12-02 1:00,3.3,1.2,98.0,10.0
26,248,장수,2019-12-02 2:00,3.9,1.7,96.0,10.0
27,248,장수,2019-12-02 3:00,3.9,4.1,93.0,9.0
28,248,장수,2019-12-02 4:00,2.3,3.6,68.0,10.0
29,248,장수,2019-12-02 5:00,2.0,2.5,75.0,9.0
30,248,장수,2019-12-02 6:00,2.0,2.2,72.0,5.0
31,248,장수,2019-12-02 7:00,2.1,2.4,72.0,10.0
32,248,장수,2019-12-02 8:00,1.7,1.7,75.0,9.0
33,248,장수,2019-12-02 9:00,1.9,1.9,73.0,9.0
34,248,장수,2019-12-02 10:00,2.4,3.6,70.0,9.0
35,248,장수,2019-12-02 11:00,2.9,4.2,63.0,7.0
36,248,장수,2019-12-02 12:00,4.1,3.4,59.0,7.0
37,248,장수,2019-12-02 13:00,3.7,3.7,63.0,8.0
38,248,장수,2019-12-02 14:00,3.9,3.4,54.0,7.0
39,248,장수,2019-12-02 15:00,3.9,2.3,52.0,6.0
40,248,장수,2019-12-02 16:00,3.0,2.7,55.0,5.0
41,248,장수,2019-12-02 17:00,1.9,3.3,63.0,4.0
42,248,장수,2019-12-02 18:00,1.3,3.4,67.0,1.0
43,248,장수,2019-12-02 19:00,0.9,3.1,69.0,7.0
44,248,장수,2019-12-02 20:00,0.5,3.0,69.0,6.0
45,248,장수,2019-12-02 21:00,0.3,2.4,66.0,7.0
46,248,장수,2019-12-02 22:00,-0.1,2.5,66.0,8.0
47,248,장수,2019-12-02 23:00,-0.3,3.4,69.0,8.0
48,248,장수,2019-12-03 0:00,-0.8,2.0,71.0,0.0
49,248,장수,2019-12-03 1:00,-0.7,1.3,72.0,1.0
50,248,장수,2019-12-03 2:00,-0.6,1.6,78.0,10.0
51,248,장수,2019-12-03 3:00,-0.5,2.3,80.0,10.0
52,248,장수,2019-12-03 4:00,-0.8,2.2,83.0,9.0
53,248,장수,2019-12-03 5:00,-1.5,2.2,84.0,8.0
54,248,장수,2019-12-03 6:00,-2.4,0.9,86.0,0.0
55,248,장수,2019-12-03 7:00,-3.0,1.1,88.0,0.0
56,248,장수,2019-12-03 8:00,-3.0,0.2,93.0,8.0
57,248,장수,2019-12-03 9:00,-1.5,0.7,81.0,8.0
58,248,장수,2019-12-03 10:00,0.8,0.2,70.0,6.0
59,248,장수,2019-12-03 11:00,2.4,1.1,61.0,7.0
60,248,장수,2019-12-03 12:00,3.3,1.3,62.0,8.0
61,248,장수,2019-12-03 13:00,4.1,1.6,61.0,8.0
62,248,장수,2019-12-03 14:00,3.7,3.3,66.0,9.0
63,248,장수,2019-12-03 15:00,4.4,1.1,61.0,9.0
64,248,장수,2019-12-03 16:00,4.3,2.1,60.0,9.0
65,248,장수,2019-12-03 17:00,3.9,1.4,64.0,8.0
