,Location,place,Date,Temp,Wind,Humid,Cloud
0,260,장흥,2019-12-01 0:00,6.7,0.3,87.0,7.0
1,260,장흥,2019-12-01 1:00,6.6,0.8,91.0,10.0
2,260,장흥,2019-12-01 2:00,6.5,0.1,89.0,10.0
3,260,장흥,2019-12-01 3:00,6.5,0.3,92.0,5.0
4,260,장흥,2019-12-01 4:00,6.7,0.5,87.0,0.0
5,260,장흥,2019-12-01 5:00,7.6,0.9,65.0,0.0
6,260,장흥,2019-12-01 6:00,7.7,1.5,64.0,8.0
7,260,장흥,2019-12-01 7:00,7.4,1.5,68.0,10.0
8,260,장흥,2019-12-01 8:00,6.7,1.4,80.0,10.0
9,260,장흥,2019-12-01 9:00,6.6,1.0,88.0,10.0
10,260,장흥,2019-12-01 10:00,6.6,0.9,92.0,10.0
11,260,장흥,2019-12-01 11:00,6.8,0.3,94.0,10.0
12,260,장흥,2019-12-01 12:00,6.8,0.6,95.0,10.0
13,260,장흥,2019-12-01 13:00,7.1,0.6,96.0,10.0
14,260,장흥,2019-12-01 14:00,7.3,0.1,96.0,10.0
15,260,장흥,2019-12-01 15:00,7.6,1.2,96.0,10.0
16,260,장흥,2019-12-01 16:00,8.1,1.5,95.0,10.0
17,260,장흥,2019-12-01 17:00,7.8,3.1,93.0,10.0
18,260,장흥,2019-12-01 18:00,7.8,2.4,94.0,10.0
19,260,장흥,2019-12-01 19:00,7.6,2.8,92.0,8.0
20,260,장흥,2019-12-01 20:00,7.6,2.6,91.0,10.0
21,260,장흥,2019-12-01 21:00,7.4,2.0,92.0,10.0
22,260,장흥,2019-12-01 22:00,7.5,3.5,89.0,10.0
23,260,장흥,2019-12-01 23:00,7.6,3.1,84.0,2.0
24,260,장흥,2019-12-02 0:00,7.5,2.7,80.0,0.0
25,260,장흥,2019-12-02 1:00,7.1,0.7,82.0,9.0
26,260,장흥,2019-12-02 2:00,7.3,1.9,80.0,10.0
27,260,장흥,2019-12-02 3:00,7.0,4.8,84.0,10.0
28,260,장흥,2019-12-02 4:00,6.9,4.9,72.0,10.0
29,260,장흥,2019-12-02 5:00,6.5,3.7,71.0,9.0
30,260,장흥,2019-12-02 6:00,6.2,3.0,68.0,9.0
31,260,장흥,2019-12-02 7:00,6.0,1.8,61.0,2.0
32,260,장흥,2019-12-02 8:00,5.7,0.9,63.0,6.0
33,260,장흥,2019-12-02 9:00,6.8,2.7,59.0,5.0
34,260,장흥,2019-12-02 10:00,7.5,3.7,60.0,8.0
35,260,장흥,2019-12-02 11:00,7.1,3.9,62.0,9.0
36,260,장흥,2019-12-02 12:00,7.3,3.2,60.0,9.0
37,260,장흥,2019-12-02 13:00,7.3,5.1,59.0,8.0
38,260,장흥,2019-12-02 14:00,7.0,3.2,64.0,8.0
39,260,장흥,2019-12-02 15:00,6.6,5.1,60.0,9.0
40,260,장흥,2019-12-02 16:00,7.0,3.5,58.0,7.0
41,260,장흥,2019-12-02 17:00,5.2,5.3,69.0,8.0
42,260,장흥,2019-12-02 18:00,4.5,2.7,71.0,0.0
43,260,장흥,2019-12-02 19:00,4.3,2.7,64.0,3.0
44,260,장흥,2019-12-02 20:00,4.6,3.1,64.0,0.0
45,260,장흥,2019-12-02 21:00,4.5,4.3,61.0,3.0
46,260,장흥,2019-12-02 22:00,3.9,3.2,62.0,1.0
47,260,장흥,2019-12-02 23:00,4.2,3.3,56.0,8.0
48,260,장흥,2019-12-03 0:00,4.1,3.3,57.0,1.0
49,260,장흥,2019-12-03 1:00,3.5,3.1,59.0,0.0
50,260,장흥,2019-12-03 2:00,2.9,0.8,67.0,0.0
51,260,장흥,2019-12-03 3:00,3.1,3.0,76.0,6.0
52,260,장흥,2019-12-03 4:00,2.5,1.0,80.0,1.0
53,260,장흥,2019-12-03 5:00,1.3,0.7,89.0,4.0
54,260,장흥,2019-12-03 6:00,1.9,0.5,89.0,0.0
55,260,장흥,2019-12-03 7:00,2.4,0.4,88.0,6.0
56,260,장흥,2019-12-03 8:00,3.3,1.5,84.0,8.0
57,260,장흥,2019-12-03 9:00,3.8,0.7,84.0,9.0
58,260,장흥,2019-12-03 10:00,5.0,0.6,73.0,7.0
59,260,장흥,2019-12-03 11:00,6.8,0.9,63.0,7.0
60,260,장흥,2019-12-03 12:00,7.6,1.8,58.0,7.0
61,260,장흥,2019-12-03 13:00,7.8,2.3,50.0,8.0
62,260,장흥,2019-12-03 14:00,7.6,2.3,52.0,9.0
63,260,장흥,2019-12-03 15:00,7.4,2.1,56.0,9.0
64,260,장흥,2019-12-03 16:00,6.9,2.5,58.0,9.0
65,260,장흥,2019-12-03 17:00,7.0,1.7,57.0,7.0
66,260,장흥,2019-12-03 18:00,6.3,1.5,59.0,0.0
67,260,장흥,2019-12-03 19:00,4.7,0.7,66.0,0.0
68,260,장흥,2019-12-03 20:00,1.6,0.0,82.0,0.0
69,260,장흥,2019-12-03 21:00,0.4,0.1,91.0,0.0
70,260,장흥,2019-12-03 22:00,-0.7,0.0,94.0,0.0
71,260,장흥,2019-12-03 23:00,-1.2,0.2,95.0,0.0
72,260,장흥,2019-12-04 0:00,-1.7,0.0,96.0,0.0
73,260,장흥,2019-12-04 1:00,-1.9,0.0,96.0,0.0
74,260,장흥,2019-12-04 2:00,-2.3,0.0,97.0,0.0
75,260,장흥,2019-12-04 3:00,-2.5,0.0,96.0,0.0
76,260,장흥,2019-12-04 4:00,-2.7,0.0,96.0,0.0
77,260,장흥,2019-12-04 5:00,-2.5,0.0,96.0,1.0
78,260,장흥,2019-12-04 6:00,-2.9,0.1,96.0,3.0
79,260,장흥,2019-12-04 7:00,-2.3,0.1,96.0,0.0
80,260,장흥,2019-12-04 8:00,-1.2,0.0,97.0,6.0
81,260,장흥,2019-12-04 9:00,0.0,0.1,96.0,9.0
82,260,장흥,2019-12-04 10:00,2.2,0.1,92.0,7.0
83,260,장흥,2019-12-04 11:00,7.0,0.7,70.0,3.0
84,260,장흥,2019-12-04 12:00,10.9,0.7,47.0,4.0
85,260,장흥,2019-12-04 13:00,11.4,2.3,43.0,1.0
86,260,장흥,2019-12-04 14:00,11.3,2.7,44.0,1.0
87,260,장흥,2019-12-04 15:00,11.4,3.1,39.0,4.0
88,260,장흥,2019-12-04 16:00,11.2,1.9,33.0,5.0
89,260,장흥,2019-12-04 17:00,9.2,1.8,39.0,1.0
90,260,장흥,2019-12-04 18:00,7.6,1.6,50.0,0.0
91,260,장흥,2019-12-04 19:00,4.1,0.1,69.0,1.0
92,260,장흥,2019-12-04 20:00,2.3,0.8,78.0,0.0
93,260,장흥,2019-12-04 21:00,1.4,0.0,84.0,0.0
94,260,장흥,2019-12-04 22:00,1.0,0.4,86.0,0.0
95,260,장흥,2019-12-04 23:00,0.1,0.6,93.0,0.0
96,260,장흥,2019-12-05 0:00,-0.8,0.2,94.0,6.0
97,260,장흥,2019-12-05 1:00,-1.4,0.1,95.0,0.0
98,260,장흥,2019-12-05 2:00,-1.6,0.0,96.0,0.0
99,260,장흥,2019-12-05 3:00,-2.1,0.3,97.0,0.0
100,260,장흥,2019-12-05 4:00,-2.1,0.0,96.0,0.0
101,260,장흥,2019-12-05 5:00,-2.0,0.2,97.0,0.0
102,260,장흥,2019-12-05 6:00,-1.8,0.5,97.0,0.0
103,260,장흥,2019-12-05 7:00,-2.1,0.0,97.0,0.0
104,260,장흥,2019-12-05 8:00,-1.7,0.2,97.0,0.0
105,260,장흥,2019-12-05 9:00,0.5,0.0,95.0,0.0
106,260,장흥,2019-12-05 10:00,5.5,1.1,63.0,1.0
107,260,장흥,2019-12-05 11:00,6.2,3.2,44.0,0.0
108,260,장흥,2019-12-05 12:00,6.0,3.5,37.0,1.0
109,260,장흥,2019-12-05 13:00,6.1,4.2,35.0,0.0
110,260,장흥,2019-12-05 14:00,6.0,3.9,32.0,1.0
111,260,장흥,2019-12-05 15:00,6.2,3.7,37.0,0.0
112,260,장흥,2019-12-05 16:00,5.2,3.8,43.0,4.0
113,260,장흥,2019-12-05 17:00,3.7,4.5,50.0,6.0
114,260,장흥,2019-12-05 18:00,2.5,3.6,58.0,9.0
115,260,장흥,2019-12-05 19:00,1.6,3.1,68.0,10.0
116,260,장흥,2019-12-05 20:00,1.5,3.7,70.0,1.0
117,260,장흥,2019-12-05 21:00,1.3,4.0,69.0,1.0
118,260,장흥,2019-12-05 22:00,0.7,2.9,62.0,9.0
119,260,장흥,2019-12-05 23:00,0.7,3.8,58.0,9.0
120,260,장흥,2019-12-06 0:00,-0.4,3.1,59.0,0.0
121,260,장흥,2019-12-06 1:00,-1.2,3.2,63.0,0.0
122,260,장흥,2019-12-06 2:00,-2.1,1.1,60.0,6.0
123,260,장흥,2019-12-06 3:00,-2.5,3.5,57.0,8.0
124,260,장흥,2019-12-06 4:00,-3.0,0.9,56.0,1.0
125,260,장흥,2019-12-06 5:00,-3.3,3.0,57.0,9.0
126,260,장흥,2019-12-06 6:00,-3.4,3.2,54.0,7.0
127,260,장흥,2019-12-06 7:00,-3.1,1.4,49.0,9.0
128,260,장흥,2019-12-06 8:00,-2.4,1.4,35.0,10.0
129,260,장흥,2019-12-06 9:00,-2.5,3.1,40.0,7.0
130,260,장흥,2019-12-06 10:00,-1.6,4.0,35.0,7.0
131,260,장흥,2019-12-06 11:00,-0.1,3.3,32.0,6.0
132,260,장흥,2019-12-06 12:00,1.1,3.0,33.0,9.0
133,260,장흥,2019-12-06 13:00,2.1,3.5,26.0,5.0
134,260,장흥,2019-12-06 14:00,2.7,3.0,25.0,6.0
135,260,장흥,2019-12-06 15:00,3.1,3.2,24.0,0.0
136,260,장흥,2019-12-06 16:00,2.4,3.3,24.0,5.0
137,260,장흥,2019-12-06 17:00,1.6,2.7,29.0,5.0
138,260,장흥,2019-12-06 18:00,0.4,3.0,35.0,4.0
139,260,장흥,2019-12-06 19:00,-0.1,1.8,43.0,0.0
140,260,장흥,2019-12-06 20:00,-1.0,2.0,46.0,0.0
141,260,장흥,2019-12-06 21:00,-2.5,0.5,54.0,0.0
142,260,장흥,2019-12-06 22:00,-2.4,1.6,54.0,0.0
143,260,장흥,2019-12-06 23:00,-4.2,0.7,69.0,0.0
144,260,장흥,2019-12-07 0:00,-5.5,0.5,76.0,0.0
145,260,장흥,2019-12-07 1:00,-6.1,0.5,78.0,0.0
146,260,장흥,2019-12-07 2:00,-5.1,0.5,71.0,0.0
147,260,장흥,2019-12-07 3:00,-3.1,0.8,48.0,0.0
148,260,장흥,2019-12-07 4:00,-1.8,1.1,38.0,0.0
