,Location,place,Date,Temp,Wind,Humid,Cloud
0,146,전주,2019-12-01 0:00,7.4,0.6,54.0,10.0
1,146,전주,2019-12-01 1:00,7.0,0.7,58.0,10.0
2,146,전주,2019-12-01 2:00,6.9,0.5,59.0,9.0
3,146,전주,2019-12-01 3:00,6.9,0.7,59.0,10.0
4,146,전주,2019-12-01 4:00,6.6,0.1,61.0,10.0
5,146,전주,2019-12-01 5:00,6.6,0.4,60.0,10.0
6,146,전주,2019-12-01 6:00,6.1,1.3,65.0,10.0
7,146,전주,2019-12-01 7:00,6.6,0.7,60.0,10.0
8,146,전주,2019-12-01 8:00,6.6,1.0,65.0,10.0
9,146,전주,2019-12-01 9:00,7.1,0.8,66.0,10.0
10,146,전주,2019-12-01 10:00,7.2,0.2,76.0,10.0
11,146,전주,2019-12-01 11:00,6.7,0.1,78.0,10.0
12,146,전주,2019-12-01 12:00,6.7,0.7,83.0,10.0
13,146,전주,2019-12-01 13:00,6.4,0.6,89.0,10.0
14,146,전주,2019-12-01 14:00,6.1,1.1,90.0,10.0
15,146,전주,2019-12-01 15:00,5.8,0.4,93.0,10.0
16,146,전주,2019-12-01 16:00,5.8,1.3,94.0,10.0
17,146,전주,2019-12-01 17:00,5.8,0.3,94.0,10.0
18,146,전주,2019-12-01 18:00,6.0,2.0,94.0,10.0
19,146,전주,2019-12-01 19:00,6.0,0.5,93.0,10.0
20,146,전주,2019-12-01 20:00,6.0,0.9,94.0,10.0
21,146,전주,2019-12-01 21:00,5.9,0.6,95.0,10.0
22,146,전주,2019-12-01 22:00,5.6,0.9,94.0,10.0
23,146,전주,2019-12-01 23:00,5.5,1.8,95.0,8.0
24,146,전주,2019-12-02 0:00,5.5,1.4,94.0,10.0
25,146,전주,2019-12-02 1:00,5.6,1.6,94.0,10.0
26,146,전주,2019-12-02 2:00,5.1,4.1,89.0,10.0
27,146,전주,2019-12-02 3:00,4.7,2.4,78.0,10.0
28,146,전주,2019-12-02 4:00,4.4,1.2,78.0,10.0
29,146,전주,2019-12-02 5:00,4.4,1.2,74.0,9.0
30,146,전주,2019-12-02 6:00,4.5,0.7,70.0,9.0
31,146,전주,2019-12-02 7:00,4.4,1.5,67.0,6.0
32,146,전주,2019-12-02 8:00,3.9,0.9,72.0,6.0
33,146,전주,2019-12-02 9:00,4.3,2.7,69.0,7.0
34,146,전주,2019-12-02 10:00,5.4,4.7,59.0,3.0
35,146,전주,2019-12-02 11:00,6.4,3.9,52.0,4.0
36,146,전주,2019-12-02 12:00,7.4,3.7,50.0,4.0
37,146,전주,2019-12-02 13:00,6.2,5.5,48.0,5.0
38,146,전주,2019-12-02 14:00,6.4,4.1,43.0,5.0
39,146,전주,2019-12-02 15:00,6.4,4.0,45.0,4.0
40,146,전주,2019-12-02 16:00,5.1,3.7,57.0,3.0
41,146,전주,2019-12-02 17:00,4.2,3.9,61.0,4.0
42,146,전주,2019-12-02 18:00,3.3,4.1,61.0,3.0
43,146,전주,2019-12-02 19:00,2.7,3.0,64.0,3.0
44,146,전주,2019-12-02 20:00,2.6,4.1,64.0,8.0
45,146,전주,2019-12-02 21:00,2.5,3.1,59.0,8.0
46,146,전주,2019-12-02 22:00,2.2,3.3,57.0,9.0
47,146,전주,2019-12-02 23:00,1.8,2.1,56.0,8.0
48,146,전주,2019-12-03 0:00,1.5,0.9,56.0,6.0
49,146,전주,2019-12-03 1:00,1.8,0.2,55.0,10.0
50,146,전주,2019-12-03 2:00,1.6,1.7,66.0,10.0
51,146,전주,2019-12-03 3:00,0.9,1.4,73.0,9.0
52,146,전주,2019-12-03 4:00,0.7,1.2,76.0,3.0
53,146,전주,2019-12-03 5:00,0.4,1.0,75.0,3.0
54,146,전주,2019-12-03 6:00,0.3,0.6,76.0,7.0
55,146,전주,2019-12-03 7:00,-0.1,0.9,80.0,3.0
56,146,전주,2019-12-03 8:00,0.9,0.6,76.0,7.0
57,146,전주,2019-12-03 9:00,2.2,1.5,65.0,8.0
58,146,전주,2019-12-03 10:00,4.5,1.1,53.0,6.0
59,146,전주,2019-12-03 11:00,5.2,0.7,51.0,8.0
60,146,전주,2019-12-03 12:00,6.5,1.0,50.0,6.0
61,146,전주,2019-12-03 13:00,6.8,2.6,56.0,3.0
62,146,전주,2019-12-03 14:00,7.8,3.2,56.0,5.0
63,146,전주,2019-12-03 15:00,7.7,3.0,56.0,7.0
64,146,전주,2019-12-03 16:00,7.2,3.8,57.0,8.0
65,146,전주,2019-12-03 17:00,7.0,3.0,58.0,8.0
66,146,전주,2019-12-03 18:00,6.6,3.1,59.0,8.0
67,146,전주,2019-12-03 19:00,6.6,2.6,57.0,8.0
68,146,전주,2019-12-03 20:00,6.2,3.0,57.0,4.0
69,146,전주,2019-12-03 21:00,5.9,2.6,56.0,0.0
70,146,전주,2019-12-03 22:00,5.5,2.1,56.0,4.0
71,146,전주,2019-12-03 23:00,4.6,1.8,63.0,1.0
72,146,전주,2019-12-04 0:00,4.1,1.6,67.0,4.0
73,146,전주,2019-12-04 1:00,3.2,1.7,72.0,0.0
74,146,전주,2019-12-04 2:00,3.2,1.8,72.0,0.0
75,146,전주,2019-12-04 3:00,3.4,1.6,70.0,8.0
76,146,전주,2019-12-04 4:00,3.8,1.7,68.0,4.0
77,146,전주,2019-12-04 5:00,3.5,1.2,70.0,5.0
78,146,전주,2019-12-04 6:00,3.1,1.7,72.0,9.0
79,146,전주,2019-12-04 7:00,2.9,1.0,74.0,5.0
80,146,전주,2019-12-04 8:00,2.8,1.1,76.0,0.0
81,146,전주,2019-12-04 9:00,4.7,0.7,70.0,0.0
82,146,전주,2019-12-04 10:00,6.5,1.0,54.0,0.0
83,146,전주,2019-12-04 11:00,7.9,1.3,41.0,0.0
84,146,전주,2019-12-04 12:00,8.6,2.4,36.0,0.0
