,Location,place,Date,Temp,Wind,Humid,Cloud
0,217,정선군,2019-12-01 0:00,0.5,0.9,93.0,7.0
1,217,정선군,2019-12-01 1:00,0.4,0.7,91.0,9.0
2,217,정선군,2019-12-01 2:00,0.6,0.1,91.0,9.0
3,217,정선군,2019-12-01 3:00,0.8,0.2,89.0,9.0
4,217,정선군,2019-12-01 4:00,0.6,0.5,89.0,9.0
5,217,정선군,2019-12-01 5:00,0.5,0.6,93.0,9.0
6,217,정선군,2019-12-01 6:00,0.4,1.4,93.0,8.0
7,217,정선군,2019-12-01 7:00,0.2,0.0,93.0,10.0
8,217,정선군,2019-12-01 8:00,0.9,0.1,91.0,10.0
9,217,정선군,2019-12-01 9:00,1.9,0.3,89.0,10.0
10,217,정선군,2019-12-01 10:00,4.8,1.9,71.0,8.0
11,217,정선군,2019-12-01 11:00,5.7,2.5,69.0,9.0
12,217,정선군,2019-12-01 12:00,6.5,1.9,73.0,9.0
13,217,정선군,2019-12-01 13:00,6.5,2.3,74.0,10.0
14,217,정선군,2019-12-01 14:00,6.6,1.4,75.0,9.0
15,217,정선군,2019-12-01 15:00,6.6,1.4,80.0,10.0
16,217,정선군,2019-12-01 16:00,5.7,2.2,85.0,10.0
17,217,정선군,2019-12-01 17:00,5.0,2.1,92.0,10.0
18,217,정선군,2019-12-01 18:00,4.3,1.2,100.0,10.0
19,217,정선군,2019-12-01 19:00,4.1,1.3,100.0,10.0
20,217,정선군,2019-12-01 20:00,4.1,1.6,100.0,10.0
21,217,정선군,2019-12-01 21:00,4.0,1.9,100.0,10.0
22,217,정선군,2019-12-01 22:00,3.9,2.0,99.0,10.0
23,217,정선군,2019-12-01 23:00,3.6,4.0,97.0,10.0
24,217,정선군,2019-12-02 0:00,3.4,3.0,99.0,10.0
25,217,정선군,2019-12-02 1:00,3.4,2.1,99.0,10.0
26,217,정선군,2019-12-02 2:00,4.3,2.9,90.0,9.0
27,217,정선군,2019-12-02 3:00,4.3,3.8,82.0,10.0
28,217,정선군,2019-12-02 4:00,3.7,6.1,64.0,10.0
29,217,정선군,2019-12-02 5:00,2.6,4.6,60.0,10.0
30,217,정선군,2019-12-02 6:00,1.5,4.1,63.0,7.0
31,217,정선군,2019-12-02 7:00,0.6,4.7,67.0,0.0
32,217,정선군,2019-12-02 8:00,0.0,3.5,70.0,0.0
33,217,정선군,2019-12-02 9:00,0.2,2.4,71.0,2.0
34,217,정선군,2019-12-02 10:00,1.4,2.1,60.0,0.0
35,217,정선군,2019-12-02 11:00,1.9,7.7,45.0,0.0
36,217,정선군,2019-12-02 12:00,2.0,8.9,45.0,0.0
37,217,정선군,2019-12-02 13:00,2.7,8.1,46.0,0.0
38,217,정선군,2019-12-02 14:00,2.8,8.8,41.0,0.0
39,217,정선군,2019-12-02 15:00,2.5,9.0,38.0,0.0
40,217,정선군,2019-12-02 16:00,2.1,5.9,37.0,0.0
41,217,정선군,2019-12-02 17:00,1.5,6.7,40.0,0.0
42,217,정선군,2019-12-02 18:00,0.7,5.1,47.0,0.0
43,217,정선군,2019-12-02 19:00,0.0,5.4,52.0,0.0
44,217,정선군,2019-12-02 20:00,-0.6,8.4,52.0,0.0
45,217,정선군,2019-12-02 21:00,-1.4,8.3,52.0,0.0
46,217,정선군,2019-12-02 22:00,-1.8,1.3,51.0,0.0
47,217,정선군,2019-12-02 23:00,-1.9,4.6,53.0,0.0
48,217,정선군,2019-12-03 0:00,-2.2,2.4,56.0,0.0
49,217,정선군,2019-12-03 1:00,-2.4,2.2,59.0,0.0
50,217,정선군,2019-12-03 2:00,-3.0,1.6,63.0,0.0
51,217,정선군,2019-12-03 3:00,-3.2,1.5,62.0,0.0
52,217,정선군,2019-12-03 4:00,-3.4,2.1,57.0,0.0
53,217,정선군,2019-12-03 5:00,-5.0,0.8,68.0,0.0
54,217,정선군,2019-12-03 6:00,-5.3,0.9,66.0,0.0
55,217,정선군,2019-12-03 7:00,-6.3,0.5,74.0,0.0
56,217,정선군,2019-12-03 8:00,-5.2,0.8,70.0,0.0
57,217,정선군,2019-12-03 9:00,-3.2,2.0,61.0,4.0
58,217,정선군,2019-12-03 10:00,-1.1,1.3,53.0,8.0
59,217,정선군,2019-12-03 11:00,-0.5,2.7,55.0,8.5
60,217,정선군,2019-12-03 12:00,-0.1,3.5,62.0,9.0
61,217,정선군,2019-12-03 13:00,0.4,2.1,66.0,10.0
62,217,정선군,2019-12-03 14:00,1.4,2.0,66.0,10.0
63,217,정선군,2019-12-03 15:00,1.7,2.3,73.0,9.0
64,217,정선군,2019-12-03 16:00,1.2,1.9,78.0,2.0
65,217,정선군,2019-12-03 17:00,0.8,1.4,78.0,5.0
66,217,정선군,2019-12-03 18:00,-0.4,0.8,84.0,0.0
67,217,정선군,2019-12-03 19:00,-0.5,0.9,86.0,5.0
68,217,정선군,2019-12-03 20:00,0.8,0.8,74.0,5.0
69,217,정선군,2019-12-03 21:00,1.3,1.0,69.0,4.0
