,Location,place,Date,Temp,Wind,Humid,Cloud
0,245,정읍,2020-10-23 0:00,,,,
1,245,정읍,2019-12-01 1:00,6.3,0.0,61.0,10.0
2,245,정읍,2019-12-01 2:00,6.0,0.0,66.0,9.0
3,245,정읍,2019-12-01 3:00,6.3,0.0,63.0,9.0
4,245,정읍,2019-12-01 4:00,5.8,0.0,69.0,9.0
5,245,정읍,2019-12-01 5:00,5.5,0.0,72.0,9.0
6,245,정읍,2019-12-01 6:00,5.7,0.5,73.0,8.0
7,245,정읍,2019-12-01 7:00,5.1,0.0,81.0,7.0
8,245,정읍,2019-12-01 8:00,5.0,0.0,88.0,7.0
9,245,정읍,2019-12-01 9:00,5.9,0.0,81.0,10.0
10,245,정읍,2019-12-01 10:00,6.0,0.6,86.0,10.0
11,245,정읍,2019-12-01 11:00,5.8,1.8,78.0,10.0
12,245,정읍,2019-12-01 12:00,5.7,1.3,82.0,10.0
13,245,정읍,2019-12-01 13:00,5.3,1.1,93.0,10.0
14,245,정읍,2019-12-01 14:00,5.0,0.9,94.0,10.0
15,245,정읍,2019-12-01 15:00,5.1,1.6,94.0,10.0
16,245,정읍,2019-12-01 16:00,5.1,1.8,94.0,10.0
17,245,정읍,2019-12-01 17:00,5.2,0.8,95.0,10.0
18,245,정읍,2019-12-01 18:00,5.3,0.5,96.0,10.0
19,245,정읍,2019-12-01 19:00,5.5,1.5,95.0,10.0
20,245,정읍,2019-12-01 20:00,5.7,1.1,95.0,10.0
21,245,정읍,2019-12-01 21:00,5.6,0.5,96.0,10.0
22,245,정읍,2019-12-01 22:00,5.4,1.8,96.0,10.0
23,245,정읍,2019-12-01 23:00,5.2,1.2,95.0,1.0
24,245,정읍,2019-12-02 0:00,5.1,1.4,95.0,2.0
25,245,정읍,2019-12-02 1:00,5.2,0.4,94.0,10.0
26,245,정읍,2019-12-02 2:00,5.3,4.8,81.0,10.0
27,245,정읍,2019-12-02 3:00,4.6,1.3,76.0,10.0
28,245,정읍,2019-12-02 4:00,4.2,0.0,75.0,10.0
29,245,정읍,2019-12-02 5:00,4.1,1.8,71.0,1.0
30,245,정읍,2019-12-02 6:00,4.2,1.2,73.0,0.0
31,245,정읍,2019-12-02 7:00,3.9,0.4,77.0,9.0
32,245,정읍,2019-12-02 8:00,3.5,0.0,84.0,9.0
33,245,정읍,2019-12-02 9:00,5.0,3.5,69.0,10.0
34,245,정읍,2019-12-02 10:00,5.7,4.2,59.0,8.0
35,245,정읍,2019-12-02 11:00,4.5,2.4,70.0,9.0
36,245,정읍,2019-12-02 12:00,5.2,0.9,69.0,8.0
37,245,정읍,2019-12-02 13:00,6.0,5.0,54.0,7.0
38,245,정읍,2019-12-02 14:00,5.6,4.6,54.0,8.0
39,245,정읍,2019-12-02 15:00,5.6,3.2,57.0,7.0
40,245,정읍,2019-12-02 16:00,4.8,3.9,62.0,6.0
41,245,정읍,2019-12-02 17:00,4.2,3.5,67.0,9.0
42,245,정읍,2019-12-02 18:00,2.2,3.7,86.0,1.0
43,245,정읍,2019-12-02 19:00,1.8,1.4,86.0,0.0
44,245,정읍,2019-12-02 20:00,2.0,1.2,81.0,8.0
45,245,정읍,2019-12-02 21:00,2.2,1.9,77.0,8.0
46,245,정읍,2019-12-02 22:00,1.9,2.5,75.0,8.0
47,245,정읍,2019-12-02 23:00,1.6,0.7,72.0,8.0
48,245,정읍,2019-12-03 0:00,1.5,0.4,75.0,8.0
49,245,정읍,2019-12-03 1:00,0.2,0.0,90.0,5.0
50,245,정읍,2019-12-03 2:00,0.1,0.0,93.0,10.0
51,245,정읍,2019-12-03 3:00,0.2,0.0,94.0,10.0
52,245,정읍,2019-12-03 4:00,0.4,0.0,94.0,10.0
53,245,정읍,2019-12-03 5:00,0.4,0.0,94.0,3.0
54,245,정읍,2019-12-03 6:00,0.2,1.7,94.0,9.0
55,245,정읍,2019-12-03 7:00,0.4,0.0,93.0,8.0
56,245,정읍,2019-12-03 8:00,0.5,0.0,92.0,7.0
57,245,정읍,2019-12-03 9:00,1.3,0.0,88.0,7.0
58,245,정읍,2019-12-03 10:00,4.2,0.2,70.0,6.0
59,245,정읍,2019-12-03 11:00,4.9,0.2,61.0,6.5
60,245,정읍,2019-12-03 12:00,5.8,1.6,61.0,7.0
61,245,정읍,2019-12-03 13:00,6.6,0.6,60.0,7.0
62,245,정읍,2019-12-03 14:00,8.0,3.4,54.0,6.0
63,245,정읍,2019-12-03 15:00,6.8,3.7,58.0,8.0
64,245,정읍,2019-12-03 16:00,6.8,2.9,59.0,8.0
65,245,정읍,2019-12-03 17:00,6.2,0.3,62.0,7.0
66,245,정읍,2019-12-03 18:00,5.0,0.1,63.0,5.0
67,245,정읍,2019-12-03 19:00,4.7,0.0,62.0,0.0
68,245,정읍,2019-12-03 20:00,3.4,0.0,67.0,0.0
69,245,정읍,2019-12-03 21:00,2.9,0.0,70.0,0.0
70,245,정읍,2019-12-03 22:00,3.0,0.6,67.0,0.0
71,245,정읍,2019-12-03 23:00,1.8,0.0,74.0,0.0
72,245,정읍,2019-12-04 0:00,1.9,0.0,75.0,2.0
73,245,정읍,2019-12-04 1:00,3.5,0.5,69.0,0.0
74,245,정읍,2019-12-04 2:00,3.4,0.0,70.0,0.0
75,245,정읍,2019-12-04 3:00,3.5,0.0,69.0,0.0
76,245,정읍,2019-12-04 4:00,3.2,0.0,74.0,0.0
77,245,정읍,2019-12-04 5:00,3.2,0.0,72.0,4.0
78,245,정읍,2019-12-04 6:00,3.1,0.0,72.0,0.0
79,245,정읍,2019-12-04 7:00,3.0,2.1,75.0,0.0
80,245,정읍,2019-12-04 8:00,2.6,0.0,75.0,2.0
81,245,정읍,2019-12-04 9:00,3.4,0.0,78.0,7.0
82,245,정읍,2019-12-04 10:00,6.6,1.7,56.0,5.0
83,245,정읍,2019-12-04 11:00,7.6,0.6,47.0,2.0
84,245,정읍,2019-12-04 12:00,7.8,1.6,47.0,0.0
85,245,정읍,2019-12-04 13:00,9.0,1.5,49.0,5.0
86,245,정읍,2019-12-04 14:00,8.9,1.2,50.0,6.0
87,245,정읍,2019-12-04 15:00,9.2,1.5,48.0,4.0
88,245,정읍,2019-12-04 16:00,8.7,1.5,50.0,4.0
89,245,정읍,2019-12-04 17:00,7.4,0.9,54.0,6.0
90,245,정읍,2019-12-04 18:00,6.4,0.2,58.0,2.0
91,245,정읍,2019-12-04 19:00,4.8,1.1,65.0,0.0
92,245,정읍,2019-12-04 20:00,4.0,0.3,69.0,0.0
93,245,정읍,2019-12-04 21:00,3.0,0.0,77.0,7.0
94,245,정읍,2019-12-04 22:00,3.3,0.8,74.0,0.0
95,245,정읍,2019-12-04 23:00,2.3,0.0,79.0,7.0
96,245,정읍,2019-12-05 0:00,2.5,0.0,79.0,2.0
97,245,정읍,2019-12-05 1:00,3.9,1.5,75.0,9.0
98,245,정읍,2019-12-05 2:00,3.9,0.4,75.0,0.0
99,245,정읍,2019-12-05 3:00,3.3,1.2,79.0,0.0
100,245,정읍,2019-12-05 4:00,2.5,1.4,76.0,8.0
101,245,정읍,2019-12-05 5:00,2.0,1.1,73.0,0.0
102,245,정읍,2019-12-05 6:00,1.4,1.1,59.0,2.0
103,245,정읍,2019-12-05 7:00,0.4,1.8,66.0,0.0
104,245,정읍,2019-12-05 8:00,-0.3,1.9,62.0,0.0
