,Location,place,Date,Temp,Wind,Humid,Cloud
0,184,제주,2019-12-01 0:00,12.5,0.9,81.0,10.0
1,184,제주,2019-12-01 1:00,12.5,0.4,82.0,10.0
2,184,제주,2019-12-01 2:00,12.5,0.5,83.0,10.0
3,184,제주,2019-12-01 3:00,12.6,1.3,79.0,10.0
4,184,제주,2019-12-01 4:00,12.2,2.6,80.0,10.0
5,184,제주,2019-12-01 5:00,12.2,2.2,79.0,10.0
6,184,제주,2019-12-01 6:00,12.0,1.2,82.0,10.0
7,184,제주,2019-12-01 7:00,11.6,1.2,88.0,10.0
8,184,제주,2019-12-01 8:00,11.5,1.7,88.0,10.0
9,184,제주,2019-12-01 9:00,11.7,2.2,90.0,10.0
10,184,제주,2019-12-01 10:00,11.8,1.5,91.0,10.0
11,184,제주,2019-12-01 11:00,11.9,2.9,91.0,10.0
12,184,제주,2019-12-01 12:00,12.1,3.1,91.0,10.0
13,184,제주,2019-12-01 13:00,12.6,2.2,94.0,10.0
14,184,제주,2019-12-01 14:00,12.9,2.1,95.0,10.0
15,184,제주,2019-12-01 15:00,13.2,2.9,95.0,10.0
16,184,제주,2019-12-01 16:00,13.7,2.9,96.0,10.0
17,184,제주,2019-12-01 17:00,14.2,3.1,97.0,10.0
18,184,제주,2019-12-01 18:00,15.1,1.7,94.0,10.0
19,184,제주,2019-12-01 19:00,12.2,9.6,95.0,10.0
20,184,제주,2019-12-01 20:00,11.7,9.1,93.0,10.0
21,184,제주,2019-12-01 21:00,12.0,2.1,91.0,10.0
22,184,제주,2019-12-01 22:00,11.3,4.2,87.0,10.0
23,184,제주,2019-12-01 23:00,11.3,4.9,78.0,10.0
24,184,제주,2019-12-02 0:00,11.1,2.9,74.0,9.0
25,184,제주,2019-12-02 1:00,11.1,4.0,73.0,10.0
26,184,제주,2019-12-02 2:00,11.4,4.4,78.0,10.0
27,184,제주,2019-12-02 3:00,11.6,4.8,74.0,9.0
28,184,제주,2019-12-02 4:00,11.6,5.4,75.0,10.0
29,184,제주,2019-12-02 5:00,11.0,7.6,72.0,10.0
30,184,제주,2019-12-02 6:00,10.6,5.9,68.0,10.0
31,184,제주,2019-12-02 7:00,10.2,4.9,65.0,10.0
32,184,제주,2019-12-02 8:00,10.1,4.1,62.0,10.0
33,184,제주,2019-12-02 9:00,10.1,4.3,64.0,10.0
34,184,제주,2019-12-02 10:00,9.9,4.9,69.0,10.0
35,184,제주,2019-12-02 11:00,10.7,6.3,61.0,9.0
36,184,제주,2019-12-02 12:00,11.2,5.7,57.0,8.0
37,184,제주,2019-12-02 13:00,10.3,7.9,67.0,8.0
38,184,제주,2019-12-02 14:00,10.7,6.8,54.0,5.0
39,184,제주,2019-12-02 15:00,10.0,6.7,51.0,9.0
40,184,제주,2019-12-02 16:00,9.5,6.8,58.0,10.0
41,184,제주,2019-12-02 17:00,9.4,8.5,60.0,10.0
42,184,제주,2019-12-02 18:00,9.2,6.9,63.0,10.0
43,184,제주,2019-12-02 19:00,8.8,5.3,66.0,8.0
44,184,제주,2019-12-02 20:00,8.7,4.7,68.0,9.0
45,184,제주,2019-12-02 21:00,8.7,7.4,58.0,9.0
46,184,제주,2019-12-02 22:00,8.3,7.7,59.0,9.0
47,184,제주,2019-12-02 23:00,8.1,7.2,51.0,9.0
48,184,제주,2019-12-03 0:00,7.7,5.8,62.0,9.0
49,184,제주,2019-12-03 1:00,7.9,4.9,58.0,9.0
50,184,제주,2019-12-03 2:00,7.8,4.5,57.0,8.0
51,184,제주,2019-12-03 3:00,8.0,3.7,55.0,9.0
52,184,제주,2019-12-03 4:00,7.9,4.5,61.0,9.0
