,Location,place,Date,Temp,Wind,Humid,Cloud
0,221,제천,2019-12-01 0:00,0.9,0.3,78.0,8.0
1,221,제천,2019-12-01 1:00,2.0,0.2,76.0,9.0
2,221,제천,2019-12-01 2:00,2.5,0.3,75.0,10.0
3,221,제천,2019-12-01 3:00,2.4,0.0,74.0,9.5
4,221,제천,2019-12-01 4:00,1.2,0.2,80.0,9.0
5,221,제천,2019-12-01 5:00,1.4,0.2,77.0,9.0
6,221,제천,2019-12-01 6:00,1.3,0.2,83.0,9.0
7,221,제천,2019-12-01 7:00,1.8,0.0,79.0,9.0
8,221,제천,2019-12-01 8:00,2.3,0.2,78.0,4.0
9,221,제천,2019-12-01 9:00,3.3,0.0,70.0,2.0
10,221,제천,2019-12-01 10:00,4.9,0.1,58.0,10.0
11,221,제천,2019-12-01 11:00,5.7,0.7,60.0,10.0
12,221,제천,2019-12-01 12:00,5.8,0.2,74.0,10.0
13,221,제천,2019-12-01 13:00,5.6,0.5,77.0,10.0
14,221,제천,2019-12-01 14:00,5.4,0.1,80.0,9.0
15,221,제천,2019-12-01 15:00,5.4,0.3,86.0,10.0
16,221,제천,2019-12-01 16:00,5.2,0.4,91.0,10.0
17,221,제천,2019-12-01 17:00,4.9,0.2,94.0,9.0
18,221,제천,2019-12-01 18:00,4.3,0.4,97.0,10.0
19,221,제천,2019-12-01 19:00,4.1,0.1,97.0,10.0
20,221,제천,2019-12-01 20:00,4.0,0.2,98.0,10.0
21,221,제천,2019-12-01 21:00,4.0,0.0,98.0,10.0
22,221,제천,2019-12-01 22:00,4.0,0.6,98.0,10.0
23,221,제천,2019-12-01 23:00,3.9,0.1,98.0,10.0
24,221,제천,2019-12-02 0:00,3.7,0.6,98.0,10.0
25,221,제천,2019-12-02 1:00,3.9,1.1,95.0,9.0
26,221,제천,2019-12-02 2:00,4.1,1.3,91.0,10.0
27,221,제천,2019-12-02 3:00,3.1,2.8,70.0,7.0
28,221,제천,2019-12-02 4:00,1.5,0.9,69.0,10.0
29,221,제천,2019-12-02 5:00,1.0,2.0,70.0,9.0
30,221,제천,2019-12-02 6:00,0.1,2.0,77.0,5.0
31,221,제천,2019-12-02 7:00,-0.8,0.6,81.0,6.0
32,221,제천,2019-12-02 8:00,-0.2,1.4,71.0,0.0
33,221,제천,2019-12-02 9:00,0.9,2.8,55.0,0.0
34,221,제천,2019-12-02 10:00,1.7,4.1,43.0,0.0
35,221,제천,2019-12-02 11:00,2.6,3.7,41.0,0.0
36,221,제천,2019-12-02 12:00,3.3,4.6,37.0,0.0
37,221,제천,2019-12-02 13:00,3.5,4.3,33.0,0.0
38,221,제천,2019-12-02 14:00,3.4,4.6,33.0,0.0
39,221,제천,2019-12-02 15:00,3.5,4.5,34.0,0.0
40,221,제천,2019-12-02 16:00,2.8,3.6,37.0,0.0
41,221,제천,2019-12-02 17:00,1.1,3.9,47.0,0.0
42,221,제천,2019-12-02 18:00,0.0,3.4,53.0,0.0
43,221,제천,2019-12-02 19:00,-0.7,2.5,59.0,0.0
44,221,제천,2019-12-02 20:00,-1.1,3.3,54.0,0.0
45,221,제천,2019-12-02 21:00,-1.6,2.0,54.0,0.0
46,221,제천,2019-12-02 22:00,-1.7,3.3,48.0,0.0
47,221,제천,2019-12-02 23:00,-2.3,2.1,51.0,0.0
48,221,제천,2019-12-03 0:00,-2.8,2.1,52.0,0.0
49,221,제천,2019-12-03 1:00,-4.9,1.0,65.0,0.0
50,221,제천,2019-12-03 2:00,-6.3,0.1,79.0,0.0
51,221,제천,2019-12-03 3:00,-4.0,1.3,62.0,0.0
52,221,제천,2019-12-03 4:00,-3.6,2.1,55.0,0.0
53,221,제천,2019-12-03 5:00,-6.7,0.6,76.0,0.0
54,221,제천,2019-12-03 6:00,-7.8,0.7,85.0,0.0
55,221,제천,2019-12-03 7:00,-8.2,0.1,87.0,0.0
56,221,제천,2019-12-03 8:00,-7.6,0.1,86.0,0.0
57,221,제천,2019-12-03 9:00,-4.2,0.3,71.0,0.0
58,221,제천,2019-12-03 10:00,-1.9,0.9,61.0,2.0
59,221,제천,2019-12-03 11:00,-0.5,2.1,46.0,4.5
60,221,제천,2019-12-03 12:00,1.6,2.3,43.0,7.0
61,221,제천,2019-12-03 13:00,0.7,3.2,66.0,9.0
62,221,제천,2019-12-03 14:00,-0.2,2.1,80.0,9.0
63,221,제천,2019-12-03 15:00,-0.1,1.6,88.0,9.0
64,221,제천,2019-12-03 16:00,0.3,1.6,87.0,9.0
65,221,제천,2019-12-03 17:00,0.4,1.6,87.0,9.0
66,221,제천,2019-12-03 18:00,0.2,1.0,89.0,7.0
67,221,제천,2019-12-03 19:00,0.6,1.1,88.0,9.0
