,Location,place,Date,Temp,Wind,Humid,Cloud
0,268,진도군,2019-12-01 0:00,7.5,0.0,81.0,10.0
1,268,진도군,2019-12-01 1:00,7.5,0.2,82.0,10.0
2,268,진도군,2019-12-01 2:00,8.0,2.0,79.0,10.0
3,268,진도군,2019-12-01 3:00,8.1,2.4,79.0,10.0
4,268,진도군,2019-12-01 4:00,8.4,2.2,76.0,10.0
5,268,진도군,2019-12-01 5:00,8.5,1.2,75.0,9.0
6,268,진도군,2019-12-01 6:00,8.2,1.8,77.0,10.0
7,268,진도군,2019-12-01 7:00,7.7,2.6,80.0,10.0
8,268,진도군,2019-12-01 8:00,6.9,2.7,80.0,10.0
9,268,진도군,2019-12-01 9:00,6.8,2.2,84.0,10.0
10,268,진도군,2019-12-01 10:00,6.5,2.3,86.0,10.0
11,268,진도군,2019-12-01 11:00,6.8,2.2,90.0,10.0
12,268,진도군,2019-12-01 12:00,7.0,1.8,91.0,10.0
13,268,진도군,2019-12-01 13:00,7.2,1.6,92.0,9.0
14,268,진도군,2019-12-01 14:00,7.1,2.7,93.0,9.0
15,268,진도군,2019-12-01 15:00,6.9,2.6,93.0,10.0
16,268,진도군,2019-12-01 16:00,6.8,3.9,93.0,10.0
17,268,진도군,2019-12-01 17:00,7.4,3.1,92.0,10.0
18,268,진도군,2019-12-01 18:00,8.0,4.7,91.0,10.0
19,268,진도군,2019-12-01 19:00,8.0,4.1,90.0,10.0
20,268,진도군,2019-12-01 20:00,7.9,5.1,87.0,10.0
21,268,진도군,2019-12-01 21:00,8.1,4.2,84.0,10.0
22,268,진도군,2019-12-01 22:00,8.0,3.9,81.0,9.0
23,268,진도군,2019-12-01 23:00,8.2,4.5,80.0,9.0
24,268,진도군,2019-12-02 0:00,8.5,2.6,79.0,8.0
25,268,진도군,2019-12-02 1:00,8.9,3.7,79.0,9.0
26,268,진도군,2019-12-02 2:00,9.0,3.3,83.0,10.0
27,268,진도군,2019-12-02 3:00,8.8,5.8,71.0,10.0
28,268,진도군,2019-12-02 4:00,8.6,5.0,65.0,10.0
29,268,진도군,2019-12-02 5:00,8.4,5.7,60.0,10.0
30,268,진도군,2019-12-02 6:00,8.1,5.3,60.0,9.0
