,Location,place,Date,Temp,Wind,Humid,Cloud
0,192,진주,2019-12-01 0:00,8.2,0.4,72.0,10.0
1,192,진주,2019-12-01 1:00,7.9,0.3,83.0,10.0
2,192,진주,2019-12-01 2:00,7.5,0.1,88.0,10.0
3,192,진주,2019-12-01 3:00,7.5,0.1,92.0,8.0
4,192,진주,2019-12-01 4:00,7.7,0.3,90.0,6.0
5,192,진주,2019-12-01 5:00,7.6,0.8,89.0,7.0
6,192,진주,2019-12-01 6:00,7.4,0.2,90.0,5.0
7,192,진주,2019-12-01 7:00,7.5,0.0,89.0,10.0
8,192,진주,2019-12-01 8:00,7.8,0.1,88.0,10.0
9,192,진주,2019-12-01 9:00,7.9,0.3,90.0,10.0
10,192,진주,2019-12-01 10:00,8.1,0.4,85.0,10.0
11,192,진주,2019-12-01 11:00,8.0,0.7,90.0,10.0
12,192,진주,2019-12-01 12:00,7.0,1.3,89.0,10.0
13,192,진주,2019-12-01 13:00,6.5,1.2,92.0,10.0
14,192,진주,2019-12-01 14:00,6.3,1.1,92.0,10.0
15,192,진주,2019-12-01 15:00,5.8,0.9,91.0,10.0
16,192,진주,2019-12-01 16:00,5.5,1.1,92.0,10.0
17,192,진주,2019-12-01 17:00,5.4,0.1,94.0,10.0
18,192,진주,2019-12-01 18:00,5.5,0.3,95.0,10.0
19,192,진주,2019-12-01 19:00,5.8,0.7,94.0,10.0
20,192,진주,2019-12-01 20:00,6.3,0.7,93.0,10.0
21,192,진주,2019-12-01 21:00,6.5,0.8,94.0,10.0
22,192,진주,2019-12-01 22:00,6.5,1.9,95.0,10.0
23,192,진주,2019-12-01 23:00,6.5,2.2,92.0,10.0
24,192,진주,2019-12-02 0:00,6.5,1.8,91.0,9.0
25,192,진주,2019-12-02 1:00,6.4,1.2,91.0,8.0
26,192,진주,2019-12-02 2:00,5.6,0.5,95.0,9.0
27,192,진주,2019-12-02 3:00,4.6,0.3,95.0,7.0
28,192,진주,2019-12-02 4:00,4.7,0.2,97.0,10.0
29,192,진주,2019-12-02 5:00,5.3,0.7,97.0,8.0
30,192,진주,2019-12-02 6:00,6.5,2.8,60.0,8.0
31,192,진주,2019-12-02 7:00,5.4,1.8,59.0,7.0
32,192,진주,2019-12-02 8:00,5.6,2.1,57.0,3.0
33,192,진주,2019-12-02 9:00,7.0,2.1,53.0,4.0
34,192,진주,2019-12-02 10:00,8.5,1.4,47.0,3.0
35,192,진주,2019-12-02 11:00,8.8,2.5,46.0,4.0
36,192,진주,2019-12-02 12:00,8.8,3.2,42.0,4.0
37,192,진주,2019-12-02 13:00,9.0,2.6,40.0,5.0
38,192,진주,2019-12-02 14:00,9.1,2.8,39.0,6.0
39,192,진주,2019-12-02 15:00,8.6,2.7,38.0,4.0
40,192,진주,2019-12-02 16:00,8.5,2.8,36.0,1.0
41,192,진주,2019-12-02 17:00,6.6,2.6,39.0,0.0
42,192,진주,2019-12-02 18:00,5.4,1.5,42.0,0.0
43,192,진주,2019-12-02 19:00,3.1,0.1,51.0,0.0
44,192,진주,2019-12-02 20:00,3.3,0.7,53.0,0.0
45,192,진주,2019-12-02 21:00,3.5,1.4,54.0,0.0
46,192,진주,2019-12-02 22:00,3.4,1.9,52.0,2.0
47,192,진주,2019-12-02 23:00,2.9,1.6,52.0,1.0
48,192,진주,2019-12-03 0:00,2.7,1.4,53.0,1.0
49,192,진주,2019-12-03 1:00,1.1,1.3,79.0,0.0
50,192,진주,2019-12-03 2:00,-0.7,0.5,82.0,0.0
51,192,진주,2019-12-03 3:00,-1.4,0.7,89.0,0.0
52,192,진주,2019-12-03 4:00,-2.0,0.6,89.0,0.0
53,192,진주,2019-12-03 5:00,-2.6,0.1,89.0,0.0
54,192,진주,2019-12-03 6:00,-2.8,0.4,92.0,0.0
55,192,진주,2019-12-03 7:00,-2.6,0.1,94.0,0.0
56,192,진주,2019-12-03 8:00,-2.5,0.0,93.0,7.0
57,192,진주,2019-12-03 9:00,0.6,0.2,81.0,5.0
58,192,진주,2019-12-03 10:00,2.9,1.0,62.0,3.0
59,192,진주,2019-12-03 11:00,5.3,1.0,53.0,2.0
60,192,진주,2019-12-03 12:00,6.5,0.9,52.0,1.0
61,192,진주,2019-12-03 13:00,7.3,1.6,51.0,6.0
62,192,진주,2019-12-03 14:00,7.0,1.4,54.0,7.0
63,192,진주,2019-12-03 15:00,7.9,1.3,53.0,8.0
64,192,진주,2019-12-03 16:00,8.0,0.7,50.0,8.0
65,192,진주,2019-12-03 17:00,7.0,0.3,55.0,8.0
66,192,진주,2019-12-03 18:00,6.5,2.1,56.0,5.0
67,192,진주,2019-12-03 19:00,4.1,0.3,67.0,2.0
68,192,진주,2019-12-03 20:00,1.9,0.6,79.0,2.0
69,192,진주,2019-12-03 21:00,0.8,0.2,84.0,0.0
70,192,진주,2019-12-03 22:00,-0.3,0.1,89.0,0.0
71,192,진주,2019-12-03 23:00,-1.2,0.0,90.0,0.0
72,192,진주,2019-12-04 0:00,-1.5,0.4,92.0,0.0
73,192,진주,2019-12-04 1:00,-1.8,0.6,92.0,0.0
74,192,진주,2019-12-04 2:00,-2.2,0.4,93.0,1.0
75,192,진주,2019-12-04 3:00,-2.4,0.1,93.0,0.0
76,192,진주,2019-12-04 4:00,-2.4,0.2,93.0,0.0
77,192,진주,2019-12-04 5:00,-2.5,0.9,93.0,0.0
78,192,진주,2019-12-04 6:00,-2.5,0.7,94.0,0.0
79,192,진주,2019-12-04 7:00,-2.8,0.5,93.0,0.0
80,192,진주,2019-12-04 8:00,-2.6,0.6,93.0,0.0
81,192,진주,2019-12-04 9:00,0.3,0.4,88.0,1.0
82,192,진주,2019-12-04 10:00,3.8,0.8,79.0,2.0
83,192,진주,2019-12-04 11:00,7.3,0.8,62.0,4.0
84,192,진주,2019-12-04 12:00,9.1,1.5,49.0,1.0
85,192,진주,2019-12-04 13:00,10.1,0.6,40.0,4.0
86,192,진주,2019-12-04 14:00,11.6,0.9,37.0,4.0
87,192,진주,2019-12-04 15:00,11.6,2.0,35.0,1.0
88,192,진주,2019-12-04 16:00,11.1,1.9,33.0,2.0
89,192,진주,2019-12-04 17:00,9.3,1.4,37.0,0.0
90,192,진주,2019-12-04 18:00,6.1,0.4,52.0,0.0
91,192,진주,2019-12-04 19:00,3.6,0.5,63.0,0.0
92,192,진주,2019-12-04 20:00,2.0,0.3,70.0,0.0
93,192,진주,2019-12-04 21:00,1.2,0.1,75.0,0.0
94,192,진주,2019-12-04 22:00,-0.2,0.4,81.0,1.0
95,192,진주,2019-12-04 23:00,1.2,0.7,82.0,0.0
