,Location,place,Date,Temp,Wind,Humid,Cloud
0,155,창원,2019-12-01 0:00,9.7,0.3,65.0,10.0
1,155,창원,2019-12-01 1:00,9.5,0.1,71.0,10.0
2,155,창원,2019-12-01 2:00,8.1,0.1,87.0,10.0
3,155,창원,2019-12-01 3:00,8.0,0.7,92.0,10.0
4,155,창원,2019-12-01 4:00,7.9,0.2,92.0,10.0
5,155,창원,2019-12-01 5:00,8.5,0.6,89.0,10.0
6,155,창원,2019-12-01 6:00,8.3,0.8,84.0,10.0
7,155,창원,2019-12-01 7:00,8.6,0.9,66.0,10.0
8,155,창원,2019-12-01 8:00,8.0,1.9,63.0,10.0
9,155,창원,2019-12-01 9:00,7.5,1.1,72.0,10.0
10,155,창원,2019-12-01 10:00,8.2,0.9,69.0,10.0
11,155,창원,2019-12-01 11:00,7.4,1.0,79.0,10.0
12,155,창원,2019-12-01 12:00,7.9,1.1,77.0,10.0
13,155,창원,2019-12-01 13:00,7.2,2.0,80.0,10.0
14,155,창원,2019-12-01 14:00,6.5,1.3,86.0,10.0
15,155,창원,2019-12-01 15:00,6.2,1.1,89.0,10.0
16,155,창원,2019-12-01 16:00,6.0,1.3,88.0,10.0
17,155,창원,2019-12-01 17:00,5.7,1.0,90.0,10.0
18,155,창원,2019-12-01 18:00,5.6,2.0,90.0,10.0
19,155,창원,2019-12-01 19:00,5.6,2.4,89.0,10.0
20,155,창원,2019-12-01 20:00,6.1,1.7,89.0,10.0
21,155,창원,2019-12-01 21:00,6.0,2.0,87.0,10.0
22,155,창원,2019-12-01 22:00,6.0,1.9,87.0,10.0
23,155,창원,2019-12-01 23:00,5.8,3.2,87.0,10.0
24,155,창원,2019-12-02 0:00,5.6,2.6,88.0,10.0
25,155,창원,2019-12-02 1:00,5.7,3.6,86.0,9.0
26,155,창원,2019-12-02 2:00,5.9,3.4,82.0,8.0
27,155,창원,2019-12-02 3:00,6.1,5.8,79.0,9.0
28,155,창원,2019-12-02 4:00,5.9,2.1,80.0,9.0
29,155,창원,2019-12-02 5:00,5.9,1.7,80.0,9.0
30,155,창원,2019-12-02 6:00,6.0,3.2,79.0,8.0
31,155,창원,2019-12-02 7:00,5.5,2.1,72.0,8.0
32,155,창원,2019-12-02 8:00,4.6,4.4,60.0,3.0
33,155,창원,2019-12-02 9:00,4.8,4.8,59.0,2.0
34,155,창원,2019-12-02 10:00,5.7,3.2,58.0,1.0
35,155,창원,2019-12-02 11:00,7.1,2.2,51.0,2.0
36,155,창원,2019-12-02 12:00,8.2,2.8,39.0,1.0
37,155,창원,2019-12-02 13:00,8.6,3.0,33.0,1.0
38,155,창원,2019-12-02 14:00,9.1,2.5,35.0,3.0
39,155,창원,2019-12-02 15:00,8.4,2.5,35.0,2.0
40,155,창원,2019-12-02 16:00,7.4,1.8,35.0,1.0
41,155,창원,2019-12-02 17:00,6.3,2.2,35.0,0.0
42,155,창원,2019-12-02 18:00,5.0,1.4,39.0,0.0
43,155,창원,2019-12-02 19:00,4.5,1.5,41.0,0.0
44,155,창원,2019-12-02 20:00,4.0,0.9,41.0,0.0
45,155,창원,2019-12-02 21:00,3.4,1.8,45.0,0.0
46,155,창원,2019-12-02 22:00,3.1,1.4,47.0,0.0
47,155,창원,2019-12-02 23:00,2.7,1.2,48.0,0.0
48,155,창원,2019-12-03 0:00,1.6,4.4,54.0,0.0
49,155,창원,2019-12-03 1:00,0.8,1.7,53.0,0.0
50,155,창원,2019-12-03 2:00,0.8,1.3,53.0,0.0
51,155,창원,2019-12-03 3:00,-0.2,0.8,56.0,0.0
52,155,창원,2019-12-03 4:00,0.2,0.5,51.0,0.0
53,155,창원,2019-12-03 5:00,-0.3,0.7,56.0,0.0
54,155,창원,2019-12-03 6:00,-0.1,0.3,56.0,0.0
55,155,창원,2019-12-03 7:00,-0.6,0.8,60.0,0.0
56,155,창원,2019-12-03 8:00,0.0,0.3,65.0,1.0
57,155,창원,2019-12-03 9:00,1.0,0.2,64.0,3.0
58,155,창원,2019-12-03 10:00,3.3,1.0,51.0,0.0
59,155,창원,2019-12-03 11:00,4.3,1.6,50.0,0.0
60,155,창원,2019-12-03 12:00,6.8,1.3,43.0,0.0
61,155,창원,2019-12-03 13:00,6.8,2.8,44.0,4.0
62,155,창원,2019-12-03 14:00,6.7,1.8,47.0,8.0
63,155,창원,2019-12-03 15:00,7.6,2.4,44.0,7.0
64,155,창원,2019-12-03 16:00,6.8,2.5,51.0,4.0
65,155,창원,2019-12-03 17:00,5.4,1.4,58.0,2.0
66,155,창원,2019-12-03 18:00,5.0,0.4,51.0,0.0
