,Location,place,Date,Temp,Wind,Humid,Cloud
0,232,천안,2019-12-01 0:00,5.0,0.0,66.0,9.0
1,232,천안,2019-12-01 1:00,4.8,0.6,70.0,9.0
2,232,천안,2019-12-01 2:00,4.4,0.3,74.0,9.0
3,232,천안,2019-12-01 3:00,3.9,0.3,75.0,9.0
4,232,천안,2019-12-01 4:00,3.8,0.0,78.0,9.0
5,232,천안,2019-12-01 5:00,3.6,0.2,80.0,9.0
6,232,천안,2019-12-01 6:00,3.5,0.1,85.0,10.0
7,232,천안,2019-12-01 7:00,3.1,0.4,90.0,9.0
8,232,천안,2019-12-01 8:00,3.3,0.3,88.0,10.0
9,232,천안,2019-12-01 9:00,4.6,0.3,85.0,9.0
10,232,천안,2019-12-01 10:00,6.8,0.9,67.0,9.0
11,232,천안,2019-12-01 11:00,7.5,0.1,65.0,10.0
12,232,천안,2019-12-01 12:00,7.7,0.8,69.0,10.0
13,232,천안,2019-12-01 13:00,7.0,0.4,82.0,10.0
14,232,천안,2019-12-01 14:00,6.6,0.7,91.0,10.0
15,232,천안,2019-12-01 15:00,6.3,0.0,95.0,10.0
16,232,천안,2019-12-01 16:00,6.2,0.2,97.0,10.0
17,232,천안,2019-12-01 17:00,6.1,0.4,99.0,9.0
18,232,천안,2019-12-01 18:00,6.0,0.3,100.0,10.0
19,232,천안,2019-12-01 19:00,5.8,0.0,100.0,10.0
20,232,천안,2019-12-01 20:00,6.0,0.5,100.0,10.0
21,232,천안,2019-12-01 21:00,5.8,0.0,100.0,10.0
22,232,천안,2019-12-01 22:00,5.7,0.0,100.0,10.0
23,232,천안,2019-12-01 23:00,5.7,0.6,100.0,9.0
24,232,천안,2019-12-02 0:00,4.6,2.0,97.0,9.0
25,232,천안,2019-12-02 1:00,4.0,1.5,74.0,9.0
26,232,천안,2019-12-02 2:00,3.3,2.2,72.0,9.0
27,232,천안,2019-12-02 3:00,3.1,2.1,71.0,10.0
28,232,천안,2019-12-02 4:00,2.9,1.7,71.0,9.0
29,232,천안,2019-12-02 5:00,2.8,1.4,69.0,1.0
30,232,천안,2019-12-02 6:00,2.4,1.4,70.0,0.0
31,232,천안,2019-12-02 7:00,2.0,0.5,76.0,0.0
32,232,천안,2019-12-02 8:00,2.2,1.8,70.0,10.0
33,232,천안,2019-12-02 9:00,2.4,1.9,67.0,1.0
34,232,천안,2019-12-02 10:00,3.2,2.5,61.0,1.0
35,232,천안,2019-12-02 11:00,4.1,3.3,46.0,0.0
36,232,천안,2019-12-02 12:00,4.5,4.2,39.0,0.0
37,232,천안,2019-12-02 13:00,5.1,3.2,38.0,0.0
38,232,천안,2019-12-02 14:00,4.3,3.3,43.0,2.0
39,232,천안,2019-12-02 15:00,3.9,3.2,49.0,6.0
40,232,천안,2019-12-02 16:00,2.0,2.8,71.0,6.0
41,232,천안,2019-12-02 17:00,0.5,1.9,93.0,6.0
42,232,천안,2019-12-02 18:00,0.8,0.8,80.0,0.0
43,232,천안,2019-12-02 19:00,1.2,1.9,60.0,3.0
44,232,천안,2019-12-02 20:00,0.8,1.7,56.0,3.0
45,232,천안,2019-12-02 21:00,0.0,1.5,53.0,0.0
46,232,천안,2019-12-02 22:00,-1.3,1.0,59.0,1.0
47,232,천안,2019-12-02 23:00,-2.2,0.3,72.0,4.0
48,232,천안,2019-12-03 0:00,-1.8,0.3,71.0,9.0
49,232,천안,2019-12-03 1:00,-1.9,0.5,80.0,9.0
50,232,천안,2019-12-03 2:00,-2.2,0.0,78.0,3.0
51,232,천안,2019-12-03 3:00,-2.8,0.7,84.0,0.0
52,232,천안,2019-12-03 4:00,-3.5,0.7,86.0,0.0
53,232,천안,2019-12-03 5:00,-4.5,0.4,92.0,0.0
54,232,천안,2019-12-03 6:00,-4.8,0.8,93.0,0.0
55,232,천안,2019-12-03 7:00,-5.5,0.4,94.0,0.0
56,232,천안,2019-12-03 8:00,-5.1,0.5,94.0,6.0
57,232,천안,2019-12-03 9:00,-3.5,0.3,88.0,6.0
58,232,천안,2019-12-03 10:00,0.5,1.0,65.0,6.0
59,232,천안,2019-12-03 11:00,1.4,0.6,56.0,7.0
60,232,천안,2019-12-03 12:00,3.2,1.1,59.0,8.0
61,232,천안,2019-12-03 13:00,3.2,4.0,77.0,9.0
62,232,천안,2019-12-03 14:00,3.3,1.2,80.0,9.0
63,232,천안,2019-12-03 15:00,2.4,1.1,95.0,9.0
64,232,천안,2019-12-03 16:00,2.1,0.6,98.0,9.0
65,232,천안,2019-12-03 17:00,2.0,0.9,99.0,9.0
66,232,천안,2019-12-03 18:00,1.9,0.4,99.0,9.0
67,232,천안,2019-12-03 19:00,1.6,1.4,99.0,7.0
68,232,천안,2019-12-03 20:00,1.6,1.3,99.0,8.0
