,Location,place,Date,Temp,Wind,Humid,Cloud
0,131,청주,2019-12-01 0:00,7.0,0.0,53.0,9.0
1,131,청주,2019-12-01 1:00,6.7,0.0,54.0,9.0
2,131,청주,2019-12-01 2:00,6.8,0.0,54.0,9.0
3,131,청주,2019-12-01 3:00,6.5,0.7,55.0,9.0
4,131,청주,2019-12-01 4:00,6.3,0.0,57.0,10.0
5,131,청주,2019-12-01 5:00,6.0,0.6,57.0,10.0
6,131,청주,2019-12-01 6:00,6.0,0.7,62.0,10.0
7,131,청주,2019-12-01 7:00,5.6,0.0,62.0,10.0
8,131,청주,2019-12-01 8:00,5.5,0.2,61.0,7.0
9,131,청주,2019-12-01 9:00,6.5,0.0,59.0,8.0
10,131,청주,2019-12-01 10:00,7.4,0.3,62.0,10.0
11,131,청주,2019-12-01 11:00,7.6,0.1,62.0,10.0
12,131,청주,2019-12-01 12:00,7.9,0.0,67.0,10.0
13,131,청주,2019-12-01 13:00,7.1,0.0,77.0,10.0
14,131,청주,2019-12-01 14:00,6.8,0.0,82.0,10.0
15,131,청주,2019-12-01 15:00,6.5,0.0,86.0,10.0
16,131,청주,2019-12-01 16:00,6.3,0.0,88.0,10.0
17,131,청주,2019-12-01 17:00,6.1,1.4,89.0,10.0
18,131,청주,2019-12-01 18:00,6.3,1.3,90.0,10.0
19,131,청주,2019-12-01 19:00,6.1,0.4,90.0,10.0
20,131,청주,2019-12-01 20:00,6.0,0.7,91.0,10.0
21,131,청주,2019-12-01 21:00,6.0,0.0,90.0,10.0
22,131,청주,2019-12-01 22:00,6.0,0.0,91.0,10.0
23,131,청주,2019-12-01 23:00,6.0,0.0,91.0,10.0
24,131,청주,2019-12-02 0:00,5.6,2.3,90.0,10.0
25,131,청주,2019-12-02 1:00,4.8,2.3,87.0,9.0
26,131,청주,2019-12-02 2:00,4.0,1.0,69.0,9.0
27,131,청주,2019-12-02 3:00,3.6,1.0,67.0,8.0
28,131,청주,2019-12-02 4:00,3.4,0.8,68.0,7.0
29,131,청주,2019-12-02 5:00,3.2,2.1,65.0,8.0
30,131,청주,2019-12-02 6:00,3.0,1.5,64.0,7.0
31,131,청주,2019-12-02 7:00,2.9,1.3,65.0,7.0
32,131,청주,2019-12-02 8:00,2.6,1.6,66.0,9.0
33,131,청주,2019-12-02 9:00,2.4,1.4,70.0,3.0
34,131,청주,2019-12-02 10:00,3.4,2.6,57.0,5.0
35,131,청주,2019-12-02 11:00,4.7,2.1,48.0,2.0
36,131,청주,2019-12-02 12:00,4.7,2.9,42.0,2.0
37,131,청주,2019-12-02 13:00,5.6,3.1,37.0,0.0
38,131,청주,2019-12-02 14:00,5.8,2.8,36.0,1.0
39,131,청주,2019-12-02 15:00,5.2,2.6,40.0,2.0
40,131,청주,2019-12-02 16:00,3.3,3.3,53.0,3.0
41,131,청주,2019-12-02 17:00,1.7,3.4,71.0,8.0
42,131,청주,2019-12-02 18:00,1.2,1.4,75.0,3.0
43,131,청주,2019-12-02 19:00,1.3,1.4,68.0,7.0
44,131,청주,2019-12-02 20:00,1.6,2.6,53.0,7.0
45,131,청주,2019-12-02 21:00,1.0,1.7,49.0,6.0
46,131,청주,2019-12-02 22:00,0.2,0.9,48.0,0.0
47,131,청주,2019-12-02 23:00,-0.2,1.1,48.0,0.0
48,131,청주,2019-12-03 0:00,0.2,0.5,47.0,8.0
49,131,청주,2019-12-03 1:00,-0.1,1.0,48.0,9.0
50,131,청주,2019-12-03 2:00,-0.4,0.8,53.0,4.0
51,131,청주,2019-12-03 3:00,-0.7,0.7,55.0,1.0
52,131,청주,2019-12-03 4:00,-0.8,0.5,58.0,0.0
53,131,청주,2019-12-03 5:00,-1.4,0.0,64.0,0.0
54,131,청주,2019-12-03 6:00,-1.7,0.0,70.0,0.0
55,131,청주,2019-12-03 7:00,-2.0,0.1,68.0,0.0
56,131,청주,2019-12-03 8:00,-1.8,1.1,69.0,1.0
57,131,청주,2019-12-03 9:00,-0.7,1.4,66.0,6.0
58,131,청주,2019-12-03 10:00,1.2,1.4,61.0,5.0
59,131,청주,2019-12-03 11:00,2.9,1.7,48.0,6.0
60,131,청주,2019-12-03 12:00,3.4,2.2,51.0,6.0
61,131,청주,2019-12-03 13:00,3.7,2.7,56.0,9.0
62,131,청주,2019-12-03 14:00,5.2,3.0,60.0,9.0
63,131,청주,2019-12-03 15:00,3.4,1.8,78.0,10.0
64,131,청주,2019-12-03 16:00,3.0,1.2,84.0,10.0
65,131,청주,2019-12-03 17:00,2.8,1.1,86.0,10.0
66,131,청주,2019-12-03 18:00,2.9,0.0,87.0,10.0
67,131,청주,2019-12-03 19:00,3.2,0.0,86.0,9.0
68,131,청주,2019-12-03 20:00,3.2,1.0,87.0,8.0
69,131,청주,2019-12-03 21:00,3.2,0.8,87.0,9.0
70,131,청주,2019-12-03 22:00,3.0,1.0,87.0,6.0
71,131,청주,2019-12-03 23:00,3.0,0.0,88.0,8.0
72,131,청주,2019-12-04 0:00,3.0,0.7,88.0,9.0
73,131,청주,2019-12-04 1:00,2.9,0.0,88.0,9.0
74,131,청주,2019-12-04 2:00,2.9,0.0,87.0,9.0
75,131,청주,2019-12-04 3:00,2.7,0.3,86.0,10.0
76,131,청주,2019-12-04 4:00,2.8,0.1,86.0,6.0
77,131,청주,2019-12-04 5:00,2.5,0.0,87.0,9.0
78,131,청주,2019-12-04 6:00,2.9,0.6,86.0,9.0
79,131,청주,2019-12-04 7:00,2.7,0.5,86.0,8.0
80,131,청주,2019-12-04 8:00,2.5,0.4,88.0,3.0
81,131,청주,2019-12-04 9:00,3.2,0.0,83.0,2.0
82,131,청주,2019-12-04 10:00,4.5,0.8,71.0,1.0
83,131,청주,2019-12-04 11:00,6.3,1.4,46.0,0.0
84,131,청주,2019-12-04 12:00,7.4,0.8,44.0,0.0
85,131,청주,2019-12-04 13:00,8.1,2.0,37.0,0.0
86,131,청주,2019-12-04 14:00,8.8,1.6,34.0,1.0
87,131,청주,2019-12-04 15:00,8.8,2.9,33.0,2.0
88,131,청주,2019-12-04 16:00,8.5,2.2,34.0,4.0
89,131,청주,2019-12-04 17:00,8.1,1.5,38.0,8.0
90,131,청주,2019-12-04 18:00,8.1,1.1,42.0,8.0
91,131,청주,2019-12-04 19:00,7.1,1.4,52.0,9.0
92,131,청주,2019-12-04 20:00,6.1,1.3,61.0,2.0
93,131,청주,2019-12-04 21:00,5.4,0.7,64.0,1.0
