,Location,place,Date,Temp,Wind,Humid,Cloud
0,135,추풍령,2019-12-01 0:00,6.6,3.7,50.0,10.0
1,135,추풍령,2019-12-01 1:00,6.8,4.5,50.0,10.0
2,135,추풍령,2019-12-01 2:00,5.4,3.6,57.0,9.0
3,135,추풍령,2019-12-01 3:00,5.7,3.0,53.0,9.0
4,135,추풍령,2019-12-01 4:00,4.9,2.1,57.0,9.0
5,135,추풍령,2019-12-01 5:00,4.9,2.2,57.0,9.0
6,135,추풍령,2019-12-01 6:00,4.9,1.7,56.0,9.0
7,135,추풍령,2019-12-01 7:00,4.9,3.0,58.0,10.0
8,135,추풍령,2019-12-01 8:00,5.1,0.3,58.0,10.0
9,135,추풍령,2019-12-01 9:00,5.5,2.5,59.0,10.0
10,135,추풍령,2019-12-01 10:00,6.6,0.8,55.0,10.0
11,135,추풍령,2019-12-01 11:00,6.6,0.4,55.0,10.0
12,135,추풍령,2019-12-01 12:00,6.0,0.1,68.0,10.0
13,135,추풍령,2019-12-01 13:00,5.5,1.6,76.0,10.0
14,135,추풍령,2019-12-01 14:00,4.9,0.2,83.0,10.0
15,135,추풍령,2019-12-01 15:00,4.5,0.8,85.0,10.0
16,135,추풍령,2019-12-01 16:00,4.5,0.5,88.0,10.0
17,135,추풍령,2019-12-01 17:00,4.4,0.0,90.0,10.0
18,135,추풍령,2019-12-01 18:00,4.4,0.6,89.0,10.0
19,135,추풍령,2019-12-01 19:00,4.4,0.8,89.0,10.0
20,135,추풍령,2019-12-01 20:00,4.4,0.0,91.0,10.0
21,135,추풍령,2019-12-01 21:00,4.4,1.9,91.0,10.0
22,135,추풍령,2019-12-01 22:00,4.3,1.2,89.0,9.0
23,135,추풍령,2019-12-01 23:00,4.1,0.5,89.0,10.0
24,135,추풍령,2019-12-02 0:00,4.1,3.5,90.0,9.0
25,135,추풍령,2019-12-02 1:00,4.1,5.6,88.0,10.0
26,135,추풍령,2019-12-02 2:00,4.3,6.8,88.0,9.0
27,135,추풍령,2019-12-02 3:00,3.2,7.9,70.0,10.0
28,135,추풍령,2019-12-02 4:00,2.0,5.9,66.0,9.0
29,135,추풍령,2019-12-02 5:00,1.7,7.3,72.0,10.0
30,135,추풍령,2019-12-02 6:00,1.7,6.5,72.0,10.0
31,135,추풍령,2019-12-02 7:00,1.5,6.2,73.0,0.0
