,Location,place,Date,Temp,Wind,Humid,Cloud
0,101,춘천,2019-12-01 0:00,6.1,0.6,37.0,
1,101,춘천,2019-12-01 1:00,6.0,1.5,39.0,
2,101,춘천,2019-12-01 2:00,5.5,1.8,44.0,
3,101,춘천,2019-12-01 3:00,5.2,1.7,45.0,
4,101,춘천,2019-12-01 4:00,5.2,2.1,48.0,
5,101,춘천,2019-12-01 5:00,5.2,1.2,54.0,
6,101,춘천,2019-12-01 6:00,5.0,1.5,66.0,
7,101,춘천,2019-12-01 7:00,4.4,0.3,70.0,
8,101,춘천,2019-12-01 8:00,4.3,0.2,69.0,
9,101,춘천,2019-12-01 9:00,4.4,0.2,70.0,
10,101,춘천,2019-12-01 10:00,4.8,0.1,67.0,
11,101,춘천,2019-12-01 11:00,5.4,0.2,63.0,
12,101,춘천,2019-12-01 12:00,5.9,0.7,69.0,
13,101,춘천,2019-12-01 13:00,6.1,0.7,67.0,
14,101,춘천,2019-12-01 14:00,6.1,0.4,72.0,
15,101,춘천,2019-12-01 15:00,6.1,0.1,75.0,
16,101,춘천,2019-12-01 16:00,6.0,0.2,79.0,
17,101,춘천,2019-12-01 17:00,5.7,0.2,84.0,
18,101,춘천,2019-12-01 18:00,5.5,0.5,86.0,
19,101,춘천,2019-12-01 19:00,5.3,0.2,90.0,
20,101,춘천,2019-12-01 20:00,5.2,0.3,93.0,
21,101,춘천,2019-12-01 21:00,5.1,0.0,94.0,
22,101,춘천,2019-12-01 22:00,5.1,0.9,95.0,
23,101,춘천,2019-12-01 23:00,5.0,1.3,94.0,
24,101,춘천,2019-12-02 0:00,4.8,1.9,86.0,
25,101,춘천,2019-12-02 1:00,4.4,2.2,83.0,
26,101,춘천,2019-12-02 2:00,3.7,0.6,74.0,
27,101,춘천,2019-12-02 3:00,2.8,1.1,72.0,
28,101,춘천,2019-12-02 4:00,2.2,1.5,68.0,
29,101,춘천,2019-12-02 5:00,1.4,1.7,66.0,
30,101,춘천,2019-12-02 6:00,0.8,2.0,61.0,
31,101,춘천,2019-12-02 7:00,0.2,1.5,59.0,
32,101,춘천,2019-12-02 8:00,0.2,2.8,57.0,
33,101,춘천,2019-12-02 9:00,0.6,3.1,55.0,
34,101,춘천,2019-12-02 10:00,1.5,2.4,53.0,
35,101,춘천,2019-12-02 11:00,2.6,3.1,42.0,
36,101,춘천,2019-12-02 12:00,3.3,4.3,33.0,
37,101,춘천,2019-12-02 13:00,3.7,5.3,31.0,
38,101,춘천,2019-12-02 14:00,3.9,3.8,31.0,
39,101,춘천,2019-12-02 15:00,3.7,6.2,32.0,
40,101,춘천,2019-12-02 16:00,3.0,5.6,34.0,
41,101,춘천,2019-12-02 17:00,1.9,3.0,32.0,
42,101,춘천,2019-12-02 18:00,0.8,3.0,29.0,
43,101,춘천,2019-12-02 19:00,0.1,4.1,32.0,
44,101,춘천,2019-12-02 20:00,-0.7,1.7,35.0,
45,101,춘천,2019-12-02 21:00,-1.3,2.4,36.0,
46,101,춘천,2019-12-02 22:00,-1.6,2.3,39.0,
47,101,춘천,2019-12-02 23:00,-1.9,1.5,44.0,
48,101,춘천,2019-12-03 0:00,-2.1,2.6,44.0,
49,101,춘천,2019-12-03 1:00,-2.8,0.8,49.0,
50,101,춘천,2019-12-03 2:00,-3.5,0.9,52.0,
