,Location,place,Date,Temp,Wind,Humid,Cloud
0,127,충주,2019-12-01 0:00,5.0,0.5,57.0,10.0
1,127,충주,2019-12-01 1:00,4.5,0.2,68.0,10.0
2,127,충주,2019-12-01 2:00,4.2,0.0,72.0,9.0
3,127,충주,2019-12-01 3:00,4.0,0.5,73.0,8.5
4,127,충주,2019-12-01 4:00,3.0,0.7,76.0,8.0
5,127,충주,2019-12-01 5:00,2.5,0.0,78.0,9.0
6,127,충주,2019-12-01 6:00,3.1,0.1,80.0,10.0
7,127,충주,2019-12-01 7:00,3.3,0.0,80.0,10.0
8,127,충주,2019-12-01 8:00,3.7,0.0,79.0,10.0
9,127,충주,2019-12-01 9:00,4.9,0.0,72.0,8.0
10,127,충주,2019-12-01 10:00,6.0,0.0,67.0,10.0
11,127,충주,2019-12-01 11:00,6.6,0.1,63.0,10.0
12,127,충주,2019-12-01 12:00,6.8,0.0,67.0,10.0
13,127,충주,2019-12-01 13:00,6.8,0.2,78.0,10.0
14,127,충주,2019-12-01 14:00,6.0,0.6,85.0,10.0
15,127,충주,2019-12-01 15:00,5.6,0.4,90.0,10.0
16,127,충주,2019-12-01 16:00,5.5,0.0,93.0,10.0
17,127,충주,2019-12-01 17:00,5.2,0.0,95.0,10.0
18,127,충주,2019-12-01 18:00,5.1,0.0,96.0,10.0
19,127,충주,2019-12-01 19:00,5.0,0.1,97.0,10.0
20,127,충주,2019-12-01 20:00,5.0,0.0,97.0,10.0
21,127,충주,2019-12-01 21:00,4.9,0.1,97.0,10.0
22,127,충주,2019-12-01 22:00,5.0,0.0,97.0,10.0
23,127,충주,2019-12-01 23:00,4.8,0.2,98.0,10.0
24,127,충주,2019-12-02 0:00,4.8,1.3,95.0,9.0
25,127,충주,2019-12-02 1:00,4.8,1.8,95.0,10.0
26,127,충주,2019-12-02 2:00,4.5,3.8,88.0,10.0
27,127,충주,2019-12-02 3:00,2.5,2.5,73.0,8.0
28,127,충주,2019-12-02 4:00,2.0,2.5,73.0,10.0
29,127,충주,2019-12-02 5:00,1.2,2.7,73.0,8.0
30,127,충주,2019-12-02 6:00,0.6,1.5,76.0,0.0
31,127,충주,2019-12-02 7:00,0.2,1.5,79.0,0.0
32,127,충주,2019-12-02 8:00,0.7,1.8,71.0,3.0
33,127,충주,2019-12-02 9:00,1.5,2.7,66.0,0.0
34,127,충주,2019-12-02 10:00,2.2,4.2,54.0,1.0
35,127,충주,2019-12-02 11:00,3.1,4.2,45.0,0.0
36,127,충주,2019-12-02 12:00,3.9,4.4,37.0,0.0
37,127,충주,2019-12-02 13:00,4.5,4.7,33.0,0.0
38,127,충주,2019-12-02 14:00,5.1,5.5,32.0,0.0
39,127,충주,2019-12-02 15:00,4.4,4.3,35.0,0.0
40,127,충주,2019-12-02 16:00,3.2,4.9,43.0,0.0
41,127,충주,2019-12-02 17:00,1.7,3.6,52.0,1.0
42,127,충주,2019-12-02 18:00,1.1,2.8,56.0,3.0
43,127,충주,2019-12-02 19:00,0.1,2.8,58.0,0.0
44,127,충주,2019-12-02 20:00,-0.1,3.0,51.0,0.0
45,127,충주,2019-12-02 21:00,-0.8,2.8,51.0,0.0
46,127,충주,2019-12-02 22:00,-1.3,2.1,57.0,0.0
47,127,충주,2019-12-02 23:00,-1.3,1.5,56.0,5.0
48,127,충주,2019-12-03 0:00,-1.5,1.8,55.0,7.0
49,127,충주,2019-12-03 1:00,-1.8,1.5,56.0,4.0
