,Location,place,Date,Temp,Wind,Humid,Cloud
0,216,태백,2019-12-01 0:00,4.5,0.7,57.0,9.0
1,216,태백,2019-12-01 1:00,4.7,1.9,43.0,9.0
2,216,태백,2019-12-01 2:00,3.9,1.9,47.0,10.0
3,216,태백,2019-12-01 3:00,3.9,1.2,45.0,10.0
4,216,태백,2019-12-01 4:00,3.4,1.6,50.0,10.0
5,216,태백,2019-12-01 5:00,2.6,0.4,54.0,10.0
6,216,태백,2019-12-01 6:00,2.6,0.6,63.0,10.0
7,216,태백,2019-12-01 7:00,2.8,2.0,60.0,10.0
8,216,태백,2019-12-01 8:00,2.5,1.9,65.0,10.0
9,216,태백,2019-12-01 9:00,2.7,2.4,67.0,10.0
10,216,태백,2019-12-01 10:00,3.7,1.8,67.0,8.0
11,216,태백,2019-12-01 11:00,4.9,1.8,65.0,8.0
12,216,태백,2019-12-01 12:00,6.5,2.1,60.0,8.0
13,216,태백,2019-12-01 13:00,6.5,0.5,65.0,10.0
14,216,태백,2019-12-01 14:00,5.5,1.3,69.0,10.0
15,216,태백,2019-12-01 15:00,4.5,2.0,84.0,10.0
16,216,태백,2019-12-01 16:00,4.3,0.8,86.0,10.0
17,216,태백,2019-12-01 17:00,4.2,0.9,90.0,10.0
18,216,태백,2019-12-01 18:00,3.8,0.5,94.0,10.0
19,216,태백,2019-12-01 19:00,3.3,0.4,98.0,10.0
20,216,태백,2019-12-01 20:00,3.1,0.5,97.0,10.0
21,216,태백,2019-12-01 21:00,2.5,0.1,97.0,10.0
22,216,태백,2019-12-01 22:00,2.4,0.1,98.0,10.0
23,216,태백,2019-12-01 23:00,3.1,0.8,91.0,10.0
24,216,태백,2019-12-02 0:00,3.0,0.1,92.0,10.0
25,216,태백,2019-12-02 1:00,2.9,2.5,82.0,10.0
26,216,태백,2019-12-02 2:00,2.4,2.6,81.0,9.0
27,216,태백,2019-12-02 3:00,2.1,1.3,80.0,10.0
28,216,태백,2019-12-02 4:00,1.7,1.5,76.0,10.0
29,216,태백,2019-12-02 5:00,1.2,1.9,68.0,10.0
30,216,태백,2019-12-02 6:00,0.3,1.3,50.0,10.0
31,216,태백,2019-12-02 7:00,-1.1,0.9,58.0,7.0
32,216,태백,2019-12-02 8:00,-2.1,0.7,56.0,4.0
33,216,태백,2019-12-02 9:00,-1.4,1.4,55.0,3.0
34,216,태백,2019-12-02 10:00,-0.3,0.9,42.0,0.0
