,Location,place,Date,Temp,Wind,Humid,Cloud
0,162,통영,2019-12-01 0:00,9.8,0.8,83.0,10.0
1,162,통영,2019-12-01 1:00,9.4,1.3,90.0,10.0
2,162,통영,2019-12-01 2:00,9.6,1.0,94.0,10.0
3,162,통영,2019-12-01 3:00,9.9,0.2,95.0,10.0
4,162,통영,2019-12-01 4:00,9.9,0.7,96.0,10.0
5,162,통영,2019-12-01 5:00,10.0,0.4,96.0,10.0
6,162,통영,2019-12-01 6:00,10.4,0.1,96.0,10.0
7,162,통영,2019-12-01 7:00,10.0,1.4,95.0,9.0
8,162,통영,2019-12-01 8:00,9.9,1.2,94.0,10.0
9,162,통영,2019-12-01 9:00,10.0,1.8,93.0,7.0
10,162,통영,2019-12-01 10:00,10.2,3.2,89.0,10.0
11,162,통영,2019-12-01 11:00,9.8,2.4,89.0,10.0
12,162,통영,2019-12-01 12:00,9.8,2.9,88.0,10.0
13,162,통영,2019-12-01 13:00,8.8,3.3,89.0,10.0
14,162,통영,2019-12-01 14:00,8.5,2.8,93.0,10.0
15,162,통영,2019-12-01 15:00,8.4,3.8,96.0,10.0
16,162,통영,2019-12-01 16:00,8.6,2.7,97.0,10.0
17,162,통영,2019-12-01 17:00,8.6,3.4,98.0,10.0
18,162,통영,2019-12-01 18:00,8.2,3.5,98.0,10.0
19,162,통영,2019-12-01 19:00,7.8,4.9,98.0,10.0
20,162,통영,2019-12-01 20:00,7.8,5.0,98.0,9.0
21,162,통영,2019-12-01 21:00,7.7,3.3,98.0,10.0
22,162,통영,2019-12-01 22:00,7.1,3.6,98.0,10.0
23,162,통영,2019-12-01 23:00,7.3,3.9,97.0,10.0
24,162,통영,2019-12-02 0:00,7.4,1.9,97.0,10.0
25,162,통영,2019-12-02 1:00,7.4,2.4,96.0,8.0
26,162,통영,2019-12-02 2:00,7.0,3.6,94.0,8.0
27,162,통영,2019-12-02 3:00,7.0,0.6,90.0,8.0
28,162,통영,2019-12-02 4:00,6.3,1.7,90.0,8.0
29,162,통영,2019-12-02 5:00,6.7,0.9,91.0,9.0
30,162,통영,2019-12-02 6:00,6.4,1.4,89.0,7.0
31,162,통영,2019-12-02 7:00,6.9,4.2,71.0,10.0
32,162,통영,2019-12-02 8:00,5.6,4.7,63.0,7.0
33,162,통영,2019-12-02 9:00,6.3,4.9,57.0,4.0
34,162,통영,2019-12-02 10:00,7.6,3.4,56.0,3.0
35,162,통영,2019-12-02 11:00,8.5,3.7,52.0,0.0
36,162,통영,2019-12-02 12:00,9.6,2.7,48.0,5.0
37,162,통영,2019-12-02 13:00,9.2,2.5,52.0,7.0
38,162,통영,2019-12-02 14:00,9.3,4.6,45.0,5.0
39,162,통영,2019-12-02 15:00,8.6,3.6,50.0,6.0
40,162,통영,2019-12-02 16:00,9.1,4.2,48.0,5.0
41,162,통영,2019-12-02 17:00,7.7,3.8,45.0,6.0
42,162,통영,2019-12-02 18:00,6.5,4.8,44.0,3.0
43,162,통영,2019-12-02 19:00,5.1,2.8,49.0,0.0
44,162,통영,2019-12-02 20:00,4.4,3.0,51.0,0.0
45,162,통영,2019-12-02 21:00,3.9,2.3,54.0,0.0
46,162,통영,2019-12-02 22:00,3.7,2.8,56.0,1.0
47,162,통영,2019-12-02 23:00,3.2,3.6,58.0,0.0
48,162,통영,2019-12-03 0:00,2.9,2.6,58.0,1.0
49,162,통영,2019-12-03 1:00,2.2,2.2,60.0,0.0
50,162,통영,2019-12-03 2:00,1.6,1.4,62.0,1.0
51,162,통영,2019-12-03 3:00,1.6,0.7,59.0,0.0
52,162,통영,2019-12-03 4:00,1.6,0.5,64.0,0.0
53,162,통영,2019-12-03 5:00,1.4,0.5,67.0,2.0
54,162,통영,2019-12-03 6:00,0.9,1.2,69.0,0.0
55,162,통영,2019-12-03 7:00,0.7,1.0,73.0,0.0
56,162,통영,2019-12-03 8:00,0.8,1.3,78.0,6.0
57,162,통영,2019-12-03 9:00,3.6,2.0,68.0,4.0
58,162,통영,2019-12-03 10:00,5.2,2.5,62.0,1.0
59,162,통영,2019-12-03 11:00,6.5,1.7,56.0,0.5
60,162,통영,2019-12-03 12:00,7.0,2.2,53.0,0.0
61,162,통영,2019-12-03 13:00,7.8,3.0,52.0,4.0
62,162,통영,2019-12-03 14:00,9.0,2.4,50.0,7.0
63,162,통영,2019-12-03 15:00,8.0,3.1,57.0,8.0
64,162,통영,2019-12-03 16:00,8.0,2.0,55.0,7.0
65,162,통영,2019-12-03 17:00,7.9,3.3,51.0,7.0
66,162,통영,2019-12-03 18:00,7.1,3.7,53.0,6.0
67,162,통영,2019-12-03 19:00,6.2,2.7,56.0,0.0
68,162,통영,2019-12-03 20:00,5.5,2.5,61.0,2.0
69,162,통영,2019-12-03 21:00,6.1,2.7,59.0,3.0
70,162,통영,2019-12-03 22:00,6.0,3.3,60.0,4.0
71,162,통영,2019-12-03 23:00,5.8,2.5,61.0,1.0
72,162,통영,2019-12-04 0:00,5.0,2.0,65.0,2.0
73,162,통영,2019-12-04 1:00,4.7,1.6,69.0,0.0
74,162,통영,2019-12-04 2:00,4.2,1.7,71.0,0.0
75,162,통영,2019-12-04 3:00,4.7,1.2,70.0,0.0
76,162,통영,2019-12-04 4:00,4.4,0.9,70.0,0.0
77,162,통영,2019-12-04 5:00,4.9,0.3,69.0,2.0
78,162,통영,2019-12-04 6:00,3.5,0.0,76.0,2.0
79,162,통영,2019-12-04 7:00,3.5,0.4,79.0,1.0
80,162,통영,2019-12-04 8:00,4.9,0.3,75.0,2.0
81,162,통영,2019-12-04 9:00,7.2,1.6,67.0,2.0
82,162,통영,2019-12-04 10:00,9.1,1.9,60.0,2.0
83,162,통영,2019-12-04 11:00,9.5,4.0,52.0,1.0
84,162,통영,2019-12-04 12:00,10.9,1.8,47.0,0.0
85,162,통영,2019-12-04 13:00,11.0,3.0,45.0,2.0
86,162,통영,2019-12-04 14:00,11.7,2.3,43.0,3.0
87,162,통영,2019-12-04 15:00,11.8,1.9,44.0,5.0
88,162,통영,2019-12-04 16:00,11.4,1.7,47.0,4.0
89,162,통영,2019-12-04 17:00,10.0,0.7,47.0,3.0
90,162,통영,2019-12-04 18:00,7.9,1.4,57.0,0.0
91,162,통영,2019-12-04 19:00,6.9,1.0,59.0,1.0
92,162,통영,2019-12-04 20:00,6.3,2.1,55.0,0.0
93,162,통영,2019-12-04 21:00,6.0,0.9,55.0,0.0
94,162,통영,2019-12-04 22:00,5.2,0.9,58.0,0.0
95,162,통영,2019-12-04 23:00,5.0,1.2,59.0,2.0
96,162,통영,2019-12-05 0:00,4.9,0.7,60.0,2.0
97,162,통영,2019-12-05 1:00,3.9,1.6,67.0,2.0
98,162,통영,2019-12-05 2:00,3.8,1.6,64.0,2.0
99,162,통영,2019-12-05 3:00,3.4,1.0,65.0,3.0
100,162,통영,2019-12-05 4:00,3.5,1.4,67.0,0.0
101,162,통영,2019-12-05 5:00,3.2,1.1,71.0,0.0
102,162,통영,2019-12-05 6:00,3.6,1.8,70.0,3.0
103,162,통영,2019-12-05 7:00,4.0,2.8,66.0,2.0
104,162,통영,2019-12-05 8:00,4.0,2.5,63.0,3.0
105,162,통영,2019-12-05 9:00,5.3,2.3,57.0,3.0
106,162,통영,2019-12-05 10:00,7.1,2.0,49.0,1.0
107,162,통영,2019-12-05 11:00,8.4,5.0,27.0,1.0
108,162,통영,2019-12-05 12:00,9.0,4.0,28.0,6.0
109,162,통영,2019-12-05 13:00,9.6,2.9,32.0,4.0
110,162,통영,2019-12-05 14:00,9.7,2.4,42.0,5.0
111,162,통영,2019-12-05 15:00,9.4,2.8,34.0,4.0
112,162,통영,2019-12-05 16:00,7.8,5.5,31.0,6.0
113,162,통영,2019-12-05 17:00,6.4,4.2,34.0,4.0
114,162,통영,2019-12-05 18:00,5.6,4.7,33.0,6.0
115,162,통영,2019-12-05 19:00,4.9,4.8,34.0,5.0
116,162,통영,2019-12-05 20:00,3.7,4.4,37.0,6.0
117,162,통영,2019-12-05 21:00,2.9,5.3,39.0,8.0
118,162,통영,2019-12-05 22:00,1.9,3.9,40.0,4.0
119,162,통영,2019-12-05 23:00,1.2,3.8,40.0,6.0
120,162,통영,2019-12-06 0:00,0.5,4.1,42.0,7.0
121,162,통영,2019-12-06 1:00,0.0,3.2,44.0,4.0
122,162,통영,2019-12-06 2:00,-0.7,3.2,44.0,4.0
123,162,통영,2019-12-06 3:00,-1.5,2.7,47.0,5.0
124,162,통영,2019-12-06 4:00,-1.4,3.6,47.0,9.0
125,162,통영,2019-12-06 5:00,-1.6,4.0,45.0,8.0
126,162,통영,2019-12-06 6:00,-1.9,2.6,50.0,6.0
127,162,통영,2019-12-06 7:00,-1.6,3.4,44.0,8.0
128,162,통영,2019-12-06 8:00,-1.6,4.0,37.0,7.0
