,Location,place,Date,Temp,Wind,Humid,Cloud
0,138,포항,2019-12-01 0:00,8.2,1.7,78.0,7.0
1,138,포항,2019-12-01 1:00,8.3,2.0,77.0,10.0
2,138,포항,2019-12-01 2:00,8.7,2.0,73.0,10.0
3,138,포항,2019-12-01 3:00,8.9,2.7,70.0,10.0
4,138,포항,2019-12-01 4:00,8.8,1.2,70.0,10.0
5,138,포항,2019-12-01 5:00,8.3,1.3,72.0,10.0
6,138,포항,2019-12-01 6:00,8.3,2.2,69.0,10.0
7,138,포항,2019-12-01 7:00,8.3,1.9,68.0,10.0
8,138,포항,2019-12-01 8:00,8.4,2.0,62.0,10.0
9,138,포항,2019-12-01 9:00,8.7,2.3,57.0,10.0
10,138,포항,2019-12-01 10:00,8.9,2.9,52.0,10.0
11,138,포항,2019-12-01 11:00,9.3,2.9,52.0,10.0
12,138,포항,2019-12-01 12:00,9.2,1.9,60.0,10.0
13,138,포항,2019-12-01 13:00,9.0,2.2,66.0,10.0
14,138,포항,2019-12-01 14:00,8.4,2.0,78.0,10.0
15,138,포항,2019-12-01 15:00,8.0,1.2,86.0,10.0
16,138,포항,2019-12-01 16:00,7.8,1.5,93.0,10.0
17,138,포항,2019-12-01 17:00,7.5,1.5,95.0,10.0
18,138,포항,2019-12-01 18:00,7.4,1.4,97.0,10.0
19,138,포항,2019-12-01 19:00,7.2,1.6,98.0,10.0
20,138,포항,2019-12-01 20:00,7.2,0.7,98.0,10.0
21,138,포항,2019-12-01 21:00,7.2,1.2,98.0,10.0
22,138,포항,2019-12-01 22:00,7.4,2.9,97.0,10.0
23,138,포항,2019-12-01 23:00,7.0,2.2,97.0,10.0
24,138,포항,2019-12-02 0:00,7.0,2.6,96.0,10.0
25,138,포항,2019-12-02 1:00,6.9,2.3,95.0,10.0
26,138,포항,2019-12-02 2:00,6.7,0.9,93.0,10.0
27,138,포항,2019-12-02 3:00,6.6,3.2,91.0,8.0
28,138,포항,2019-12-02 4:00,7.0,2.8,85.0,10.0
29,138,포항,2019-12-02 5:00,7.3,2.8,74.0,10.0
30,138,포항,2019-12-02 6:00,7.0,3.6,64.0,7.0
31,138,포항,2019-12-02 7:00,5.8,3.7,45.0,7.0
32,138,포항,2019-12-02 8:00,4.7,3.9,50.0,7.0
33,138,포항,2019-12-02 9:00,4.9,5.4,54.0,8.0
34,138,포항,2019-12-02 10:00,5.6,4.6,52.0,4.0
35,138,포항,2019-12-02 11:00,6.8,4.7,49.0,2.0
36,138,포항,2019-12-02 12:00,7.3,3.6,43.0,3.0
37,138,포항,2019-12-02 13:00,7.9,3.9,38.0,0.0
38,138,포항,2019-12-02 14:00,7.9,4.7,39.0,0.0
39,138,포항,2019-12-02 15:00,7.9,4.8,37.0,0.0
40,138,포항,2019-12-02 16:00,7.3,3.9,36.0,0.0
41,138,포항,2019-12-02 17:00,6.2,2.7,39.0,0.0
42,138,포항,2019-12-02 18:00,5.3,2.7,39.0,0.0
43,138,포항,2019-12-02 19:00,4.9,3.5,39.0,0.0
44,138,포항,2019-12-02 20:00,4.2,2.7,43.0,0.0
45,138,포항,2019-12-02 21:00,3.4,2.6,49.0,0.0
46,138,포항,2019-12-02 22:00,2.7,3.3,51.0,0.0
47,138,포항,2019-12-02 23:00,2.1,2.9,49.0,0.0
48,138,포항,2019-12-03 0:00,1.5,2.3,48.0,0.0
49,138,포항,2019-12-03 1:00,1.1,1.5,49.0,2.0
50,138,포항,2019-12-03 2:00,0.3,0.9,55.0,1.0
51,138,포항,2019-12-03 3:00,-0.1,1.2,57.0,0.0
52,138,포항,2019-12-03 4:00,0.0,1.7,60.0,0.0
53,138,포항,2019-12-03 5:00,0.0,1.6,60.0,0.0
54,138,포항,2019-12-03 6:00,-0.3,1.5,63.0,0.0
55,138,포항,2019-12-03 7:00,-0.8,1.3,69.0,0.0
56,138,포항,2019-12-03 8:00,-0.3,2.5,67.0,0.0
57,138,포항,2019-12-03 9:00,1.4,3.0,59.0,0.0
58,138,포항,2019-12-03 10:00,2.9,2.9,50.0,0.0
59,138,포항,2019-12-03 11:00,4.7,2.7,40.0,0.0
60,138,포항,2019-12-03 12:00,6.3,3.3,38.0,0.0
61,138,포항,2019-12-03 13:00,8.1,3.4,36.0,0.0
62,138,포항,2019-12-03 14:00,9.0,3.7,36.0,2.0
63,138,포항,2019-12-03 15:00,8.2,4.2,40.0,5.0
64,138,포항,2019-12-03 16:00,8.0,2.2,43.0,7.0
65,138,포항,2019-12-03 17:00,7.8,3.8,45.0,8.0
66,138,포항,2019-12-03 18:00,7.5,2.8,49.0,9.0
67,138,포항,2019-12-03 19:00,7.2,1.2,53.0,8.0
68,138,포항,2019-12-03 20:00,6.9,2.3,58.0,9.0
69,138,포항,2019-12-03 21:00,6.7,1.6,60.0,10.0
