,Location,place,Date,Temp,Wind,Humid,Cloud
0,264,함양군,2019-12-01 0:00,6.2,0.0,72.0,9.0
1,264,함양군,2019-12-01 1:00,6.5,0.0,72.0,10.0
2,264,함양군,2019-12-01 2:00,9.3,3.4,50.0,9.0
3,264,함양군,2019-12-01 3:00,8.9,2.6,51.0,9.0
4,264,함양군,2019-12-01 4:00,8.8,2.9,51.0,9.0
5,264,함양군,2019-12-01 5:00,8.8,3.3,47.0,10.0
6,264,함양군,2019-12-01 6:00,8.7,1.5,42.0,10.0
7,264,함양군,2019-12-01 7:00,7.8,0.1,49.0,1.0
8,264,함양군,2019-12-01 8:00,6.8,0.2,65.0,10.0
9,264,함양군,2019-12-01 9:00,6.0,0.0,82.0,10.0
10,264,함양군,2019-12-01 10:00,6.1,0.1,85.0,10.0
11,264,함양군,2019-12-01 11:00,6.4,0.1,85.0,10.0
12,264,함양군,2019-12-01 12:00,6.4,0.1,84.0,10.0
13,264,함양군,2019-12-01 13:00,6.1,0.0,86.0,9.0
14,264,함양군,2019-12-01 14:00,6.5,0.0,89.0,9.0
15,264,함양군,2019-12-01 15:00,6.6,0.0,92.0,9.0
16,264,함양군,2019-12-01 16:00,6.5,0.1,93.0,10.0
17,264,함양군,2019-12-01 17:00,6.4,0.1,95.0,10.0
18,264,함양군,2019-12-01 18:00,6.2,0.3,95.0,10.0
19,264,함양군,2019-12-01 19:00,6.2,0.0,96.0,10.0
20,264,함양군,2019-12-01 20:00,6.1,0.2,96.0,6.0
21,264,함양군,2019-12-01 21:00,6.0,0.1,96.0,10.0
22,264,함양군,2019-12-01 22:00,6.0,0.0,96.0,10.0
23,264,함양군,2019-12-01 23:00,5.6,0.1,95.0,10.0
24,264,함양군,2019-12-02 0:00,4.5,0.0,96.0,0.0
25,264,함양군,2019-12-02 1:00,6.4,2.2,96.0,9.0
26,264,함양군,2019-12-02 2:00,6.4,2.0,79.0,9.0
27,264,함양군,2019-12-02 3:00,7.2,2.3,71.0,10.0
28,264,함양군,2019-12-02 4:00,6.6,4.1,64.0,10.0
29,264,함양군,2019-12-02 5:00,5.2,3.4,56.0,10.0
