,Location,place,Date,Temp,Wind,Humid,Cloud
0,285,합천,2019-12-01 0:00,6.4,0.2,76.0,9.0
1,285,합천,2019-12-01 1:00,6.5,0.0,78.0,10.0
2,285,합천,2019-12-01 2:00,6.6,0.1,79.0,10.0
3,285,합천,2019-12-01 3:00,6.3,0.2,81.0,9.5
4,285,합천,2019-12-01 4:00,6.3,0.2,80.0,9.0
5,285,합천,2019-12-01 5:00,6.4,0.1,81.0,10.0
6,285,합천,2019-12-01 6:00,6.5,0.6,81.0,9.0
7,285,합천,2019-12-01 7:00,6.5,0.7,81.0,10.0
8,285,합천,2019-12-01 8:00,7.1,0.0,76.0,10.0
9,285,합천,2019-12-01 9:00,7.2,0.1,81.0,10.0
10,285,합천,2019-12-01 10:00,8.0,1.0,77.0,10.0
11,285,합천,2019-12-01 11:00,7.3,1.2,77.0,10.0
12,285,합천,2019-12-01 12:00,6.8,0.8,89.0,10.0
13,285,합천,2019-12-01 13:00,6.0,0.9,91.0,9.0
14,285,합천,2019-12-01 14:00,6.0,1.2,92.0,10.0
15,285,합천,2019-12-01 15:00,5.9,0.8,95.0,10.0
16,285,합천,2019-12-01 16:00,5.9,0.4,96.0,10.0
17,285,합천,2019-12-01 17:00,6.0,1.3,95.0,10.0
18,285,합천,2019-12-01 18:00,6.0,1.6,96.0,10.0
19,285,합천,2019-12-01 19:00,6.0,0.7,97.0,10.0
20,285,합천,2019-12-01 20:00,5.9,0.0,98.0,10.0
21,285,합천,2019-12-01 21:00,6.0,0.0,100.0,10.0
22,285,합천,2019-12-01 22:00,6.2,0.6,99.0,10.0
23,285,합천,2019-12-01 23:00,6.0,0.2,100.0,10.0
24,285,합천,2019-12-02 0:00,5.9,0.3,98.0,10.0
25,285,합천,2019-12-02 1:00,5.6,0.0,100.0,8.0
26,285,합천,2019-12-02 2:00,5.4,0.2,100.0,10.0
27,285,합천,2019-12-02 3:00,5.4,0.4,100.0,9.0
28,285,합천,2019-12-02 4:00,6.8,2.0,86.0,10.0
29,285,합천,2019-12-02 5:00,7.5,2.2,68.0,10.0
30,285,합천,2019-12-02 6:00,6.2,3.0,55.0,8.0
31,285,합천,2019-12-02 7:00,5.2,1.5,62.0,8.0
32,285,합천,2019-12-02 8:00,3.9,0.4,75.0,7.0
33,285,합천,2019-12-02 9:00,6.6,0.8,54.0,2.0
34,285,합천,2019-12-02 10:00,7.7,3.3,46.0,7.0
35,285,합천,2019-12-02 11:00,8.3,2.8,45.0,3.0
36,285,합천,2019-12-02 12:00,8.8,2.9,40.0,4.0
37,285,합천,2019-12-02 13:00,8.7,3.5,38.0,6.0
38,285,합천,2019-12-02 14:00,7.9,3.8,40.0,6.0
39,285,합천,2019-12-02 15:00,8.4,2.7,37.0,0.0
40,285,합천,2019-12-02 16:00,7.8,2.2,39.0,0.0
41,285,합천,2019-12-02 17:00,6.7,2.2,39.0,0.0
42,285,합천,2019-12-02 18:00,5.4,1.8,45.0,0.0
43,285,합천,2019-12-02 19:00,4.6,1.4,50.0,0.0
44,285,합천,2019-12-02 20:00,3.4,1.1,58.0,0.0
45,285,합천,2019-12-02 21:00,2.5,0.7,65.0,0.0
46,285,합천,2019-12-02 22:00,0.8,0.7,79.0,0.0
