,Location,place,Date,Temp,Wind,Humid,Cloud
0,177,홍성,2019-12-01 0:00,4.6,0.7,80.0,10.0
1,177,홍성,2019-12-01 1:00,4.2,0.1,85.0,9.0
2,177,홍성,2019-12-01 2:00,4.0,0.0,85.0,9.0
3,177,홍성,2019-12-01 3:00,4.1,0.7,85.0,10.0
4,177,홍성,2019-12-01 4:00,4.2,0.4,87.0,10.0
5,177,홍성,2019-12-01 5:00,4.5,0.0,85.0,10.0
6,177,홍성,2019-12-01 6:00,4.4,0.7,87.0,10.0
7,177,홍성,2019-12-01 7:00,4.4,0.0,84.0,10.0
8,177,홍성,2019-12-01 8:00,4.7,0.4,89.0,10.0
9,177,홍성,2019-12-01 9:00,6.1,0.8,82.0,10.0
10,177,홍성,2019-12-01 10:00,6.7,0.6,86.0,10.0
11,177,홍성,2019-12-01 11:00,7.0,0.0,86.0,10.0
12,177,홍성,2019-12-01 12:00,7.3,0.1,88.0,10.0
13,177,홍성,2019-12-01 13:00,7.2,0.3,88.0,10.0
14,177,홍성,2019-12-01 14:00,7.0,0.5,92.0,10.0
15,177,홍성,2019-12-01 15:00,6.9,0.7,93.0,10.0
16,177,홍성,2019-12-01 16:00,6.8,0.3,96.0,10.0
17,177,홍성,2019-12-01 17:00,6.6,0.0,97.0,10.0
18,177,홍성,2019-12-01 18:00,6.4,0.0,98.0,10.0
19,177,홍성,2019-12-01 19:00,6.3,0.5,98.0,10.0
20,177,홍성,2019-12-01 20:00,6.2,0.2,97.0,10.0
21,177,홍성,2019-12-01 21:00,5.7,1.3,91.0,10.0
22,177,홍성,2019-12-01 22:00,5.3,2.6,90.0,10.0
23,177,홍성,2019-12-01 23:00,5.1,1.4,86.0,10.0
24,177,홍성,2019-12-02 0:00,4.9,0.8,81.0,10.0
25,177,홍성,2019-12-02 1:00,4.5,0.1,78.0,9.0
26,177,홍성,2019-12-02 2:00,2.4,0.7,84.0,8.0
27,177,홍성,2019-12-02 3:00,3.9,0.0,70.0,10.0
28,177,홍성,2019-12-02 4:00,3.7,0.1,74.0,8.0
29,177,홍성,2019-12-02 5:00,4.6,1.2,69.0,6.0
30,177,홍성,2019-12-02 6:00,4.9,2.0,58.0,8.0
31,177,홍성,2019-12-02 7:00,4.4,2.5,56.0,9.0
32,177,홍성,2019-12-02 8:00,3.9,2.5,57.0,4.0
33,177,홍성,2019-12-02 9:00,4.5,2.0,56.0,6.0
34,177,홍성,2019-12-02 10:00,4.8,3.7,48.0,2.0
35,177,홍성,2019-12-02 11:00,4.6,3.9,41.0,1.0
36,177,홍성,2019-12-02 12:00,5.3,2.6,40.0,1.0
37,177,홍성,2019-12-02 13:00,5.2,3.4,42.0,7.0
38,177,홍성,2019-12-02 14:00,4.8,2.7,48.0,7.0
39,177,홍성,2019-12-02 15:00,3.5,3.0,58.0,8.0
40,177,홍성,2019-12-02 16:00,3.3,2.4,62.0,7.0
41,177,홍성,2019-12-02 17:00,2.6,3.2,61.0,7.0
42,177,홍성,2019-12-02 18:00,2.4,1.7,56.0,7.0
43,177,홍성,2019-12-02 19:00,2.2,3.2,54.0,2.0
44,177,홍성,2019-12-02 20:00,1.9,2.5,52.0,9.0
45,177,홍성,2019-12-02 21:00,1.6,1.1,55.0,7.0
46,177,홍성,2019-12-02 22:00,1.5,0.5,58.0,6.0
47,177,홍성,2019-12-02 23:00,0.7,0.4,72.0,9.0
48,177,홍성,2019-12-03 0:00,-0.5,2.2,73.0,3.0
49,177,홍성,2019-12-03 1:00,-0.5,0.7,76.0,9.0
50,177,홍성,2019-12-03 2:00,-1.1,0.4,89.0,9.0
51,177,홍성,2019-12-03 3:00,-1.5,0.0,90.0,3.0
52,177,홍성,2019-12-03 4:00,-2.1,0.0,91.0,0.0
53,177,홍성,2019-12-03 5:00,-2.4,0.0,94.0,4.0
54,177,홍성,2019-12-03 6:00,-2.7,0.3,94.0,3.0
55,177,홍성,2019-12-03 7:00,-2.1,1.4,93.0,5.0
56,177,홍성,2019-12-03 8:00,-1.8,0.7,92.0,5.0
57,177,홍성,2019-12-03 9:00,0.0,1.6,78.0,7.0
58,177,홍성,2019-12-03 10:00,0.4,1.5,75.0,9.0
59,177,홍성,2019-12-03 11:00,0.2,0.1,93.0,10.0
60,177,홍성,2019-12-03 12:00,0.5,1.2,95.0,10.0
61,177,홍성,2019-12-03 13:00,1.7,1.7,98.0,10.0
62,177,홍성,2019-12-03 14:00,2.4,1.3,94.0,10.0
63,177,홍성,2019-12-03 15:00,2.8,0.2,96.0,10.0
64,177,홍성,2019-12-03 16:00,3.7,1.9,87.0,10.0
65,177,홍성,2019-12-03 17:00,3.6,0.5,88.0,10.0
66,177,홍성,2019-12-03 18:00,3.1,0.9,95.0,10.0
67,177,홍성,2019-12-03 19:00,3.4,1.5,94.0,10.0
68,177,홍성,2019-12-03 20:00,3.2,1.4,95.0,9.0
69,177,홍성,2019-12-03 21:00,2.7,0.2,94.0,3.0
70,177,홍성,2019-12-03 22:00,0.9,0.1,98.0,0.0
71,177,홍성,2019-12-03 23:00,0.4,0.7,99.0,9.0
72,177,홍성,2019-12-04 0:00,1.6,1.7,92.0,9.0
73,177,홍성,2019-12-04 1:00,3.0,2.3,81.0,9.0
74,177,홍성,2019-12-04 2:00,6.2,2.3,67.0,10.0
75,177,홍성,2019-12-04 3:00,3.8,2.8,86.0,8.0
76,177,홍성,2019-12-04 4:00,2.7,0.1,92.0,10.0
77,177,홍성,2019-12-04 5:00,2.8,0.0,95.0,10.0
78,177,홍성,2019-12-04 6:00,2.4,0.0,96.0,9.0
79,177,홍성,2019-12-04 7:00,1.5,0.0,97.0,4.0
80,177,홍성,2019-12-04 8:00,0.9,0.0,99.0,7.0
81,177,홍성,2019-12-04 9:00,2.1,0.4,99.0,9.0
82,177,홍성,2019-12-04 10:00,3.9,1.1,95.0,3.0
83,177,홍성,2019-12-04 11:00,6.7,0.8,59.0,0.0
84,177,홍성,2019-12-04 12:00,8.2,0.8,44.0,0.0
85,177,홍성,2019-12-04 13:00,9.2,1.7,42.0,0.0
86,177,홍성,2019-12-04 14:00,8.9,1.6,43.0,0.0
87,177,홍성,2019-12-04 15:00,8.7,1.2,48.0,6.0
88,177,홍성,2019-12-04 16:00,7.9,1.0,52.0,7.0
89,177,홍성,2019-12-04 17:00,6.7,2.6,66.0,10.0
90,177,홍성,2019-12-04 18:00,5.3,0.6,78.0,10.0
91,177,홍성,2019-12-04 19:00,4.4,0.1,84.0,6.0
92,177,홍성,2019-12-04 20:00,4.6,0.2,87.0,8.0
93,177,홍성,2019-12-04 21:00,3.0,0.0,94.0,2.0
94,177,홍성,2019-12-04 22:00,2.5,0.1,96.0,0.0
95,177,홍성,2019-12-04 23:00,2.9,0.4,81.0,0.0
96,177,홍성,2019-12-05 0:00,2.8,2.4,73.0,0.0
97,177,홍성,2019-12-05 1:00,1.3,2.3,73.0,0.0
