,Location,place,Date,Temp,Wind,Humid,Cloud
0,212,홍천,2019-12-01 0:00,3.3,0.1,64.0,9.0
1,212,홍천,2019-12-01 1:00,3.0,0.1,67.0,10.0
2,212,홍천,2019-12-01 2:00,2.9,0.0,69.0,10.0
3,212,홍천,2019-12-01 3:00,3.0,0.0,71.0,9.5
4,212,홍천,2019-12-01 4:00,2.3,0.4,73.0,9.0
5,212,홍천,2019-12-01 5:00,2.6,0.5,71.0,10.0
6,212,홍천,2019-12-01 6:00,2.9,0.0,69.0,7.0
7,212,홍천,2019-12-01 7:00,2.9,0.0,72.0,9.0
8,212,홍천,2019-12-01 8:00,3.1,0.4,76.0,8.0
9,212,홍천,2019-12-01 9:00,3.3,0.5,76.0,7.0
10,212,홍천,2019-12-01 10:00,3.9,0.4,71.0,10.0
11,212,홍천,2019-12-01 11:00,4.5,0.0,68.0,10.0
12,212,홍천,2019-12-01 12:00,5.1,0.8,67.0,10.0
13,212,홍천,2019-12-01 13:00,5.3,1.2,72.0,10.0
14,212,홍천,2019-12-01 14:00,5.3,0.5,78.0,10.0
15,212,홍천,2019-12-01 15:00,5.1,0.4,84.0,10.0
16,212,홍천,2019-12-01 16:00,5.0,0.0,89.0,10.0
17,212,홍천,2019-12-01 17:00,4.7,0.3,93.0,10.0
18,212,홍천,2019-12-01 18:00,4.5,0.6,94.0,10.0
19,212,홍천,2019-12-01 19:00,4.7,0.0,95.0,10.0
20,212,홍천,2019-12-01 20:00,4.5,0.5,96.0,10.0
21,212,홍천,2019-12-01 21:00,4.4,0.7,96.0,10.0
22,212,홍천,2019-12-01 22:00,4.3,0.4,96.0,10.0
23,212,홍천,2019-12-01 23:00,4.4,0.5,96.0,10.0
24,212,홍천,2019-12-02 0:00,4.3,0.3,97.0,10.0
25,212,홍천,2019-12-02 1:00,4.1,2.8,85.0,9.0
26,212,홍천,2019-12-02 2:00,2.5,1.7,69.0,9.0
27,212,홍천,2019-12-02 3:00,0.9,1.1,84.0,9.0
28,212,홍천,2019-12-02 4:00,1.5,1.1,70.0,9.0
29,212,홍천,2019-12-02 5:00,1.0,2.0,65.0,6.0
30,212,홍천,2019-12-02 6:00,0.3,1.5,72.0,0.0
31,212,홍천,2019-12-02 7:00,-0.3,2.0,77.0,0.0
32,212,홍천,2019-12-02 8:00,-0.2,1.5,72.0,3.0
33,212,홍천,2019-12-02 9:00,0.9,2.1,65.0,0.0
34,212,홍천,2019-12-02 10:00,1.0,3.5,49.0,0.0
35,212,홍천,2019-12-02 11:00,2.9,2.6,40.0,0.0
36,212,홍천,2019-12-02 12:00,3.2,4.5,35.0,0.0
37,212,홍천,2019-12-02 13:00,3.8,3.1,30.0,0.0
38,212,홍천,2019-12-02 14:00,3.5,5.0,28.0,0.0
39,212,홍천,2019-12-02 15:00,3.4,3.6,28.0,0.0
40,212,홍천,2019-12-02 16:00,2.6,4.6,34.0,0.0
41,212,홍천,2019-12-02 17:00,1.7,3.2,40.0,0.0
42,212,홍천,2019-12-02 18:00,0.7,2.6,39.0,0.0
43,212,홍천,2019-12-02 19:00,0.2,2.1,43.0,0.0
44,212,홍천,2019-12-02 20:00,-0.5,2.6,35.0,0.0
45,212,홍천,2019-12-02 21:00,-1.1,2.5,35.0,0.0
46,212,홍천,2019-12-02 22:00,-1.6,2.2,37.0,2.0
47,212,홍천,2019-12-02 23:00,-2.2,1.5,42.0,0.0
48,212,홍천,2019-12-03 0:00,-3.1,1.0,51.0,0.0
49,212,홍천,2019-12-03 1:00,-3.9,0.4,57.0,0.0
50,212,홍천,2019-12-03 2:00,-4.5,0.8,61.0,0.0
51,212,홍천,2019-12-03 3:00,-5.1,0.7,70.0,0.0
52,212,홍천,2019-12-03 4:00,-6.0,0.2,72.0,0.0
